"title","installs","minInstalls","scoreText","ratings","reviews","price","free","currency","priceText","offersIAP","size","androidVersion","androidVersionText","developer","genreId","familyGenreId","developerId","contentRating","adSupported","released","updated","version","recentChanges","appId"
"Tomb of the Mask","50,000,000+",50000000,"4.3",608119,308451,0,true,"USD","Free",true,"39M","5.0","5.0 and up","Playgendary","GAME_ACTION",,"7486814720100409246","Everyone",true,"Jun 19, 2018",1534348286000,"1.3","We are ready to make your game experience even greater! Bugs are fixed and game performance is optimized. Enjoy!<br><br>Our team reads all reviews and always tries to make the game better. Please leave us some feedback if you love what we do and feel free to suggest any improvements.","com.playgendary.tom"
"WildCraft: Animal Sim Online 3D","5,000,000+",5000000,"4.6",196052,121375,0,true,"USD","Free",true,"8.0M","4.0.3","4.0.3 and up","Turbo Rocket Games","GAME_SIMULATION","FAMILY_PRETEND","6804371481370659921","Everyone 10+",true,"Jan 23, 2018",1556698155000,"6.2c","Update: animal pets damage brought back as it was before.<br>Bison damage decreased, reworked targeting.<br><br>Introducing Anti-Cheat Ultra!<br>We want to make sure that everyone plays fair. It is critical for the community and the game to be successful.<br>We also did little improvements on performance.","com.turborocketgames.wildcraft""Toca Kitchen 2","50,000,000+",50000000,"4.5",1163375,506886,0,true,"USD","Free",false,"56M","4.1","4.1 and up","Toca Boca","GAME_EDUCATIONAL","FAMILY_PRETEND","8567646723268777320","Everyone",true,"May 25, 2015",1498726078000,"1.2.3-play","Thanks for playing Toca Kitchen 2!<br>In this version, we&#39;ve made some minor tweaks and changes.<br><br>Happy playing!","com.tocaboca.tocakitchen2"

"Helix Jump","100,000,000+",100000000,"4.4",3883030,1622595,0,true,"USD","Free",true,"46M","4.4","4.4 and up","VOODOO","GAME_ACTION",,"VOODOO","Everyone",true,"Mar 12, 2018",1558619250000,"2.4.1","- Challenge map improvements<br>- Small UI fixes (text alignment in pop-ups)","com.h8games.helixjump"
"Bowmasters","50,000,000+",50000000,"4.6",2937830,1319352,0,true,"USD","Free",true,"Varies with device","4.1","4.1 and up","Miniclip.com","GAME_ACTION",,"5933611429942957630","Teen",true,"Nov 10, 2016",1555084034000,"2.12.7","Bug fixes and general improvements.","com.miniclip.bowmasters"
"Sniper 3D Gun Shooter: Free Elite Shooting Games","100,000,000+",100000000,"4.6",10168435,3365440,0,true,"USD","Free",true,"Varies with device","VARY","Varies with device","Fun Games For Free","GAME_ACTION",,"8186084684070471579","Mature 17+",true,"Nov 13, 2014",1559345729000,"Varies with device","+ Play through all the 21 cities in Single Player mode<br>+ Advance through the new Leagues in the Real-Time Multiplayer PvP Arena<br>+ Battle against others in the Squad Wars<br>+ Performance improvements<br>+ Minor bug fixes","com.fungames.sniper3d"
"slither.io","100,000,000+",100000000,"4.4",5707853,2347057,0,true,"USD","Free",true,"Varies with device","2.3","2.3 and up","Lowtech Studios","GAME_ACTION",,"Lowtech+Studios","Everyone",true,"Mar 25, 2016",1510700916000,"Varies with device","New skins!<br><br>Build a slither: Create your own skin!","air.com.hypah.io.slither"
"PUBG MOBILE","100,000,000+",100000000,"4.5",15838529,7735308,0,true,"USD","Free",true,"42M","4.3","4.3 and up","Tencent Games","GAME_ACTION",,"8638120915920097780","Teen",false,"Mar 19, 2018",1555477729000,"0.12.0",,"com.tencent.ig"
"Roblox","100,000,000+",100000000,"4.6",7971981,4617816,0,true,"USD","Free",true,"91M","4.4","4.4 and up","Roblox Corporation","GAME_ADVENTURE","FAMILY_ACTION","5360036014478858866","Everyone 10+",true,"Jul 15, 2014",1558367369000,"2.385.303034","To make Roblox work better for you, we deliver updates regularly. These updates include bug fixes and improvements for speed and reliability.","com.roblox.client"
"Minion Rush: Despicable Me Official Game","100,000,000+",100000000,"4.5",10445541,3327908,0,true,"USD","Free",true,"Varies with device","VARY","Varies with device","Gameloft","GAME_CASUAL","FAMILY_ACTION","6258770168633898802","Everyone 10+",true,"Jun 13, 2013",1557305677000,"Varies with device","The Secret Life of Pets 2 is snuggling up to the Minions! Help them open a Pet Shop and take care of Max, Duke, Snowball and more!<br><br>**WHAT’S NEW**<br><br>NEW SPECIAL MISSIONS<br>• KYLE’S SECRET LIFE: Help Agnes create a pet-sitting service to care for critters in need.<br>• PET SHOP (Coming Soon): Join Dru in expanding operations with a full pet shop!<br><br>NEW CONTENT<br>• Unlock the SUPERHERO COSTUME, inspired by the heroic Snowball!<br>• The Residential Area and Mall are both covered in adorable pet decorations.","com.gameloft.android.ANMP.GloftDMHM"
"Kick the Buddy","100,000,000+",100000000,"4.3",1947301,822162,0,true,"USD","Free",true,"Varies with device","4.4","4.4 and up","Playgendary","GAME_ACTION",,"7486814720100409246","Teen",true,"May 22, 2018",1530794501000,"Varies with device","We are ready to make your game experience even greater! Bugs are fixed and game performance is optimized. Enjoy!<br><br>Our team reads all reviews and always tries to make the game better. Please leave us some feedback if you love what we do and feel free to suggest any improvements.","com.playgendary.kickthebuddy"
