"appTitle","userName","date","score","reviewTitle","text","replyDate","replyText""Duolingo: Learn Languages Free","Blair Gormley","June 1, 2019",5,"where good program for studying and learning other languages"
"Duolingo: Learn Languages Free","AD & AD","June 1, 2019",5,"amazing 👌 app for learning languages"
"Duolingo: Learn Languages Free","Ananta Logistics","June 1, 2019",4,"very good"
"Duolingo: Learn Languages Free","Joy Bianca","June 1, 2019",5,"I used this app to learn some Italian and am now trying to learn some German. It really helped a lot during a recent trip!"
"Duolingo: Learn Languages Free","Jacori Hardin","June 1, 2019",5,"Amazing"
"Duolingo: Learn Languages Free","Kotoko Utsugi","June 1, 2019",4,"I love this app except, I wish they could add to learn Finnish."
"Duolingo: Learn Languages Free","Brenda Palmer","June 1, 2019",5,"Great for learning a foreign language..."
"Duolingo: Learn Languages Free","Johan Andrés Vázquez Morales","June 1, 2019",5,"Excelente aplicación"
"Duolingo: Learn Languages Free","kungfu-pigeon","June 1, 2019",5,"really good"
"Duolingo: Learn Languages Free","BEN OKARO","June 1, 2019",5,"lovely app to learn a new language."
"Duolingo: Learn Languages Free","Omer Golan Kaplan","June 1, 2019",5,"perfect. the only thing that's missing is a list of words you've already learnt"
"Duolingo: Learn Languages Free","Alice Pallavicini","June 1, 2019",5,"I used this app to revise my french and learn a bit of Spanish and German! Love it"
"Duolingo: Learn Languages Free","Almudena","June 1, 2019",5,"Fast, easy, fun, almost addictive way of learning languages."
"Duolingo: Learn Languages Free","Alejandra Velez-Shafi","June 1, 2019",5,"easy, fun, effective"
"Duolingo: Learn Languages Free","Michelle H.","June 1, 2019",5,"fantastic it's so easy I love it"
"Duolingo: Learn Languages Free","Lee Lee","June 1, 2019",5,"I love Duolingo.. It helps you learn and keeps you on task.."
"Duolingo: Learn Languages Free","MaxPlayzGamez","June 1, 2019",5,"really good app. would recommend if you want to learn a language easily and quickly"
"Duolingo: Learn Languages Free","Jennifer Billings","June 1, 2019",5,"Doulingo makes it very clear and easy to follow. NO STRESS or unclear pathways. Bottom Line: I would recommend this learning tool as it is free and definitely useful. And for anyone who is asking "" What's the catch?"" they don't send tons of spam emails, or force you to pay for things that are ABSOLUTELY NECESSARY. They do however, often pop ads for their ""Duolingo Plus"" meaning extra benefits. It says 5 min a day, but in reality of you want to learn a language in under 5 yrs you should spend 20"
"Duolingo: Learn Languages Free","Abtin Mozafari","June 1, 2019",5,"perfecto"
"Duolingo: Learn Languages Free","Marcus Zielinski","June 1, 2019",4,"In terms of a learning experience, thisbis absolutely excellent. I wish there a were a few extra key features, particularly with languages with a non-Latin alphabet (I'm learning Russian), in particular a reference guide to the basic phonics of the letters. also, I wish there was a way to view and review the vocabulary learned up to a certain point. That said, whilst they're ""nice to have"" improvements, so far very impressed!"
"Duolingo: Learn Languages Free","Tony Greenway","June 1, 2019",5,"easy to learn and fun"
"Duolingo: Learn Languages Free","edward medxon","June 1, 2019",4,"Better app, the navigation and the menus used aren't that familiar.."
"Duolingo: Learn Languages Free","Sarah Donaldson","June 1, 2019",3,"Very poor recently. I used to use the app at home on my ipad, all fine, then downloaded the app to my phone so I could do modules on the commute. Worked great, until the last week or so, when modules dont load and when they finally do they freeze mid test. This is even when I'm at home, using my wifi - what have they done with this upgrade??? This app doesn't teach grammar, so as language apps go it could be better, but the usability really needs to be improved or I will soon be a former user"
"Duolingo: Learn Languages Free","DavidDj","June 1, 2019",5,"You get to learn a language for free! What more could you ask for?! What's even better is that you have fun while you're learning! Amazing app, amazing community. Five stars definitely."
"Duolingo: Learn Languages Free","David Heimer","June 1, 2019",5,"Great app. And it's fun!"
"Duolingo: Learn Languages Free","cutie clown","June 1, 2019",5,"please duolingo owl don't take my family"
"Duolingo: Learn Languages Free","Rachael Fisher","June 1, 2019",5,"I really love using Duolingo. The way the lessons are broken down and the amount you learn, it not only helps your skills but also your confidence in using what you're learning. I love the way it tracks your progress and almost makes it a friendly competition with others using the app and also a boost when you actually see your progress move up. I'm currently learning Spanish but that'll just be the first language. ...and it's free free. No charge after trial. What's better than that?"
"Duolingo: Learn Languages Free","Maria Kress","June 1, 2019",5,"Makes learning fun!!"
"Duolingo: Learn Languages Free","ricardo correa","June 1, 2019",5,"excellent"
"Duolingo: Learn Languages Free","L Putzer","June 1, 2019",4,"The leaderboards are kinda cool, but you would have to be either homeschooled or unemployed or a night owl to win (or using it on very frequent bathroom breaks). It's been crazy. The people in the top three in my league have ~2,000+ XP just this week. So if you want to win in the top 3 - you have to have A LOT of free time on your hands, or using every smidgen of spare time you have."
"Duolingo: Learn Languages Free","sienna hughes","June 1, 2019",1,"this is the dumbest app you have 5 lives and every time I die it would lead me to a add I don't like this"
"Duolingo: Learn Languages Free","Zack Ruffino","June 1, 2019",1,"Health ruins learning. Duolingo claims it's to prevent ""bingeing"" but it's clearly just another way for them to push you to buy the Pro version. 6 hours to generate one HP at a time? Insanely greedy devs."
"Duolingo: Learn Languages Free","Valerie Cumpston","June 1, 2019",5,"Duolingo is the Best!! It makes learning easy and fun! You want to come back to learn more every day!!"
"Duolingo: Learn Languages Free","A Google User","June 1, 2019",1,"I usually absolutely love this app and cannot go a day without it. I tell EVERYONE about it and to watch the YouTube video of how it all began. However, I woke up this morning to do my study first thing, like I always do, and my Groups have all disappeared.😭 I do love love love the old Duolingo. Please bring it back.😭"
"Duolingo: Learn Languages Free","jade jones","June 1, 2019",4,"It's a good app, i just wish it explained the concept of the language more."
"Duolingo: Learn Languages Free","李未知","June 1, 2019",5,"gooooooooood"
"Duolingo: Learn Languages Free","J.Carlos Cruz","June 1, 2019",5,"si pretty good recommendations"
"Duolingo: Learn Languages Free","Paul Dann","June 1, 2019",5,"What a brilliant way to dip into a language! I should have tried this app years ago. I'm very impressed."
"Duolingo: Learn Languages Free","Michael Abbam","June 1, 2019",5,"Easy and nice way to study language"
"Duolingo: Learn Languages Free","Scott Hetrick","June 1, 2019",5,"it's nice! I like!"
"Duolingo: Learn Languages Free","Mauro Blardony","June 1, 2019",4,"I cant complain. Its free and fun to use. Ive been seeing a lot of complaints when getting the duoplus so iffy about that"
"Duolingo: Learn Languages Free","Jake Phillie","June 1, 2019",5,"Very good app. The owl haunts my dreams though."
"Duolingo: Learn Languages Free","Innovative Ideas","June 1, 2019",4,"you should first include the basic grammer before launching this entire topics. one can better learn language after understanding the basic grammer than just mugging up the things. i studied Sanskrit in my school days and hence abled to corelate the different forms of nouns easily as German follows Sanskrit grammer. but not sure how rest of the audiance manage. overall app is well designed."
"Duolingo: Learn Languages Free","Virendrapratap Singh","June 1, 2019",5,"Excellent App to learn any language for free."
"Duolingo: Learn Languages Free","Yonnie S.","June 1, 2019",5,"Love this app... and it's good for kids too. My 12 year old and I have a little competition to keep us motivated!"
"Duolingo: Learn Languages Free","Anabel Galano","June 1, 2019",5,"i am enjoying the app so far. i am still in the basics but its very engaging and lots of repetition of the same thing so words can stick. would recomend"
"Duolingo: Learn Languages Free","Việt Nguyễn Thế","June 1, 2019",5,"good, thank you"
"Duolingo: Learn Languages Free","Akira Akemi","June 1, 2019",5,"Very excellent design and very excellent control and very useful for learning different foreign languages...💟"
"Duolingo: Learn Languages Free","Elliot Ayden Sheppard","June 1, 2019",4,"its fun and addictive the way it makes it easier for begginers, also can you add more languages real and fictional, thanks!"
"Duolingo: Learn Languages Free","movies and dance by ak","June 1, 2019",3,"nice app"
"Duolingo: Learn Languages Free","Gillian Diffily","June 1, 2019",5,"very enjoyable"
"Duolingo: Learn Languages Free","Reuben George","June 1, 2019",4,"I definetly recommend this for those who want to learn the language with best interest.It help you practise pronounciation very well."
"Duolingo: Learn Languages Free","Topfitz T-shirts","June 1, 2019",4,"good app"
"Duolingo: Learn Languages Free","Mokhtar Mohamed","June 1, 2019",5,"very good and easy 👍"
"Duolingo: Learn Languages Free","Muhamad Akbar Namusy","June 1, 2019",5,"i love this app. thank for creator, i hope u r always healty. cz this app i can learn more english"
"Duolingo: Learn Languages Free","Gacha Girl Lover","June 1, 2019",5,"Now I Know my Speaking to Spanish people Now keep it up!"
"Duolingo: Learn Languages Free","Gwen Fun Channel","June 1, 2019",5,"great way to learn languages!"
"Duolingo: Learn Languages Free","Vaka","June 1, 2019",5,"Very nice."
"Duolingo: Learn Languages Free","SRISHTI PANDEY","June 1, 2019",5,"Amazing app for language enthusiasts!"
"Duolingo: Learn Languages Free","never mind","June 1, 2019",5,"nice"
"Duolingo: Learn Languages Free","Steven Migiani","June 1, 2019",5,"easy to learn"
"Duolingo: Learn Languages Free","Robert Hamilton","June 1, 2019",5,"great app for introducing yourself to other languages. I like that it has no pressure of passing or failing and it is very casual. just don't take the owl too serious ;)"
"Duolingo: Learn Languages Free","Marco Breakenridge","June 1, 2019",5,"Easy to use and navigate."
"Duolingo: Learn Languages Free","Levi Rocha","June 1, 2019",5,"Update: the latest interface update is great. i love it. Thank you once more to the duolingo team! 😄 All I can say is thank you. This app is perfect and completely free, there's no reason for anyone not to use it other than laziness. It makes learning various languages (which is undoubtedly useful) really easy and fun."
"Duolingo: Learn Languages Free","Maria Sanchez","June 1, 2019",5,"very nice. 👌👌👌"
"Duolingo: Learn Languages Free","Deeper flash","June 1, 2019",5,"it be aight"
"Duolingo: Learn Languages Free","amin nemati","June 1, 2019",5,"it's amazing,easy to use,perfect, great ui i love duo you will love him to♥"
"Duolingo: Learn Languages Free","amir moghadam","June 1, 2019",5,"i love it it is best app for learning english very well"
"Duolingo: Learn Languages Free","Jackie Holmes","June 1, 2019",5,"really enjoying it so far 🙂"
"Duolingo: Learn Languages Free","Margaret Lowry-Brock","June 1, 2019",5,"really helpful when learning the languages to communicate with my ESL students."
"Duolingo: Learn Languages Free","Helena Chashka","June 1, 2019",5,"great"
"Duolingo: Learn Languages Free","A Google User","June 1, 2019",5,"najbolja aplikacija za ucenje nemackog"
"Duolingo: Learn Languages Free","Fearless Strategies","June 1, 2019",4,"Fun easy way to learn at your own pace"
"Duolingo: Learn Languages Free","Jorge G","June 1, 2019",5,"excellent application"
"Duolingo: Learn Languages Free","A Google User","June 1, 2019",2,"It is a great app, but sometimes it takes a long time to load and the new design is too cartoony and bright."
"Duolingo: Learn Languages Free","Peter Eaves","June 1, 2019",3,"I use another app to chat with people from different countries and most of the things that I have learned from this app have yet to be used. Also it would be mich better if there were more that could be purchased with the lingots. I don't care about the streak freezers and I already bought the suits for the owl. I wish the developers would get more creative on the gaming side of the app."
"Duolingo: Learn Languages Free","Calidad Nase","June 1, 2019",5,"Excelent app."
"Duolingo: Learn Languages Free","Robert How","June 1, 2019",4,"Useful but i get annoyed with the Spanish course. Spanish is a pro-drop language where you can say hablo instead of yo hablo - in fact in some countries this is more common. Duolingo always forces you to use pronouns which is not right."
"Duolingo: Learn Languages Free","Sobreney Brésil","June 1, 2019",4,"A good way to practice Spanish for me."
"Duolingo: Learn Languages Free","Murrland Bars","June 1, 2019",5,"Easy to learn"

"Duolingo: Learn Languages Free","Dilcia Diaz","May 31, 2019",5,"fantastic"
"Duolingo: Learn Languages Free","Vernon Layher","May 31, 2019",5,"Amazing source for learning many languages. I would definitely recommend it for beginners or someone looking for another way to exercise a new language"
"Duolingo: Learn Languages Free","SUPER BRAINZ","May 31, 2019",2,"I use it for frensh but dosent work well"
"Duolingo: Learn Languages Free","Mahareva Aulia","May 31, 2019",1,"was my favorite and was the best, but isn't the objective is ""free language lessons for everyone"". its all about the money now😩 awesome till that point"
"Duolingo: Learn Languages Free","Kylie xD","May 31, 2019",5,"Yea, I missed a French lesson and duo came to my house and broke in and hurt my family. Great app :>"
"Duolingo: Learn Languages Free","Warmeister 27","May 31, 2019",5,"the new update is awesome"
"Duolingo: Learn Languages Free","Basmala Mohammed","May 31, 2019",5,"very fantastic"
"Duolingo: Learn Languages Free","Zeuz Valdez","May 31, 2019",5,"berry nice app"
"Duolingo: Learn Languages Free","Dale Thomas","May 31, 2019",5,"It's fun to use!"
"Duolingo: Learn Languages Free","Connie Neal","May 31, 2019",5,"Easy to use. Great app. I want to know how to purchase without having a reaccuring charge on my credit card."
"Duolingo: Learn Languages Free","Misty Watson","May 31, 2019",5,"super fun"
"Duolingo: Learn Languages Free","PRABHAT GANGULI","May 31, 2019",5,"nice"
"Duolingo: Learn Languages Free","3DS Master","May 31, 2019",5,"good"
"Duolingo: Learn Languages Free","Jon Papp","May 31, 2019",5,"App works great on Pixel 2 XL and has great exercises for Japanese"
"Duolingo: Learn Languages Free","diane dees","May 31, 2019",4,"I like this app. It's pretty good. It's probably know Spanish by now if I'd be more committed."
"Duolingo: Learn Languages Free","Elias Saad Neto","May 31, 2019",5,"Easiest way to learn the basics. I'm loving it!"
"Duolingo: Learn Languages Free","A'Miracle","May 31, 2019",5,"Okay people lets Sacrifice our families for Spanish Classes. HOLA"
"Duolingo: Learn Languages Free","Nora Mercado","May 31, 2019",5,"I just installer. but so far, it is a verygood application 👍👌"
"Duolingo: Learn Languages Free","Dawn Riddick","May 31, 2019",4,"It's a great and simple way to learn a foreign language. I would have rated it higher but on a few occasions the audio goes out, so there are few bugs to work out. Overall I've really enjoyed using this product."
"Duolingo: Learn Languages Free","Hayley Singh","May 31, 2019",5,"awesome, convenient and effective 😊"
"Duolingo: Learn Languages Free","Zoi Alipranti","May 31, 2019",5,"Amazing app to start learning a new language"
"Duolingo: Learn Languages Free","Shuwana Leonard","May 31, 2019",5,"Great, fun app!"
"Duolingo: Learn Languages Free","Kaden Martin","May 31, 2019",5,"pretty good"
"Duolingo: Learn Languages Free","Owen Powell","May 31, 2019",5,"helps me learn"
"Duolingo: Learn Languages Free","roberto vargas","May 31, 2019",5,"it is fun (^•●•^)"
"Duolingo: Learn Languages Free","Blanton Apiaries","May 31, 2019",4,"started crashing, yesterday. Please fix."
"Duolingo: Learn Languages Free","Devin Wagner","May 31, 2019",5,"Love it!"
"Duolingo: Learn Languages Free","Mackie Short","May 31, 2019",5,"Amazing"
"Duolingo: Learn Languages Free","Robbie Gean Miller","May 31, 2019",4,"Great for the most part, but half the time the word bank is not there, and I have no way to type my answers, so I end up losing everything I have done in the lesson, and have to start over."
"Duolingo: Learn Languages Free","Mike Bredeson","May 31, 2019",5,"simple, awesome."
"Duolingo: Learn Languages Free","Ram Ramani","May 31, 2019",3,"frequent updates reset (back) the quality of lessons to basic level, which takes away the challenge for advanced learners."
"Duolingo: Learn Languages Free","random spider","May 31, 2019",5,"LOVE YOU SOOO MUCH I KNOW A USELESS LANGUAGE NOW which is russian because i live in the UK and not Russia but you never know when russian could come in handy"
"Duolingo: Learn Languages Free","Md. Mahbubur Rahman","May 31, 2019",5,"Add English to Bengali language please for 15+ million people."
"Duolingo: Learn Languages Free","Maryem Amil","May 31, 2019",4,"very good ✌💟"
"Duolingo: Learn Languages Free","Rabie Elnemr","May 31, 2019",5,"excellent app"
"Duolingo: Learn Languages Free","Maya vrs. super cat tales","May 31, 2019",4,"Its fun but,some people are saying scary stuff happens if you miss your spanish lesson.I don't belive it,but just to be safe,4 stars(sorry)"
"Duolingo: Learn Languages Free","Esterling Feliciano","May 31, 2019",5,"I love it, It's the best app for learn whatever language"
"Duolingo: Learn Languages Free","Joshua Vergara","May 31, 2019",4,"It's really good and convenient for ppl who have a base in the language but not for beginners."
"Duolingo: Learn Languages Free","Sam Brown","May 31, 2019",4,"great app thats constructed well for a easy language learning experience... very few issues with the courses.🖤"
"Duolingo: Learn Languages Free","Mark Burns","May 31, 2019",5,"Really enjoying the app to review Italian. For a complete newbie I think they would want to be told the rules for plurals and congregation."
"Duolingo: Learn Languages Free","A Google User","May 31, 2019",5,"An amazing resource to build up momentum and discipline in your language learning."
"Duolingo: Learn Languages Free","Anna Tizliarishvili","May 31, 2019",5,"very helpful and very useful! also please add the stories section on mob. app. or if it exists tell me how to find it."
"Duolingo: Learn Languages Free","John Aseerwatham","May 31, 2019",5,"love it. easy to learn!!"
"Duolingo: Learn Languages Free","Michelle Hunt","May 31, 2019",4,"Duolingo is intuitive to use. I wish that there was an explanation section as well as the learn by example parts."
"Duolingo: Learn Languages Free","veikko vanyenga Tomas","May 31, 2019",4,"👌"
"Duolingo: Learn Languages Free","Amy A","May 31, 2019",1,"the bird is going to kill us all"
"Duolingo: Learn Languages Free","Sean Harris","May 31, 2019",5,"simply awesome"
"Duolingo: Learn Languages Free","Emmanuel Mdamu","May 31, 2019",5,"nice"
"Duolingo: Learn Languages Free","william antony","May 31, 2019",5,"Good.."
"Duolingo: Learn Languages Free","bernard abel","May 31, 2019",1,"The only thing great about this app is its club feature. Deleting it for the leaderboard, what a great decision. U can discuss things on the club but leaderboards does prectically nothing!"
"Duolingo: Learn Languages Free","Karen Bejcek","May 31, 2019",4,"It's good for me, but i already knew alot of words and how to conjugate verbs."
"Duolingo: Learn Languages Free","Danu Septian","May 31, 2019",5,"Very helpful for people who want to learn languages. I hope they will add Arabic language too soon."
"Duolingo: Learn Languages Free","Tom Mrozek","May 31, 2019",3,"it often freezes"
"Duolingo: Learn Languages Free","Herberth Obregon","May 31, 2019",5,"Buenísimo! Esto es el hit!"
"Duolingo: Learn Languages Free","Matt Rotto","May 31, 2019",5,"it's very effecrive method to learns languages"
"Duolingo: Learn Languages Free","Blake Khan","May 31, 2019",1,"Yeah the app was working grrat, but the problem is the app itself. When I missed a spanish lesson, it stared sending me threats with high detail. After trying to ignore it, the bird would always randomly apprar on my phone whenever. I was creeped out, so I uninstalled it. Soon after at school, I got a picture from an anonymous number, it had shown me that my family was stuck in a cage! After following its instructions, It was only after a few MONTHS; I was able to visit my family. Plz fix bug :/"
"Duolingo: Learn Languages Free","Zeen zeyy","May 31, 2019",4,"Very nice"
"Duolingo: Learn Languages Free","Angela Beshers","May 31, 2019",5,"it helped me understand"
"Duolingo: Learn Languages Free","Monnix channel","May 31, 2019",5,"I love it! but it doesnt have filipino. ( which most apps dont have. that im trying to learn)"
"Duolingo: Learn Languages Free","Julio Apaza","May 31, 2019",5,"great"
