"appTitle","userName","date","score","reviewTitle","text","replyDate","replyText"
"Drink Water Reminder: Water Tracker & Alarm","NKS BOY'S","May 13, 2019",5,"it is really good."
"Drink Water Reminder: Water Tracker & Alarm","karthi nachiyappan","May 13, 2019",5,"good"
"Drink Water Reminder: Water Tracker & Alarm","MLM JAGJIT SANDHU","May 13, 2019",5,"excellent"
"Drink Water Reminder: Water Tracker & Alarm","Shriyansha Rout","May 13, 2019",5,"👍👍"
"Drink Water Reminder: Water Tracker & Alarm","Ariana Martin","May 13, 2019",5,"Yeah ik haha"
"Drink Water Reminder: Water Tracker & Alarm","pintu bike points","May 13, 2019",5,"bahut achha"
"Drink Water Reminder: Water Tracker & Alarm","Golam Rabbani","May 13, 2019",5,"superb"
"Drink Water Reminder: Water Tracker & Alarm","Jeanette Lloyd","May 13, 2019",5,"Awesome"
"Drink Water Reminder: Water Tracker & Alarm","Sang Bacsain","May 13, 2019",5,"Good"
"Drink Water Reminder: Water Tracker & Alarm","Lynn Tabuga","May 13, 2019",5,"very helpful"
"Drink Water Reminder: Water Tracker & Alarm","Regine Canoza","May 13, 2019",5,"Good"
"Drink Water Reminder: Water Tracker & Alarm","Murali krishna vajjala","May 13, 2019",5,"very nice reminder"
"Drink Water Reminder: Water Tracker & Alarm","Himanshi Jain","May 13, 2019",5,"it's keeps you hyderated b/w work"
"Drink Water Reminder: Water Tracker & Alarm","Deepika Verma","May 12, 2019",5,"nice one"
"Drink Water Reminder: Water Tracker & Alarm","Glyn Wilkes","May 12, 2019",5,"just for when you are busy and time passes you by this way i have a little helping hand keeping me hydrated"
"Drink Water Reminder: Water Tracker & Alarm","zukiswa tjemolane","May 12, 2019",5,"wonderful"
"Drink Water Reminder: Water Tracker & Alarm","mani maran","May 12, 2019",5,"super app"
"Drink Water Reminder: Water Tracker & Alarm","Puseletso Sehlare","May 12, 2019",5,"I only started it today, so I'm just hoping that I'm not going to waste my time but as someone who likes to drink water I think I'm going to enjoy it. 😊"
"Drink Water Reminder: Water Tracker & Alarm","IRENE SERRANO","May 12, 2019",5,"essential indeed"
"Drink Water Reminder: Water Tracker & Alarm","All Rounder With Priyanshu","May 12, 2019",5,"mst"
"Drink Water Reminder: Water Tracker & Alarm","Ekta Dimri","May 12, 2019",5,"nice app"
"Drink Water Reminder: Water Tracker & Alarm","Riches Brooks","May 12, 2019",5,"My experience was indeed wonderful. great way to keep healthy thanks."
"Drink Water Reminder: Water Tracker & Alarm","Rani Samuel","May 12, 2019",5,"its actually a super dooper app i work in a e-commerce company and am so busy i dont find time to drink water but this app keepa informed be alarming ne to drink water"
"Drink Water Reminder: Water Tracker & Alarm","gaurav singh","May 12, 2019",5,"Excellent.."
"Drink Water Reminder: Water Tracker & Alarm","Maridel Palomares","May 12, 2019",5,"very helpful"
"Drink Water Reminder: Water Tracker & Alarm","Wild Emerald","May 12, 2019",5,"nice app it can really help me 😍😍😍"
"Drink Water Reminder: Water Tracker & Alarm","Kashif Sohail","May 12, 2019",5,"excellent"
"Drink Water Reminder: Water Tracker & Alarm","chitra raghunath","May 12, 2019",4,"app is good.. but just too many ads.. it's a pain for those who drink quite a lot of water.. that's the only reason for the 4* and not 5*"
"Drink Water Reminder: Water Tracker & Alarm","Rahul kushwaha","May 12, 2019",5,"good"
"Drink Water Reminder: Water Tracker & Alarm","ajaykumarv 11002","May 12, 2019",5,"now i started let c"
"Drink Water Reminder: Water Tracker & Alarm","sandeep sud","May 12, 2019",3,"good app"
"Drink Water Reminder: Water Tracker & Alarm","Khounsavanh Khounphon","May 12, 2019",5,"thanks for reminder"
"Drink Water Reminder: Water Tracker & Alarm","Anjali Kumari","May 12, 2019",4,"nice😎"
"Drink Water Reminder: Water Tracker & Alarm","Monica Kinyua","May 12, 2019",5,"The reminders are awesome!"
"Drink Water Reminder: Water Tracker & Alarm","Edgardo Guevarra","May 12, 2019",5,"good that reminds me of time to drink water"
"Drink Water Reminder: Water Tracker & Alarm","Theresa Key","May 12, 2019",5,"awesome"
"Drink Water Reminder: Water Tracker & Alarm","Navneet Vij","May 12, 2019",5,"Nice one"
"Drink Water Reminder: Water Tracker & Alarm","Kathleen Thompson","May 12, 2019",5,"Just started to use this app. So far so good."
"Drink Water Reminder: Water Tracker & Alarm","Rajesh Singh","May 12, 2019",5,"good"
"Drink Water Reminder: Water Tracker & Alarm","Mayet Haganas","May 12, 2019",5,"thank you this apps i can manage my diet"
"Drink Water Reminder: Water Tracker & Alarm","gothrala rajashekar","May 12, 2019",1,"nice"
"Drink Water Reminder: Water Tracker & Alarm","Max Hunter","May 12, 2019",5,"awesome monitoring."
"Drink Water Reminder: Water Tracker & Alarm","Pelenatita Makasini","May 12, 2019",5,"helpful"
"Drink Water Reminder: Water Tracker & Alarm","Abhinandan Kumar","May 12, 2019",5,"it is a good app for reminder drink water"
"Drink Water Reminder: Water Tracker & Alarm","Dipak Dudhamalkar","May 12, 2019",5,"very used full app"
"Drink Water Reminder: Water Tracker & Alarm","nandipha Qolweni1","May 12, 2019",5,"good app, it works perfectly for me"
"Drink Water Reminder: Water Tracker & Alarm","roket raja","May 12, 2019",5,"good"
"Drink Water Reminder: Water Tracker & Alarm","Charlei Hunt","May 12, 2019",5,"perfect to stay fit n healthy"
"Drink Water Reminder: Water Tracker & Alarm","Clifford Bradley","May 12, 2019",5,"fantastic"
"Drink Water Reminder: Water Tracker & Alarm","Chris Lemon","May 12, 2019",5,"great app! no bugs yet!"
"Drink Water Reminder: Water Tracker & Alarm","Diana Kaarsbaan","May 12, 2019",5,"hey its a great app"
"Drink Water Reminder: Water Tracker & Alarm","Pauleng Layosa","May 12, 2019",5,"nice"
"Drink Water Reminder: Water Tracker & Alarm","Angelique Vanessa Marcha","May 12, 2019",5,"its great"
"Drink Water Reminder: Water Tracker & Alarm","Lexi Martinez","May 12, 2019",5,"it's great"
"Drink Water Reminder: Water Tracker & Alarm","Rita Eziuche","May 12, 2019",5,"At least it reminds me when to drink water. l like it."
"Drink Water Reminder: Water Tracker & Alarm","Thabo Mokorwane","May 12, 2019",5,"I have only just started but the app is well oganised and to the point, clean too. love it"
"Drink Water Reminder: Water Tracker & Alarm","Katrina Johnson","May 12, 2019",5,"I'm new at it so I'm rating it 5 stars because so far I believe it's gone to be beneficial for me in the long run! so I'm excited"
"Drink Water Reminder: Water Tracker & Alarm","splender mnisi","May 12, 2019",5,"perfect app"
"Drink Water Reminder: Water Tracker & Alarm","akash sengar","May 12, 2019",5,"Good Aap"
"Drink Water Reminder: Water Tracker & Alarm","Rayapati Sirisha","May 12, 2019",5,"Super"
"Drink Water Reminder: Water Tracker & Alarm","Vamsi Madduluri","May 12, 2019",1,"too..many ads!!"
"Drink Water Reminder: Water Tracker & Alarm","KIM M. PARRAWAY","May 12, 2019",5,"Love this app! Works wonderfully. I have greatly increased my daily water intake."
"Drink Water Reminder: Water Tracker & Alarm","Zackery Hardy","May 12, 2019",5,"the help I need to stay hydrated. stay thirsty my brothers"
"Drink Water Reminder: Water Tracker & Alarm","Nida Mohsin","May 12, 2019",5,"its helpful"
"Drink Water Reminder: Water Tracker & Alarm","Tweety Honey","May 12, 2019",5,"nice... this app is so good for me and for you also😎😎"
"Drink Water Reminder: Water Tracker & Alarm","Ranbir Rajput","May 12, 2019",5,"nice"
"Drink Water Reminder: Water Tracker & Alarm","sunil satija","May 12, 2019",5,"very useful app"
"Drink Water Reminder: Water Tracker & Alarm","Oscar Lopez crisanto","May 12, 2019",5,"good"
"Drink Water Reminder: Water Tracker & Alarm","Mowafaq Ali","May 12, 2019",5,"good"
"Drink Water Reminder: Water Tracker & Alarm","Leonie van der merwe","May 12, 2019",5,"awsome"
"Drink Water Reminder: Water Tracker & Alarm","Anna Paula","May 12, 2019",5,"Best"
"Drink Water Reminder: Water Tracker & Alarm","Ankur Manju","May 12, 2019",5,"Very nice app.... love it!!! 🤣😍"
"Drink Water Reminder: Water Tracker & Alarm","Purity Ndereba","May 12, 2019",5,"Am really enjoying the app. The reminders are quite helpful."
"Drink Water Reminder: Water Tracker & Alarm","Vistorina Ilonga","May 12, 2019",4,"Good app"
"Drink Water Reminder: Water Tracker & Alarm","RAMSIYA MALVIYA","May 12, 2019",5,"Good"
"Drink Water Reminder: Water Tracker & Alarm","Anusha Chowdary","May 12, 2019",5,"nice app to remind"
"Drink Water Reminder: Water Tracker & Alarm","Md Akramul Ansari","May 12, 2019",3,"nice"
"Drink Water Reminder: Water Tracker & Alarm","Megha Rana","May 12, 2019",5,"good"
"Drink Water Reminder: Water Tracker & Alarm","trishka rossouw","May 12, 2019",5,"Very good!!"
"Drink Water Reminder: Water Tracker & Alarm","Saara Tulonga","May 12, 2019",4,"awesome"
"Drink Water Reminder: Water Tracker & Alarm","Mayet Haganas","May 12, 2019",5,"thank you this apps i can manage my diet"
"Drink Water Reminder: Water Tracker & Alarm","ajay upadhaya","May 12, 2019",5,"good"
"Drink Water Reminder: Water Tracker & Alarm","Khaben Molsoi","May 12, 2019",5,"awsome"
"Drink Water Reminder: Water Tracker & Alarm","Teena Chopra","May 12, 2019",5,"very good intelligent"
"Drink Water Reminder: Water Tracker & Alarm","Alok Kumar","May 12, 2019",5,"good app"
"Drink Water Reminder: Water Tracker & Alarm","the gameing panda hahaha nicol","May 12, 2019",1,"ALL ADS legit everytime you click the button to record how much you drank you AlWAYS get an add"
"Drink Water Reminder: Water Tracker & Alarm","Robert","May 12, 2019",5,"very nice app"
"Drink Water Reminder: Water Tracker & Alarm","Kinjal Nagar","May 12, 2019",5,"good app"
"Drink Water Reminder: Water Tracker & Alarm","Leticia Petersen","May 12, 2019",5,"Great"
"Drink Water Reminder: Water Tracker & Alarm","Nisha Kundu","May 12, 2019",5,"😍😍😍😍❤❤❤"
"Drink Water Reminder: Water Tracker & Alarm","Kanhaiya Kumar","May 12, 2019",5,"awesome app"
"Drink Water Reminder: Water Tracker & Alarm","m gayu","May 12, 2019",3,"Good"
"Drink Water Reminder: Water Tracker & Alarm","Remya Mamulla","May 12, 2019",5,"Very healthy app.. Thank you... It would be even better if there is an alarm saying "" its time to drink water"" as other sounds u may /may not be able to hear"
"Drink Water Reminder: Water Tracker & Alarm","Sunita Bhatia","May 12, 2019",5,"i m very happy to download this app.its helpme m reminde to drink more water which is nessasary for our body which i m forgotten usually"
"Drink Water Reminder: Water Tracker & Alarm","manish agrawal","May 12, 2019",2,"no sound reminder on mute. no display reminder on locked screen. i have given all the app permission, still no help. thw whole point of reminder goes for a toss."
"Drink Water Reminder: Water Tracker & Alarm","Imran Ansari","May 12, 2019",5,"Nice app"
"Drink Water Reminder: Water Tracker & Alarm","Estee Dhil","May 12, 2019",5,"i love it 😍"
"Drink Water Reminder: Water Tracker & Alarm","Beniwal Golu","May 12, 2019",5,"osm😊😊"
"Drink Water Reminder: Water Tracker & Alarm","ANDY CAGAYAN","May 12, 2019",5,"Useful app."
"Drink Water Reminder: Water Tracker & Alarm","Stewart David","May 12, 2019",5,"Nice app"
"Drink Water Reminder: Water Tracker & Alarm","Kinjal Samrit","May 12, 2019",5,"It is awesome!! loved it!!💞💞"
"Drink Water Reminder: Water Tracker & Alarm","Jaba Shni","May 12, 2019",5,"amazing app"
"Drink Water Reminder: Water Tracker & Alarm","padiya naresh","May 12, 2019",5,"good"
"Drink Water Reminder: Water Tracker & Alarm","ZoKawaii","May 12, 2019",4,"very helpful if you're forgetful with your water routine. dont like all the ads tho 😂"
"Drink Water Reminder: Water Tracker & Alarm","Sandi Kyaw","May 12, 2019",5,"great app to remind drinking water"
"Drink Water Reminder: Water Tracker & Alarm","GEETHA DEVENEE","May 12, 2019",5,"💪🖒"
"Drink Water Reminder: Water Tracker & Alarm","Michele Tummino","May 12, 2019",1,"really. locks up phone."
"Drink Water Reminder: Water Tracker & Alarm","Patricia Peters","May 12, 2019",3,"was not able to keep up"
"Drink Water Reminder: Water Tracker & Alarm","Kz Dcode","May 12, 2019",5,"nice"
"Drink Water Reminder: Water Tracker & Alarm","Nethini Wick","May 12, 2019",5,"good app"
"Drink Water Reminder: Water Tracker & Alarm","abubakar rashid","May 12, 2019",5,"😄"
"Drink Water Reminder: Water Tracker & Alarm","FT Tsedka","May 12, 2019",5,"ty"
"Drink Water Reminder: Water Tracker & Alarm","CF Chan","May 12, 2019",5,"Nice n useful"
"Drink Water Reminder: Water Tracker & Alarm","Lois Torrey-Godeaux","May 12, 2019",2,"Far too many ads. Uninstalled."
"Drink Water Reminder: Water Tracker & Alarm","Malumbo Gondwe","May 12, 2019",4,"Great great great App. I have improved my water uptake levels. Could stay the whole day without drinking water but have changed since I started using the App. However, the Ads are just too much. Either remove them completely or let them not pop up at each reminder. Thank you"
"Drink Water Reminder: Water Tracker & Alarm","Rampukar Chaurasia","May 12, 2019",5,"nice"
"Drink Water Reminder: Water Tracker & Alarm","brent stubbs","May 12, 2019",5,"its great app keeps u fit like it says"
"Drink Water Reminder: Water Tracker & Alarm","Theresa McCoy","May 12, 2019",5,"Great app and much needed for optimal health. I'm a busy professional and it's easy to forget to drink water."
"Drink Water Reminder: Water Tracker & Alarm","Charmaine Hartley","May 12, 2019",5,"love the reminders to drink more water, it really works!!!"
"Drink Water Reminder: Water Tracker & Alarm","Shweta Soni","May 12, 2019",2,"very nice app"
"Drink Water Reminder: Water Tracker & Alarm","Shanu Kashyap","May 21, 2019",5,"nice aap"
"Drink Water Reminder: Water Tracker & Alarm","Sonalika Mulia","May 21, 2019",5,"ok"
"Drink Water Reminder: Water Tracker & Alarm","Kassandra Rivera","May 21, 2019",5,"😍😍"
"Drink Water Reminder: Water Tracker & Alarm","Saurabh RAJVEER Sharma","May 21, 2019",5,"Osm app hai bhai jhakaas"
"Drink Water Reminder: Water Tracker & Alarm","Dune King","May 21, 2019",5,"glu glu glu.....aha refreshingly fresh"
"Drink Water Reminder: Water Tracker & Alarm","Preeti Jain","May 21, 2019",5,"👌"
"Drink Water Reminder: Water Tracker & Alarm","Anchal Gupta","May 21, 2019",5,"very nice and time limited"
"Drink Water Reminder: Water Tracker & Alarm","Barbara Gutierrez","May 21, 2019",5,"good"
"Drink Water Reminder: Water Tracker & Alarm","Janet Akinyi","May 21, 2019",5,"Recommendable"
"Drink Water Reminder: Water Tracker & Alarm","Bonnie Sierks","May 21, 2019",5,"don't no I just started with you all."
"Drink Water Reminder: Water Tracker & Alarm","Richard Elep","May 21, 2019",5,"very nice 👌"
"Drink Water Reminder: Water Tracker & Alarm","Claudene Burns","May 21, 2019",5,"I recently started the program, and I like the reminders to drink some water!"
"Drink Water Reminder: Water Tracker & Alarm","Coreen Knight","May 21, 2019",5,"i really like the reminder, i have busy days and sometimes forget to hydrate."
"Drink Water Reminder: Water Tracker & Alarm","Sumit","May 21, 2019",5,"Best App! I used it for 4 days and the ulcer on my tongue got fix in 2 days! Thank you for developing this app"
"Drink Water Reminder: Water Tracker & Alarm","Hydro Philly","May 21, 2019",1,"every time you select something in the app it jumps over to an ad! no time for that"
"Drink Water Reminder: Water Tracker & Alarm","lAkhan shayari","May 21, 2019",5,"bohot mast hai"
"Drink Water Reminder: Water Tracker & Alarm","Vinod Utekar","May 21, 2019",5,"awesome"
"Drink Water Reminder: Water Tracker & Alarm","Tj Thompson","May 21, 2019",5,"new to the app but so far its a cheery reminder"
"Drink Water Reminder: Water Tracker & Alarm","Godfred Amoateng Asare","May 21, 2019",5,"good"
"Drink Water Reminder: Water Tracker & Alarm","Diane B","May 21, 2019",5,"it helps since my mind and memory are not what they used to be"
