"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Duolingo: Learn Languages Free","com.duolingo","https://play.google.com/store/apps/details?id=com.duolingo","https://lh3.googleusercontent.com/KIs1LWkxfs9S-dTmp7fIGny1V9Y8RJz9i34hBk6vqL5AEFFbs2pUW6YtHH8xs6HBbA","Duolingo","6957685454452609502","FREE",true,"Learn English, Spanish, French, German, Italian and more languages for free.","4.7",4.7198114"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Quizlet: Learn Languages & Vocab with Flashcards","com.quizlet.quizletandroid","https://play.google.com/store/apps/details?id=com.quizlet.quizletandroid","https://lh3.googleusercontent.com/TNIOiuUvNkBqEJ1YpGftwuMQEKO-nKpI94tgiZtQhcFskh5f2tK34z1T8_TSofFUrXk","Quizlet Inc.","7999369250220694465","FREE",true,"The top study app for flashcards, languages and learning — available for free!","4.7",4.6553497"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"PBS KIDS Video","org.pbskids.video","https://play.google.com/store/apps/details?id=org.pbskids.video","https://lh3.googleusercontent.com/VZg-xhpTGpMMxBO29XoKNCqYgm-D-H--2YJOyl5r_eyO6w6YBxw-r3i1bEG4eOl1DoJX","PBS KIDS","8332149447945516079","FREE",true,"Stream TV Shows, Full Episodes, Live TV &amp; Cartoons with the PBS KIDS Video App.","4.2",4.214653"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Photomath","com.microblink.photomath","https://play.google.com/store/apps/details?id=com.microblink.photomath","https://lh3.googleusercontent.com/E_kpq1HGn5WU2P4S2yu0BwrPEHqiA-VBh2R7qoIjPFXdNvKA0A-8zi0RzRslUtEOnUvA","Photomath, Inc.","8492011720422545772","FREE",true,"Scan. Solve. Learn.","4.7",4.691941"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Remind: School Communication","com.remind101","https://play.google.com/store/apps/details?id=com.remind101","https://lh3.googleusercontent.com/U88JU4wTlQMVxefAL-DtadxuIu7gTTV_DJwuikhtNiY8dokof7pV7eFpCo15OVg8G20","Remind101","Remind101","FREE",true,"School Communication","4.5",4.4972415"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Duolingo: Learn Languages Free","com.duolingo","https://play.google.com/store/apps/details?id=com.duolingo","https://lh3.googleusercontent.com/KIs1LWkxfs9S-dTmp7fIGny1V9Y8RJz9i34hBk6vqL5AEFFbs2pUW6YtHH8xs6HBbA","Duolingo","6957685454452609502","FREE",true,"Learn English, Spanish, French, German, Italian and more languages for free.","4.7",4.7198114"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"ClassDojo","com.classdojo.android","https://play.google.com/store/apps/details?id=com.classdojo.android","https://lh3.googleusercontent.com/FUzIQanDvPv3Gl_4qmOWr74en-f16P-WKOeXTEu2LUvIEYvTeZ9USEf4O0FrH8tvCA","ClassDojo","ClassDojo","FREE",true,"ClassDojo is a beautiful communication app for teachers, parents, and students.","4.4",4.3935766"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Google Classroom","com.google.android.apps.classroom","https://play.google.com/store/apps/details?id=com.google.android.apps.classroom","https://lh3.googleusercontent.com/EWlUGGW-f_7Ny8z7oKGCBhsNL_GkSFsmAxdVx0rz4dmRTxlDZohHjQi_cLljBeWg_Rb0","Google LLC","5700313618786177705","FREE",true,"Connect with your classes and do assignments on the go.","4.2",4.2330246"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Kahoot!","no.mobitroll.kahoot.android","https://play.google.com/store/apps/details?id=no.mobitroll.kahoot.android","https://lh3.googleusercontent.com/MwUx33sJkK-l_5nnqOXzzb7_Oe111efhp7gliPA2g9ya3ipKDboo3xVVyEAEELjl4CQ","Kahoot!","5643238107618943124","FREE",true,"Create and play quizzes on the go, have fun and learn something new!","4.2",4.2325296"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"ABCmouse.com","mobi.abcmouse.academy_goo","https://play.google.com/store/apps/details?id=mobi.abcmouse.academy_goo","https://lh3.googleusercontent.com/O4XbcESYczPA2zYZ_SpI5nD68IZcPx3dz0fNQO-N1WKLpPq9lQit-AGW4d3V7oDZAhEP","Age of Learning, Inc.","Age of Learning, Inc.","FREE",true,"ABCmouse offers a full online learning program for kids 2—8.","4.3",4.283279"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Pinkfong Baby Shark","kr.co.smartstudy.babyshark_android_googlemarket","https://play.google.com/store/apps/details?id=kr.co.smartstudy.babyshark_android_googlemarket","https://lh3.googleusercontent.com/cnuim6rIyoRTV6RDuLK7JTjcIUCpEUwx1jv7JGZy3kDFR6QcSL0ZuWW9aE3KQMA13lk","SMARTSTUDY PINKFONG","5316747288696116828","FREE",true,"&#39;Baby Shark&#39; with over 3 billion views on Youtube is now out with fun activities","4.4",4.4474354
