"appTitle","userName","date","score","text"
"Roblox","Karen Rivas","May 13, 2019",5,"this game looks soo real"
"Roblox","danna marie","May 13, 2019",5,"because its fun to play"
"Roblox","Patty Alamo","May 13, 2019",5,"its a really fun game to meet new people across the world"
"Roblox","Kim Irwin","May 13, 2019",5,"🤩😎👍🦄"
"Roblox","Rose Sunio","May 13, 2019",1,"this app doesnt have the when you login in mobile cp i want directly save so it cant be gone"
"Roblox","Syedameerali1950 Syed","May 13, 2019",5,"so fun cuz it takes adventure on a whole new level with over 100+ games in it!"
"Roblox","Family Outdoors","May 13, 2019",5,"DOPE but the tycoons for mobile could be a little better"
"Roblox","gacha 2","May 13, 2019",5,"I love this its so fun to play there are so many games i have so much favss if u love ANY type of games this is the game for you."
"Roblox","Skullz15","May 13, 2019",1,"FIX THE STUPID CHAT BUG FOR ANDROID USERS WE SPIKE FOR LIKE 2 SECONDS ITS SO FRUSTRATING"
"Roblox","Luz Pangan","May 13, 2019",5,"i like it"
"Roblox","Dexter Tolentino","May 13, 2019",5,"it is cool and nice to play"
"Roblox","Mr. panda boy","May 13, 2019",5,"Cool"
"Roblox","Irasema Gallegos","May 13, 2019",5,"love roblox"
"Roblox","Theresa Lombel","May 13, 2019",5,"ROBLOX IS THE BEST! $@#?!"
"Roblox","Emiliano Trujillo","May 13, 2019",5,"it has alot of games to play"
"Roblox","Andrew Peter","May 13, 2019",5,"awesome"
"Roblox","A Google User","May 13, 2019",5,"i love roblox its my fav but you need wifi but it is ok but i still like it its fun"
"Roblox","Sherre ann Cagmat","May 13, 2019",5,"very nice lots of games"
"Roblox","A Google User","May 13, 2019",5,"This is thebesg game ever i like this but a problem.. You need to pay REAL money to buy some accesories and clothing to costumize your account but overall i like it"
"Roblox","pat thesnipperwolf","May 13, 2019",5,"best BeSt BEST BEST! BEST!!!!!!!! GAME EVER FORTNITE SUCKS. ROBLOX IS THE WINNER OF ALL GAMES ROBLOX SUPER SUPER DUPER ROBLOX IS GOOD. IT BETTER THAN DONUTS!!!!"
"Roblox","Heather Nelson","May 13, 2019",5,"i think its the best i just started it on my phone but on my computer ive been playing it for years its a really fun game"
"Roblox","mashmelow deleon","May 13, 2019",5,"nice game"
"Roblox","Miguel Rodriguez","May 13, 2019",3,"a few updates ago it started getting all laggy and buggy I can barely play anymore!!!"
"Roblox","Wee Lip Tan","May 13, 2019",5,"its the best 😎😎😍😍"
"Roblox","Keddrick Madkins","May 13, 2019",5,"this game is so good like that game is a secret door"
"Roblox","Ann Doran","May 13, 2019",5,"good"
"Roblox","Jaden Girl","May 13, 2019",5,"this game is super fun and has other game on it"
"Roblox","subscribe to my channel","May 13, 2019",5,"its the best game i ever played"
"Roblox","desire 21savage life","May 13, 2019",4,"because it a fun game but u have to have rubux and that s not fair"
"Roblox","Alondra Solis","May 13, 2019",5,"its ok and good but i eould like to have robux like 100 or 1000 robux each time u join it would make this even more fun tho if i was u i would do so more peeps will play my game"
"Roblox","mobile legends","May 13, 2019",5,"good"
"Roblox","Queen Jazzy","May 13, 2019",5,"i love Roblox i play it on my phone and my brother's phone and my mom's phone and my aunt's phone i love that app"
"Roblox","Leah Chan","May 13, 2019",5,"sooo fun"
"Roblox","A Google User","May 13, 2019",5,"I like the entire thing when loading game u should always press the square until all the data stuff comes out which is maybe 9 or 10 times"
"Roblox","Danyel Cammon","May 13, 2019",5,"it's really fun in my opinion"
"Roblox","William Livingston","May 13, 2019",5,"osm"
"Roblox","Kizzy","May 13, 2019",5,"roblox is da best"
"Roblox","Denis 2","May 13, 2019",5,"I USED TO PLAY ROBLOX UNTIL IT BECAME BAND FOM THE U.A.E POOR ROBLOX I MISS YOU YOU ATE THE BEST GAME EVER MADE I WISH YOU COME BACK AT THE END OF RAMTHAN PLEASE UUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUU UUUU UUU UU U:-( :-( :-( :-( :-( :-( :-( :-( 😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😦😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😱😱😱😱😱😥😥😱😱😥😥😥😥😥😥😥😥😥😥😥😥"
"Roblox","Jacob Garang","May 13, 2019",5,"Lovin dis game"
"Roblox","Bernadita Jean Pierre","May 13, 2019",5,"i have been playing this game for about a month and its amazing!!!!"
"Roblox","cutegirl blog","May 13, 2019",5,"i love this game playing it for years i will give it 👌👌👌👌👍👍👍👍👍👍👍👍👍👍👍👍"
"Roblox","Chubibs","May 13, 2019",5,"fun"
"Roblox","demo reaction","May 13, 2019",1,"it stole my money i want my money back"
"Roblox","Shark dog potato","May 13, 2019",5,"yas"
"Roblox","Deon Lunsford","May 13, 2019",5,"it,s good"
"Roblox","A Google User","May 13, 2019",4,"AHHHH, I FORGOT MY PASSWORD;-; still addicting though;-; only tip: Make your password something you'll remember, I remember what it was but not the exact details"
"Roblox","Simona Onae","May 13, 2019",1,"uninstall on it's own. had to. create a new account 3 times."
"Roblox","Rosa Sagredo","May 13, 2019",5,"I love it"
"Roblox","Sall Willia","May 13, 2019",5,"the only thing i love is camping"
"Roblox","PARKER GAMING","May 13, 2019",5,"great game"
"Roblox","NiCs LA","May 13, 2019",5,"its really fun but i lost my robux can you give mine back its 4k"
"Roblox","Rico Morris","May 13, 2019",5,"fun"
"Roblox","Kelly Stonechild","May 13, 2019",5,"theres all kinds of games i love it"
"Roblox","iBrakeYew","May 13, 2019",5,"Let's just say I dont sleep at night lol look me up my name romarpowell21 I am very rich :3 and plz on phone can u make people customize their characters on phones plz :3 i just Updated this message at nov.19.16 i got banned :( name is now Romarpowell80"
"Roblox","Demarco Brown","May 13, 2019",4,"good"
"Roblox","Jocelyn Torres","May 13, 2019",5,"I love the game but we need to add more firends."
"Roblox","killer queen","May 13, 2019",2,"almost every game is unoriginal:/"
"Roblox","S. Thomas","May 13, 2019",4,"i love roblox even though im only 9 my mom calls me her random facts guy because of this game that my brother says is ""stupid"""
"Roblox","Narcy_ Gacha","May 13, 2019",5,"this is awesome game"
"Roblox","Irene Guerra","May 13, 2019",5,"it was like the best think ever"
"Roblox","Daniel Knapp","May 13, 2019",5,"update dah game"
"Roblox","Evelyn Alvarez","May 13, 2019",5,"really nice just wish to have at least more details in games"
"Roblox","Xiomy Dejesus","May 13, 2019",5,"Omg l <3 roblox so much :)"
"Roblox","N. A. Isaac","May 13, 2019",5,"This is awesome although it has some problems it's very fun and exciting especially one game on there called bloxburg it amazing."
"Roblox","Madison Castle","May 13, 2019",5,"awesomeness"
"Roblox","Oga Aniciete","May 13, 2019",4,"this is beautiful if you play it without wifi/connection"
"Roblox","Elviramartinez Martinez","May 13, 2019",5,"So fun, can't get over it!"
"Roblox","María Enriquez","May 13, 2019",5,"has real fortnite and v-bucks are free"
"Roblox","Brandon Cabrera","May 13, 2019",5,"i like it beacuz theres alot of games and your avatar you can costume"
"Roblox","Nil Baro","May 13, 2019",5,"It has many fun games in Roblox"
"Roblox","Azariyah Moise","May 13, 2019",5,"i do not like it when we have to update so much it takes up your space but ot is good"
"Roblox","peyton's life","May 13, 2019",5,"it's so fun!"
"Roblox","Analyn Querubin","May 13, 2019",5,"Best game ive ever played this game is available for all ages and all bad words will be tags its fun to play its an onlime multiplayer game and it has tons of game like Ro-Ghoul, Phantom Forces ypu must download this game its so fun :D"
"Roblox","A Google User","May 13, 2019",2,"can yall make the people who plays on phones be able to drive the motorcycles😠"
"Roblox","Rhenz Benedict Enriquez Hermosilla","May 13, 2019",5,"I really love this game! I really love it! :)"
"Roblox","Sean Renée Correa","May 13, 2019",4,"absolutely yes. but not that much cause its nice but you need internet or mobile data to play it. then also its so hard to pick your skin for me i just pick my skin that its just shown in the picture"
"Roblox","Gilbert Alterado","May 13, 2019",5,"awsome and fun love"
"Roblox","Kadarrius Jackson","May 13, 2019",3,"dont get me wrong I really love roblox but, I left two stars behind because first, u guys need to do more work on mobile then pc,second pls remove rthro I dont like it at all.why?because it doesn't fit right to roblox, roblox is blocky not realistic figures, so pls pls pls remove rthro/anthro pls thanks u :)"
"Roblox","Alicia Broughman","May 13, 2019",5,"Roblox is the best game in the universe I love Roblox.I have been playing it for a year now it is so amazing!!😀😍"
"Roblox","Santoshi Anil","May 13, 2019",5,"I like the game but I don't like that they charge money for robox"
"Roblox","Muhhad Hamza","May 13, 2019",1,"i can't see my friend name in game"
"Roblox","anthoo aguilar","May 13, 2019",5,"i give this a 5 star, its the best game ever and i have 2 roblox accounts"
