"appTitle","userName","date","score","text"
"Toca Kitchen 2","Adrianna Miller","May 12, 2019",4,"This is the best game ever it's so fun! You get to cook for the person. But when you cook some food's they wont eat them."
"Toca Kitchen 2","AlioxTv Alioxtv","May 12, 2019",5,"ITS THE BEST GAME EVER IT MAKES MY LITTLE SISTER HAPPY THANKS TOCA KITCHEN!!!!!☺☺☺"
"Toca Kitchen 2","Claire White","May 12, 2019",5,"and I am a beautiful person who is the best way to get the best way to get the best way to get the best way to get the cheapest prices on the phone, I have a look at the moment, but I think I have a look at the moment and I will be able to get the most important thing is that the new year to you, I have a great time in the UK, and I will be able to make it a bit like a good time to time, but I think I have a look forward to seeing you all the way, I have a good time to do with the new year to y"
"Toca Kitchen 2","Ice Bear","May 12, 2019",5,"its a good idea to download this game:)"
"Toca Kitchen 2","laura cooper","May 12, 2019",5,"good"
"Toca Kitchen 2","Tim Soufiane","May 12, 2019",1,"jdjdjdff, I will have a great day at irises. the"
"Toca Kitchen 2","NANDKUMAR DESAI","May 12, 2019",1,"nice😎"
"Toca Kitchen 2","teela s","May 12, 2019",3,"Don't get me wrong, the game is fun, but every time I try to make more than 2-3 foods and put them on the plate, half of them disappear and are just gone. You can barely fit two foods in a frying pan, especially chopped up, and the selection of foods gets pretty boring real quick. I do like the way the app is designed in a way that you get the cooking freedom, rather than cooking what the customer wants, but it can be better."
"Toca Kitchen 2","courtney saenz","May 12, 2019",5,"I like thisgam"
"Toca Kitchen 2","Hana Khaled","May 12, 2019",5,"😍😍"
"Toca Kitchen 2","NinjaSage 9","May 12, 2019",3,"i like the game its fun but it can get boring after u play alot add more ingredients to make stuff with"
"Toca Kitchen 2","Khrizia kei Merete","May 12, 2019",5,"its awesome just amazing"
"Toca Kitchen 2","Mary Jane Mather","May 12, 2019",5,"cool"
"Toca Kitchen 2","vishal gupta","May 12, 2019",4,"It is very fun to play but it did not contain many types of characters but love this game."
"Toca Kitchen 2","fahmi Zuhriansyah","May 12, 2019",1,"i don't like this game"
"Toca Kitchen 2","youssef Saad","May 12, 2019",5,"Very good"
"Toca Kitchen 2","Nony . com","May 12, 2019",5,"احلى لعبة"
"Toca Kitchen 2","Jafar Alkhatib","May 12, 2019",5,"بحبها"
"Toca Kitchen 2","Donovan Custodio","May 12, 2019",1,"why did you have too make it load so long its just a game its even more longer then downloading then MINECRAFT"
"Toca Kitchen 2","Nyoman Edna","May 12, 2019",4,"its ok but the people is a weirdo i dont like the people"
"Toca Kitchen 2","rakybul hasan","May 12, 2019",5,"its really good"
"Toca Kitchen 2","Maximus Nel","May 12, 2019",5,"great love it"
"Toca Kitchen 2","jilsha jilsha","May 12, 2019",5,"I love this game so that i gave five stars and i love toca and i love all the games of toca. in this we can do anything that we want"
"Toca Kitchen 2","Abdul Salam Mammu Mammu","May 12, 2019",5,"hmm mmI need more food like choclates"
"Toca Kitchen 2","Nugie Nugraha","May 12, 2019",5,"ayo bermain toca kithcen yang seru"
"Toca Kitchen 2","Johann Benedict","May 12, 2019",5,"SOOO🖕 AMAZING"
"Toca Kitchen 2","Azhar Khan","May 12, 2019",5,"nice game i love to play"
"Toca Kitchen 2","Julia Dytkiewicz","May 12, 2019",5,"GOOD"
"Toca Kitchen 2","Monakuma Danganronpa","May 12, 2019",5,"ITS SOOOOOOOO FUN"
"Toca Kitchen 2","precious savage","May 12, 2019",5,"I love Toca kitchen we can cook everything I want I play my self and play with friends they like this game wow amazing!!!"
"Toca Kitchen 2","Unicorn Gurl","May 12, 2019",5,"it's soo fun and realistic but if you make more foods for u to choose from that would be great but I love it make to a kitchen 3 !!!"
"Toca Kitchen 2","Yougamer YT","May 12, 2019",1,"bad"
"Toca Kitchen 2","Md. Rahman","May 11, 2019",5,"Funny game :)"
"Toca Kitchen 2","Katie Cuddles","May 11, 2019",5,"Good game & it inspires kids to cook by themselves"
"Toca Kitchen 2","Wolfy Yuni167","May 11, 2019",5,"Wow!! I REALLY LIKE THE GAME!!!"
"Toca Kitchen 2","Ethan Dowling","May 11, 2019",1,"not anything u can do im warning you dont download and waste ur strage"
"Toca Kitchen 2","Ayden Eubank","May 11, 2019",5,"i love this game"
"Toca Kitchen 2","Calvin Wilder","May 11, 2019",5,"More foods and condiments"
"Toca Kitchen 2","Anakkerentbt Deni","May 11, 2019",5,"this game is so cool its so funny seing the costumerslike bleh about the food i make this game is so funny"
"Toca Kitchen 2","Teresa Torres","May 11, 2019",5,"this is the best game ever really showed me how to. rily. cook"
"Toca Kitchen 2","Shannon laurent","May 11, 2019",5,"I love it soo much it's fun but it needs dads"
"Toca Kitchen 2","Tonya Taylor","May 11, 2019",1,"it's ... stupid"
"Toca Kitchen 2","John Michael Ramos","May 11, 2019",5,"i like to play now"
"Toca Kitchen 2","Jamie Sten","May 11, 2019",5,"good game ok yaaa...😍😍😍😍😍😍😍😍👀👀👀💋💋💋💋"
"Toca Kitchen 2","Celina Aguinaga","May 11, 2019",5,"really fun and cool"
