"appTitle","userName","date","score","text"
"ICQ: Messages, Group chats & Video Calls","Ahmed magdi","March 6, 2019",5,"good"
"ICQ: Messages, Group chats & Video Calls","A Google User","March 6, 2019",5,"wow"
"ICQ: Messages, Group chats & Video Calls","alisa bradley","March 5, 2019",5,"great"
"ICQ: Messages, Group chats & Video Calls","A Google User","March 5, 2019",5,"cool way to communicate with friends and family"
"ICQ: Messages, Group chats & Video Calls","Janu Barma","March 5, 2019",5,"nice aap"
"ICQ: Messages, Group chats & Video Calls","Konstantinos M","March 5, 2019",5,"молодцы"
"ICQ: Messages, Group chats & Video Calls","A Google User","March 5, 2019",5,"sanga"
"ICQ: Messages, Group chats & Video Calls","A Google User","March 5, 2019",5,"great"
"ICQ: Messages, Group chats & Video Calls","Ahmed Saad","March 5, 2019",5,"i like ICQ long life"
"ICQ: Messages, Group chats & Video Calls","A Google User","March 5, 2019",4,"perfect"
"ICQ: Messages, Group chats & Video Calls","Toya Duran","March 5, 2019",5,"always works, always private"
"ICQ: Messages, Group chats & Video Calls","A Google User","March 4, 2019",5,"very nice"
"ICQ: Messages, Group chats & Video Calls","Syed Hafeez","March 4, 2019",5,"nice aap"
"ICQ: Messages, Group chats & Video Calls","A Google User","March 4, 2019",5,"5star"
"ICQ: Messages, Group chats & Video Calls","A Google User","March 4, 2019",5,"So good"
"ICQ: Messages, Group chats & Video Calls","Ilya Grishaev","March 4, 2019",5,"awesome app!"
"ICQ: Messages, Group chats & Video Calls","A Google User","March 4, 2019",5,"nice"
"ICQ: Messages, Group chats & Video Calls","A Google User","March 4, 2019",5,"its really good and easy to use love it."
"ICQ: Messages, Group chats & Video Calls","Harsh Deb","March 3, 2019",2,"Everyday its stops working and need to reinstall. When i check it shows a notification ""com.icq.mobile.client"" in galaxy apps and nothing at all. I tried to search for a solution but got nothing yet."
"ICQ: Messages, Group chats & Video Calls","A Google User","March 3, 2019",5,"Nice"
"ICQ: Messages, Group chats & Video Calls","Gary Ross","March 3, 2019",5,"easy and convenient"
"ICQ: Messages, Group chats & Video Calls","RANKIT BORAD","March 3, 2019",5,"good"
"ICQ: Messages, Group chats & Video Calls","A Google User","March 3, 2019",5,"Alway's liked icq. But prefer pc's. Phone's sux. Especially Roid. I rarely use thise thing. Only if I must. I hate people dictating what you can use or not. That's why I give it up for icq, they have an app for virtually every device. Everbody else is just lazy. Even when I developed back in the day most only wanted to do it on the pc."
"ICQ: Messages, Group chats & Video Calls","A Google User","March 3, 2019",5,"Excellent"
"ICQ: Messages, Group chats & Video Calls","A Google User","March 3, 2019",5,"cool"
"ICQ: Messages, Group chats & Video Calls","Well Classified","March 3, 2019",5,"the best"
"ICQ: Messages, Group chats & Video Calls","A Google User","March 2, 2019",2,"my phone is 3 gb ram nd snapdragon cpu 4 cores nd it lags for me"
"ICQ: Messages, Group chats & Video Calls","A Google User","March 2, 2019",5,"i love it its amazing"
"ICQ: Messages, Group chats & Video Calls","A Google User","March 2, 2019",5,"good app"
"ICQ: Messages, Group chats & Video Calls","A Google User","March 2, 2019",4,"very nice"
"ICQ: Messages, Group chats & Video Calls","Ammar Darbali","March 2, 2019",4,"Génial"
"ICQ: Messages, Group chats & Video Calls","Amir Khan","March 2, 2019",5,"Nice time"
"ICQ: Messages, Group chats & Video Calls","A Google User","March 2, 2019",5,"great"
"ICQ: Messages, Group chats & Video Calls","A Google User","March 2, 2019",5,"nizamuddin"
"ICQ: Messages, Group chats & Video Calls","SOLO POUND'S","March 2, 2019",5,"Fantastic"
"ICQ: Messages, Group chats & Video Calls","A Google User","March 2, 2019",5,"i like it"
"ICQ: Messages, Group chats & Video Calls","Joseph Agboli","March 1, 2019",5,"Good"
"ICQ: Messages, Group chats & Video Calls","Aarzoo Raza","March 1, 2019",5,"very Good App"
"ICQ: Messages, Group chats & Video Calls","shah habib khan","March 1, 2019",1,"can't connect .I see on screen only updating...........(don't wast time +data)please remove from play store."
"ICQ: Messages, Group chats & Video Calls","sajd khan","March 1, 2019",5,"afridi"
"ICQ: Messages, Group chats & Video Calls","sean jeff","March 1, 2019",5,"Awesome"
"ICQ: Messages, Group chats & Video Calls","Janette Ireland","March 1, 2019",5,"just started using this site so far so good"
"ICQ: Messages, Group chats & Video Calls","A Google User","March 1, 2019",4,"smooth and fast"
"ICQ: Messages, Group chats & Video Calls","Jack Patten","March 1, 2019",5,"it's fun"
"ICQ: Messages, Group chats & Video Calls","Apple Acebedo","February 28, 2019",5,"nice app"
"ICQ: Messages, Group chats & Video Calls","A Google User","February 28, 2019",5,"best face time ever"
"ICQ: Messages, Group chats & Video Calls","Ibraheem Saheed","February 28, 2019",1,"i restore my phone yesterday and i've beem trying to log i keep seeing invalid UIN or password and i've already request for new password i've change up to 12password still cant login ..... help!"
"ICQ: Messages, Group chats & Video Calls","sparky","February 28, 2019",4,"i give it 3.5 star's because thay messed it up it's okay the newer version is better than the old one from 20 years ago but they should put some things back into the new version which they took out can't find rooms anymore which is very frustrating"
"ICQ: Messages, Group chats & Video Calls","danut isfanescu","February 28, 2019",5,"I love it and I enjoy it to the max"
"ICQ: Messages, Group chats & Video Calls","Luis Ramirez","February 28, 2019",5,"I love it . specially those sounds"
"ICQ: Messages, Group chats & Video Calls","Zaid Ahmed","February 28, 2019",4,"Great app. Deserves a better design though. Please check out Google Allo, if you guys make it like that or better I'm all for it. But don't get me wrong. It is really good. I 💓 it."
"ICQ: Messages, Group chats & Video Calls","Shiva Moghari","February 28, 2019",4,"great"
"ICQ: Messages, Group chats & Video Calls","Yallu Bk","February 28, 2019",5,"this application has been stopped again and again in my cel"
"ICQ: Messages, Group chats & Video Calls","Fausto Tolentino Jr","February 28, 2019",5,"great"
"ICQ: Messages, Group chats & Video Calls","A Google User","February 28, 2019",5,"xxxx"
"ICQ: Messages, Group chats & Video Calls","Phelix Kojo Afenyo","February 28, 2019",5,"Good"
"ICQ: Messages, Group chats & Video Calls","A Google User","February 27, 2019",5,"very good app i love it wow and so clear for video"
"ICQ: Messages, Group chats & Video Calls","Temidayo Odusina","February 27, 2019",5,"wonderful"
"ICQ: Messages, Group chats & Video Calls","James Dayor","February 27, 2019",5,"good"
"ICQ: Messages, Group chats & Video Calls","A Google User","February 27, 2019",5,"Never have any probs..brill app...was video calling saudi arabia from england over wifi..spot on cant fault this app at all 👍"
"ICQ: Messages, Group chats & Video Calls","A Google User","February 27, 2019",5,"better"
"ICQ: Messages, Group chats & Video Calls","A Google User","February 27, 2019",5,"perfect secure"
"ICQ: Messages, Group chats & Video Calls","mohd Zeeshan","February 27, 2019",5,"nice app"
"ICQ: Messages, Group chats & Video Calls","A Google User","February 27, 2019",5,"cool....."
"ICQ: Messages, Group chats & Video Calls","vijay chittiboyina","February 26, 2019",5,"good"
"ICQ: Messages, Group chats & Video Calls","Anand Kumar","February 26, 2019",4,"everthing is good but it needs faster data speed"
"ICQ: Messages, Group chats & Video Calls","Okusanya Bayonle","February 26, 2019",5,"good"
"ICQ: Messages, Group chats & Video Calls","James Yarbrough","February 26, 2019",5,"love the apo, easy to use, very ""up-to-date"", great for gamers and iver use if keeping in touch with people"
"ICQ: Messages, Group chats & Video Calls","0 0","February 26, 2019",5,"Good"
"ICQ: Messages, Group chats & Video Calls","Amy McCaslin","February 26, 2019",4,"Easy to use"
"ICQ: Messages, Group chats & Video Calls","zain shah","February 26, 2019",5,"great"
"ICQ: Messages, Group chats & Video Calls","A Google User","February 26, 2019",5,"very good just like whatsapp or better"
"ICQ: Messages, Group chats & Video Calls","Jakes Mesnum","February 26, 2019",2,"no global channel search, only channels I joined"
"ICQ: Messages, Group chats & Video Calls","A Google User","February 26, 2019",5,"great apps"
"ICQ: Messages, Group chats & Video Calls","Rajiv Holness","February 26, 2019",5,"a hit man.. chap app"
"ICQ: Messages, Group chats & Video Calls","Forid Mondol","February 26, 2019",5,"great"
"ICQ: Messages, Group chats & Video Calls","Barbie Butler","February 26, 2019",5,"Great for long texts or story writing."
"ICQ: Messages, Group chats & Video Calls","A Google User","February 26, 2019",5,"good app"
"ICQ: Messages, Group chats & Video Calls","John-Pius Abuah","February 26, 2019",5,"very Cool and Nice"
"ICQ: Messages, Group chats & Video Calls","Bronya Gilmore","February 25, 2019",5,"i loveit"
"ICQ: Messages, Group chats & Video Calls","A Google User","February 25, 2019",5,"excellent"
"ICQ: Messages, Group chats & Video Calls","akshada shewale","February 25, 2019",4,"good"
"ICQ: Messages, Group chats & Video Calls","A Google User","February 25, 2019",5,"great"
"ICQ: Messages, Group chats & Video Calls","A Google User","February 25, 2019",5,"this app is good"
"ICQ: Messages, Group chats & Video Calls","Muhammad Iqbal","February 25, 2019",5,"Good"
"ICQ: Messages, Group chats & Video Calls","A Google User","February 25, 2019",1,"ise use karne se phone hack to nhi hoga?? data out to nhi hoga??"
"ICQ: Messages, Group chats & Video Calls","Asad Sohail","February 25, 2019",5,"excellent"
"ICQ: Messages, Group chats & Video Calls","A Google User","February 25, 2019",5,"good and perfect"
"ICQ: Messages, Group chats & Video Calls","A Google User","February 25, 2019",5,"Great"
"ICQ: Messages, Group chats & Video Calls","Akshata Anklesaria","February 25, 2019",4,"its really very nice app for singles"
"ICQ: Messages, Group chats & Video Calls","Pixy Stix","February 25, 2019",5,"This is STILL the best chat software that I've used on a handset. I don't know why it's so hard to get right, but these Russian developers did. I'm in the USA. My best friend is in Denmark. I've used KiK, Riot, and Trillian -- none are nearly as good as ICQ. I'll continue to use this solong's it's good :) ~Julia Voets"
"ICQ: Messages, Group chats & Video Calls","A Google User","February 24, 2019",5,"😘😘😘😍😗"
"ICQ: Messages, Group chats & Video Calls","Rana Khan","February 24, 2019",5,"Good"
"ICQ: Messages, Group chats & Video Calls","A Google User","February 24, 2019",5,"good good"
"ICQ: Messages, Group chats & Video Calls","A Google User","February 24, 2019",5,"it's enjoy full app"
"ICQ: Messages, Group chats & Video Calls","A Google User","February 24, 2019",5,"wow had lcq for about five days now no problems so far so good with it very lovely app made all my calling far and near me very well what you want in this type of phone app their for i give it a five star 🔔"
"ICQ: Messages, Group chats & Video Calls","A Google User","February 24, 2019",5,"cool apps"
"ICQ: Messages, Group chats & Video Calls","Lord Finch","February 24, 2019",5,"awesome"
"ICQ: Messages, Group chats & Video Calls","Shehzad Abid","February 24, 2019",5,"good"
"ICQ: Messages, Group chats & Video Calls","Women OF God","February 24, 2019",5,"Amazing! I enjoy it!💜💜💜"
"ICQ: Messages, Group chats & Video Calls","Donna Clark","February 24, 2019",5,"good"
"ICQ: Messages, Group chats & Video Calls","A Google User","February 24, 2019",5,"cool app"
"ICQ: Messages, Group chats & Video Calls","A Google User","February 24, 2019",5,"good"
"ICQ: Messages, Group chats & Video Calls","Muhammad younus","February 24, 2019",5,"good"
"ICQ: Messages, Group chats & Video Calls","A Google User","February 23, 2019",5,"good app"
"ICQ: Messages, Group chats & Video Calls","Timothy Moore","February 23, 2019",5,"great"
"ICQ: Messages, Group chats & Video Calls","A Google User","February 23, 2019",5,"I loved ur app"
"ICQ: Messages, Group chats & Video Calls","A Google User","February 23, 2019",5,"a little slow but still very good"
"ICQ: Messages, Group chats & Video Calls","A Google User","February 22, 2019",5,"I text my friends on it everyday"
"ICQ: Messages, Group chats & Video Calls","A Google User","February 22, 2019",5,"fun"
"ICQ: Messages, Group chats & Video Calls","Vinayak Hegde","February 22, 2019",1,"nithing here worst app, to be crapped"
