"appTitle","userName","date","score","text"
"Peel Universal Smart TV Remote Control","Frontal Gaming YT","May 11, 2019",5,"as work as mearga"
"Peel Universal Smart TV Remote Control","Malli Sarekukka","May 11, 2019",1,"waste app not connecting 👎👎"
"Peel Universal Smart TV Remote Control","Viorel Rimbu","May 11, 2019",5,"ok thanks"
"Peel Universal Smart TV Remote Control","Radu Alexandru Stanga","May 11, 2019",5,"wonderfull app!"
"Peel Universal Smart TV Remote Control","ilabaa rajput","May 11, 2019",2,"not"
"Peel Universal Smart TV Remote Control","Thushara Perera","May 11, 2019",1,"sucks"
"Peel Universal Smart TV Remote Control","amir slamdost","May 11, 2019",5,"wow"
"Peel Universal Smart TV Remote Control","Lesley Wilton","May 10, 2019",5,"great app. no good for conia tv."
"Peel Universal Smart TV Remote Control","Ashutosh Mishra","May 10, 2019",5,"Nice"
"Peel Universal Smart TV Remote Control","Gajjar 11","May 10, 2019",5,"best for tv"
"Peel Universal Smart TV Remote Control","Yahya Begar","May 10, 2019",5,"Great app"
"Peel Universal Smart TV Remote Control","Ryan Miller","May 10, 2019",5,"cool"
"Peel Universal Smart TV Remote Control","Luis Rodriguez","May 10, 2019",1,"how righteousness forgiveness"
"Peel Universal Smart TV Remote Control","Alina Murtaza","May 10, 2019",4,"pairing is fast and work while apps like YouTube is ruining"
"Peel Universal Smart TV Remote Control","rajamani b","May 10, 2019",5,"Good"
"Peel Universal Smart TV Remote Control","NASEEF V P O","May 10, 2019",1,"very bad application"
"Peel Universal Smart TV Remote Control","Akira Delgado","May 10, 2019",1,"this application does NOT work. I've been trying for 2 hours to connect my cell phone to my Blu Ray and I CAN NOT DO IT, THE APP DOES NOT LEAVE ME"
"Peel Universal Smart TV Remote Control","MIKE MICHAEL","May 10, 2019",1,"sucks"
"Peel Universal Smart TV Remote Control","Ferid Nadarevic","May 10, 2019",5,"good"
"Peel Universal Smart TV Remote Control","isabella s.","May 10, 2019",5,"its great"
"Peel Universal Smart TV Remote Control","Milton Powell","May 10, 2019",5,"great"
"Peel Universal Smart TV Remote Control","Munsif Ali","May 10, 2019",4,"good .app"
"Peel Universal Smart TV Remote Control","Pendu group","May 10, 2019",5,"sirra"
"Peel Universal Smart TV Remote Control","Dil Hussain","May 10, 2019",5,"amazing"
"Peel Universal Smart TV Remote Control","Chew Zhe Rong","May 10, 2019",4,"very nice . I can almost control every electronic in the area ."
"Peel Universal Smart TV Remote Control","EnderKitty","May 10, 2019",5,"goofy"
"Peel Universal Smart TV Remote Control","Vanessa Osing","May 10, 2019",2,"thank you bye!!!!!!!!!!!!!!!!!!!!! kasi check kami?"
"Peel Universal Smart TV Remote Control","usama abdo","May 10, 2019",5,"تتتو تت"
"Peel Universal Smart TV Remote Control","PAPI SMITH","May 10, 2019",5,"I just had to refresh (MY TV) channel search & now it works perfectly thank you peel!!!"
"Peel Universal Smart TV Remote Control","Shilan Hamidi","May 10, 2019",4,"good"
"Peel Universal Smart TV Remote Control","Chris Jacob","May 10, 2019",3,"nice interface"
"Peel Universal Smart TV Remote Control","Jase Astroboy","May 10, 2019",1,"Can't uninstall this app. Draining battery. Sucks."
"Peel Universal Smart TV Remote Control","Tisse Ally","May 10, 2019",5,"great"
"Peel Universal Smart TV Remote Control","Chadwick Ma","May 10, 2019",1,"not everything is connected via wifi. previous versions allowed you to setup without wifi, now this app requires everything to be connected. not smart."
"Peel Universal Smart TV Remote Control","Areena Weddings Film's & Photography","May 10, 2019",5,"nicely v nice"
"Peel Universal Smart TV Remote Control","Batool Zaheer","May 10, 2019",5,"nice"
"Peel Universal Smart TV Remote Control","Joel Odell","May 10, 2019",4,"it worked for me"
"Peel Universal Smart TV Remote Control","chit ko naing","May 10, 2019",5,"nice"
"Peel Universal Smart TV Remote Control","Jorja Healey","May 10, 2019",1,"absolutely horrible adds adds and more adds"
"Peel Universal Smart TV Remote Control","md Ahmed","May 10, 2019",5,"the guy"
"Peel Universal Smart TV Remote Control","Shivan Harracksingh","May 11, 2019",5,"amazing"
"Peel Universal Smart TV Remote Control","Asiwa David","May 11, 2019",5,"Coool"
