"appTitle","userName","date","score","text"
"Google Play Music","Jorly Bello","April 30, 2019",5,"I love this app"
"Google Play Music","Robert Gutierrez","April 30, 2019",5,"very good"
"Google Play Music","wajid ali","April 30, 2019",5,"awesome"
"Google Play Music","Marco Ortiz","April 30, 2019",1,"My music keeps pausing even the music downloaded to my phone!🤬"
"Google Play Music","Phiwinhlanhla Gumede","April 30, 2019",5,"great app try it 🎵"
"Google Play Music","Favian Wells","April 30, 2019",5,"cool"
"Google Play Music","A Google User","April 30, 2019",1,"application crashes every song when the screen is off on the LG G8. It's ridiculous for an application update that made it to production to not have been tested on a flagship or an emulator. I have to say not only has Google's development team started slacking but it seems the management team is following suit lately. I am highly suspect that there's any kind of QA process that isn't laughable. it's a shame that Google can't hire and retain any kind of sustainable, viable Talent these days."
"Google Play Music","Shay Cameron","April 30, 2019",1,"boo"
"Google Play Music","Cedric Hamilton","April 30, 2019",5,"thnk you"
"Google Play Music","Timothy Terrell","April 30, 2019",1,"I don't want it."
"Google Play Music","Skyler Randolph","April 30, 2019",5,"i love this app its so easy to use"
"Google Play Music","A Google User","April 30, 2019",5,"Good game."
"Google Play Music","Kathryn Princess","April 30, 2019",1,"I was loving this app. Adoring it. Till now. All of a sudden today it turned into Pandora where you only get to skip like three songs!!! I couldn't even listen to my thumbed up album. I am not paying $10 a month of this. You just lost a customer and I am livid. I was so pleased now i regret letting it take up so much space. And a 30 free trial isn't worth trying. because even apple music gives you three months. youtube red used to give you three months. I used to love your app now Im saying bye."
"Google Play Music","kaycee moses","April 30, 2019",3,"It's a great music app but it should have an equalizer. Some of us would like to adjust the way we want to listen to some music."
"Google Play Music","CHIRAYU Trivedi","April 30, 2019",2,"new updated version has lot of ads and playlist stops after every song and doesn't play continuously :("
"Google Play Music","PWPhoto","April 30, 2019",1,"it has been good up until today. all of a sudden, the app will not play music, even stuff that is downloaded, for more than 10 seconds. then the app shuts down. I have done everything from restarting the app to shutting phone down and restarting it, all to no avail. I ha e not uninstalled then reinstalled it because it takes so long to redownload my music. I'm taking 4 to 5 days. I'm not doing that again anytime soon."
"Google Play Music","vidyadhar sohani","April 30, 2019",5,"nice"
"Google Play Music","Ambrose James","April 30, 2019",5,"awesome music to listen, and totally awesome rock, easy soft music, rap, rock stars, hip-hop, rastafari, God for the soul and makes me relax and puts me to sleep once in awhile okay"
"Google Play Music","Vivian Carpenter","April 30, 2019",5,"👍👍👍"
"Google Play Music","Brian Ray","April 30, 2019",1,"don't buy music on this app. especially if you intend to use song or tune as a ringtone. unless you would like to be pissed off. then go ahead and do it. you've been warned."
"Google Play Music","ELMNT","April 30, 2019",1,"Ok id like to re fix my post.. Now the app stops playing music just from going off the app like youtube does on free version"
"Google Play Music","Kristopher Moreau","April 30, 2019",3,"The search function is terrible. I wish it would prioritize songs in my library instead of radio stations. Also I would like to make a playlist of more than 1000 songs. On the other hand it's definitely the most stable of the Music streaming apps on Android that I've tried."
"Google Play Music","Andrea_Pierre _Delgado","April 30, 2019",5,"its useful to me(♥ω♥ ) ~♪"
"Google Play Music","Oning diskarte","April 30, 2019",4,"nice"
"Google Play Music","Jay Hunter","April 30, 2019",5,"Awesome"
"Google Play Music","Shannon foss","April 30, 2019",5,"love love love this!!!"
"Google Play Music","Sebastian Zerlin","April 30, 2019",4,"good"
"Google Play Music","Tosha Gillespie","April 30, 2019",5,"cool beans"
"Google Play Music","Patricia George","April 30, 2019",5,"love it"
"Google Play Music","Mrr PRK On The mix","April 30, 2019",4,"Khmer"
"Google Play Music","Todd Sweetland","April 30, 2019",5,"I heard Google Play Music will eventually be scrapped for YouTube Music . I notice my Google Play Music subscription this month is NOT disabling ads on YouTube now . Sad ."
"Google Play Music","Max hhh","April 30, 2019",4,"please fix the crashing glitch soon or you'll lose my $120 a year"
"Google Play Music","ELIZABETH FRENCH","April 30, 2019",1,"i dont listen to music on my phone"
"Google Play Music","Junior Labrada","April 30, 2019",1,"Google where is the folders"
"Google Play Music","Sajahan Khan","April 30, 2019",5,"tnx"
"Google Play Music","red bird show","April 30, 2019",5,"cool mic"
"Google Play Music","Shuqaale Maxamad","April 30, 2019",3,"shuqaalemaxamad"
"Google Play Music","Vicky Solanki","April 30, 2019",5,"vs"
"Google Play Music","Miss M","April 30, 2019",2,"constantly crashing and losing my music."
"Google Play Music","Andrea Bryant","April 30, 2019",5,"You can listen to pretty much anything you want"
"Google Play Music","Bhidu Sinha","April 30, 2019",5,"swaraj sinha"
"Google Play Music","Social Silence","April 30, 2019",1,"I want my equalizer back. >:|"
"Google Play Music","jitendra pawar","April 30, 2019",5,"nice"
"Google Play Music","Alex Gomez","April 30, 2019",4,"Beautyful"
"Google Play Music","Pavan Unique","April 30, 2019",4,"Good for listening of music, songs ."
"Google Play Music","DJ Davis","April 30, 2019",3,"My payment date keeps changing. It is supposed to be the 3rd of every month. Please fix this asap Ive been a subscriber to family for years, and this is tiresome."
"Google Play Music","Andrew Gillies","April 30, 2019",5,"Fantastic"
"Google Play Music","Bradley Vanua","April 30, 2019",4,"Could've given 5 stars but I can't mark multiple songs to send it to a playlist, it's annoying sending one song at a time to the playlist... please fix.."
"Google Play Music","Mohamed Riffan","April 30, 2019",5,"nice"
"Google Play Music","Waseem Abbas","April 30, 2019",5,"excellent apps for listening music."
"Google Play Music","Irbaz Remo","April 30, 2019",5,"good"
"Google Play Music","maroof saani","April 30, 2019",1,"celebrating Greece's"
"Google Play Music","benny whirlwind","April 30, 2019",1,"force stop..."
"Google Play Music","Enrique Zamarripa","April 30, 2019",3,"Needs more widgets options as well as proper lockscreen player. While I do use Android Auto, the option for a lockscreen player is great to change music on the fly without unlocking the phone as the notification player is sometimes inconvenient. Also be nice that when I download my library, it could be played on other music players, but that's between the apps and Google."
"Google Play Music","channel light","April 30, 2019",1,"vogus"
"Google Play Music","Joe Gates","April 30, 2019",1,"garbage goggle app.. rooted to block and remove from phone."
"Google Play Music","Neha Ray","April 30, 2019",1,"mahipandey"
