"appTitle","userName","date","score","text"
"Microsoft Outlook","Jayarama Iyer","May 9, 2019",5,"good for working"
"Microsoft Outlook","Pankaj Kumar","May 9, 2019",2,"My outlook app is not working and not loading e Mail. this is going very frequently."
"Microsoft Outlook","Mohammad Shiraz","May 9, 2019",5,"very nice"
"Microsoft Outlook","Abdul Wali Jan","May 9, 2019",5,"what an Awesomazing App thank you team outlook"
"Microsoft Outlook","Eve Fox","May 9, 2019",1,"i dont have the room to update and your app wont let me check my mail. thats stupid."
"Microsoft Outlook","Allan Fisher","May 9, 2019",4,"awesome mail app, jusy like gmail."
"Microsoft Outlook","mayur sali","May 9, 2019",1,"it shows getting download message whenever update app in latest version. facing same issue from last 2 updates."
"Microsoft Outlook","CMA Raghvendra Singh Sengar","May 9, 2019",5,"great"
"Microsoft Outlook","Yaseen Khan","May 9, 2019",5,"i really like it because of it is too easy to use and giving many things... 😊😊"
"Microsoft Outlook","Ismail Ahmad","May 9, 2019",5,"Good"
"Microsoft Outlook","Mi Chelle","May 9, 2019",5,"very useful"
"Microsoft Outlook","Eric X","May 9, 2019",3,"needs consolidated inbox for the PC version of outlook"
"Microsoft Outlook","Luis Miranda","May 9, 2019",4,"The search is not always good but the app works fine"
"Microsoft Outlook","Prasad Padwal","May 9, 2019",4,"currently notifications are received only for inbox. emails received in every folder should be notified to user. unless we go and check the folder we dont come to know about new emails."
"Microsoft Outlook","5Theresia","May 9, 2019",5,"Nice and smooth experience"
"Microsoft Outlook","Mark Botirius","May 9, 2019",5,"Outlook is a great email service I especially like that I have many of the same tools that are available in Word. You can even put mathematical formulas in your emails. This is not possible in any other email service that I am aware of. Microsoft is a great company."
"Microsoft Outlook","aditya tiwari","May 9, 2019",5,"excellent"
"Microsoft Outlook","Manoj Patil","May 9, 2019",5,"ok"
"Microsoft Outlook","John Reilly","May 9, 2019",3,"I have to constantly provide my password before One Drive will let me access my outlook email address. I have renewed my annual subscription to office 365. In addition, my outlook email account is also the primary account for my cell phone service provider. Short of dumping my 2018 subscription to Microsoft Office 365 for good, I don't know what else to do? And please don't insult me with FAQ."
"Microsoft Outlook","tanmoya kishore bakhara","May 9, 2019",5,"Good"
"Microsoft Outlook","Mukesh Kumar Sudhakar","May 9, 2019",5,"Great app"
