"appTitle","userName","date","score","text"
"Amazon Shopping","Elena Stanojkovic","April 18, 2019",5,"greapeeps"
"Amazon Shopping","5th Ave","April 18, 2019",1,"I ordered an item, never received a confirmation number, never received a tracking number.. and never received my item.. the money was removed from account as well.. its been 15 days.. i would suggest that no one uses this app.. i will NEVER do any business with Amazon again and i will spread the word to everyone i know.. negative 1,000,000 stars"
"Amazon Shopping","Shion Chan","April 18, 2019",4,"its the same as the site but on your phone"
"Amazon Shopping","Jonathan Mrotz","April 18, 2019",1,"Propped up figurehead."
"Amazon Shopping","Jose Santiago","April 18, 2019",2,"It's crazy to think a company as big as Amazon can have an app as slow and unresponsive as this one. Any time I look at an item that has multiple options, it takes forever to get those options to load, it they do at all. Playing product videos is always a hit or miss. my lists don't update properly. The Amazon Underground app was far superior but that's being discontinued, so here we are stuck with this."
"Amazon Shopping","Hakeem Louisy","April 18, 2019",4,"good"
"Amazon Shopping","Darwyn delgado","April 18, 2019",5,"good app"
"Amazon Shopping","KEATE WILSON","April 18, 2019",5,"great"
"Amazon Shopping","sharon brown","April 18, 2019",5,"great"
"Amazon Shopping","Werwolf12","April 18, 2019",1,"It asks for Bluetooth connection information. Why would this be needed?"
"Amazon Shopping","Lexy Smith","April 18, 2019",5,"As someone that has anxiety and afraid to leave her home, their isn't anything that I can't order when I need it. to send gifts for weddings baby shower, or any other occasions. I love my Amazon"
"Amazon Shopping","Pafanam Hamidu","April 18, 2019",5,"nice"
"Amazon Shopping","Miranda Cervantes","April 18, 2019",5,"L💖VE Amazon. 💕💞"
"Amazon Shopping","James McGrandles","April 18, 2019",1,"App forces update even when auto update disabled. Removed from phone & will never use again."
"Amazon Shopping","Sharmila Chaudhary","April 18, 2019",5,"best app"
"Amazon Shopping","Ann Hajduk","April 18, 2019",5,"love this!"
"Amazon Shopping","Lilly Cruz","April 18, 2019",5,"cool😊😊"
"Amazon Shopping","C.S. O","April 18, 2019",5,"best shopping app"
"Amazon Shopping","subhan dilbar","April 18, 2019",5,"it is stupendeous"
"Amazon Shopping","Simra Khan","April 18, 2019",5,"Its the best online store for anything and everything. Love the added security I get with my Prime Membership. App is easy to use and shows detailed description of most products."
"Amazon Shopping","Mohammed Maajeeth","April 18, 2019",3,"need more improvement"
"Amazon Shopping","Dawna Lopez","April 18, 2019",5,"always a please and great"
"Amazon Shopping","gayle Marshall","April 18, 2019",5,"I enjoy wearing them size is perfect for me 16 , colors are always great and don't fade."
"Amazon Shopping","tony stanford","April 18, 2019",5,"never saw a screen to check out"
"Amazon Shopping","Lesley Thompson","April 17, 2019",3,"good response"
"Amazon Shopping","Jamie Lindsay","April 17, 2019",5,"love amazon"
"Amazon Shopping","Mohad. Zahid","April 17, 2019",5,"Nice"
"Amazon Shopping","Joseph Gadbaugh","April 17, 2019",3,"if it would just not run in the BACKGROUND so much!!! then it'd be 5 stars. stop draining my batyery, please!"
"Amazon Shopping","Richard Tan Tan","April 17, 2019",1,"lack customer service. i uninstalled this app. plenty of ecommerce sites available."
"Amazon Shopping","Annette Holloway","April 17, 2019",5,"easy shopping"
"Amazon Shopping","Devon Langley","April 17, 2019",5,"awesome"
"Amazon Shopping","james welch","April 17, 2019",5,"great"
"Amazon Shopping","Sarah Jean","April 17, 2019",4,"i think I'm addicted to Amazon... there are pretty good deals on Amazon but i noticed recently that they allow anyone to sell items through them. 3 out of 5 of my recent orders got messed up. and Amazon usually doesn't make up for it right away, if at all so you'll have to deal with the seller. Also, the shipping carrier Amazon has, sucks, they rarely deliver on time, two day shipping turns into an -up to- six day, shipping. but that's on the company, not the app, the app is fine so far"
"Amazon Shopping","Courtney C","April 17, 2019",5,"Awesome app. I don't even use the website anymore."
"Amazon Shopping","Charlie Waffle","April 17, 2019",1,"I made my first purchase 2 days ago and cause I'm a ""prime customer"" my shipment had to arrive today supposedly... to my house... it did not... even tough it said ""delivered"" then I called Amazon support and they said they were ""sorry"" that I took my day off from work to receive the package but it did not make it to my house and it was at the post office... so either I took another day off at work to receive it or I had to go pick it up directly tomorrow at the post office...don't believe them"
"Amazon Shopping","Natasha Smith","April 17, 2019",5,"love this app"
"Amazon Shopping","Denisse Martinez","April 17, 2019",4,"i wish they have a setting that allowed you to open amazon smile. As of right now you have to use your laptop if you want to shop using amazon smile and cant access it on the app"
"Amazon Shopping","Nick Kummer","April 17, 2019",5,"I absolutely love using Amazon shopping! Fast, convenient, and has good selections. And offers some free shipping on select items. Having coupons would be more beneficial. Or order so much, save some kind of a deal. Especially when one might order a lot. I have Amazon Prime, but it offers no discounts for my membership. Only disappointment."
"Amazon Shopping","Joseph Ristau","April 17, 2019",5,"GOOD"
"Amazon Shopping","Miss Bri","April 17, 2019",5,"user friendly"
"Amazon Shopping","Gioia Heslar","April 17, 2019",1,"Nothing is more frustrating than the lists on this app. Constantly, my lists keep getting mixed up. I put things on one list and next thing I know, everything is doubled onto another list which is a pain when there is more than one person on the other list so they see it and think things have been added that shouldnt have been. This bug is frustrating!!!"
"Amazon Shopping","Dennis Xu","April 17, 2019",1,"The animations are so slow."
"Amazon Shopping","Debbie Kalfaian","April 17, 2019",5,"😁😁😁😁😎"
"Amazon Shopping","chunwoo park","April 17, 2019",3,"returned one item but i did not take a full amount of money back."
"Amazon Shopping","Leonard Perry","April 17, 2019",1,"Reese's m! ^u"
"Amazon Shopping","Jason Kabrich","April 17, 2019",5,"great expereince.."
"Amazon Shopping","Keith Nebor","April 17, 2019",1,"BAD UPDATE !!! NOT UPDATING, DUE 2 HORRIBLE REVIEWS ! Just read them !"
"Amazon Shopping","Tawney Balistreri","April 17, 2019",5,"good"
"Amazon Shopping","dopey lasagna","April 17, 2019",1,"I'm living my best life, don't need the high Amazon prices, I'm living my best life, skip Amazon and their high prices, I'm living my best life"
"Amazon Shopping","Annettia Jones","April 17, 2019",5,"great app, I have no problem with it , easy to use."
"Amazon Shopping","Veronica Williams-Sewell","April 17, 2019",3,"use to love this. pushed an update now it takes forever to load and work. #annoyed"
"Amazon Shopping","Lisa Showaltetj","April 17, 2019",5,"good yes"
"Amazon Shopping","Un3xPect3d","April 17, 2019",5,"Comes in like 2 to 3 days"
