"appTitle","userName","date","score","text"
"Snapchat","Drevon Anderson","May 14, 2019",5,"It's a really good app"
"Snapchat","Malak Dahab","May 14, 2019",4,"I can't change my bitmoji hairstyle, hairstyles re too old nd i want the new hairstyles."
"Snapchat","Hannah Schultz","May 14, 2019",1,"can't use my camera all of a sudden. black screen."
"Snapchat","A Google User","May 14, 2019",5,"cool"
"Snapchat","Destiny Kazamba","May 14, 2019",4,"l a friende .z FRlENDS XXX . SINGLE .KIDS GROWN LIVE ALONE"
"Snapchat","Nineth Nusantara","May 14, 2019",1,"where is my female long hair?"
"Snapchat","Kevin Stafford","May 14, 2019",3,"v8"
"Snapchat","Gustavo Wafflespoon","May 14, 2019",5,"good"
"Snapchat","Anahi Gutierrez","May 14, 2019",5,"It really works on filters"
"Snapchat","Boomer B","May 14, 2019",5,"cuz why not"
"Snapchat","Jordon Torres","May 14, 2019",5,"ok"
"Snapchat","Shonell Joseph","May 14, 2019",5,"snapchat is so sweet"
"Snapchat","ruby natanya","May 14, 2019",5,"Amazing = snapchat"
"Snapchat","A Google User","May 14, 2019",5,"its the best ever and no im not a bot im a human. 😀"
"Snapchat","Jennifer Rodriguez","May 14, 2019",5,"this is a really fun app to contact with freinds and family i love getting to see the new filters they are always so fun to use"
"Snapchat","A Google User","May 14, 2019",4,"Phone updated the app and now it won't work at all. Have uninstalled and 
installed again but still nothing!"
"Snapchat","Malik Mohamed","May 14, 2019",1,"plz fix the camera connection for androed devices"
"Snapchat","karla jimenez","May 14, 2019",5,"amazing"
"Snapchat","Joshua Bush","May 14, 2019",4,"great"
"Snapchat","Dish Installations","May 14, 2019",5,"this app its dope✌"
"Snapchat","Carol Peel","May 14, 2019",5,"lovvvveeee"
"Snapchat","Joel Rivera","May 14, 2019",5,"Amazing!!!!"
"Snapchat","cesar a","May 14, 2019",5,"good"
"Snapchat","GUCCIWITCH 333","May 14, 2019",3,"ok for nudes"
"Snapchat","Michael Gibson","May 14, 2019",2,"your latest filters do not work on my phone. why, I dont know. I have a galaxy s8."
"Snapchat","Hani Radi","May 14, 2019",1,"you just destroy the quality of the camera and we are waiting too long to have the good quality and you give us a sh**"
"Snapchat","Dylan Wolfe","May 14, 2019",5,"great app"
"Snapchat","Budderfingers 27","May 14, 2019",1,"James Charles is clapped"
"Snapchat","Cosplay Troop","May 14, 2019",5,"Os good"
"Snapchat","Theresa Taylor","May 14, 2019",5,"it is the best the filters are beautiful"
"Snapchat","Farhan Khan","May 14, 2019",5,"yeah that's great"
"Snapchat","steve sanford","May 14, 2019",5,"pretty cool"
"Snapchat","Anne Murphy","May 14, 2019",1,"nah"
"Snapchat","Banna Fam2047","May 14, 2019",5,"it good for everything x"
"Snapchat","Zahraa Dia","May 14, 2019",5,"❤️❤️❤️❤️❤️❤️❤️"
"Snapchat","Nathen Reed","May 14, 2019",5,"I love it"
"Snapchat","hoi I'm angieee","May 14, 2019",5,"noice"
"Snapchat","Onuoha Chukwuka Johnson","May 14, 2019",3,"its wow......."
"Snapchat","Jordyn Bagozzi","May 14, 2019",5,"good hope you like this"
"Snapchat","Karleen Trigueiro","May 14, 2019",5,"loved it"
"Snapchat","Candy Gill","May 14, 2019",2,"Can't get some of my filters to work."
"Snapchat","Adimchi Oraegbunam","May 14, 2019",1,"i can't log into my snapchat and its really pissing me off"
"Snapchat","Shenaka Cotton","May 14, 2019",3,"I can't get the updated messages from ppl cause it's saying update in my play store and I've done it already"
"Snapchat","Happiness Osuyak","May 14, 2019",1,"it so good and 😍😍"
"Snapchat","Adisa Toheeb","May 14, 2019",1,"how can I delete my account want to reopen it, having issue with my account"
"Snapchat","Leitania fay Dorasamy","May 14, 2019",5,"Good"
"Snapchat","A Google User","May 14, 2019",1,"im still having tons of bug issues with the update. nothing has been fixed and it's still an issue for my Samsung. my chats arent saving at all and the new update doesnt have all the features that iphone has...!!!"
"Snapchat","Odie Mckown","May 14, 2019",5,"it amazing cuz i can talk to all my friends"
"Snapchat","Rohaine Swch","May 14, 2019",4,"good"
"Snapchat","Jennifer Coggins","May 14, 2019",5,"perfect"
"Snapchat","Kaleb Johnson","May 14, 2019",5,"it helps when you need faceting or just when you want to have fun"
"Snapchat","Ollie Goodhind","May 14, 2019",5,"gooooodddd"
"Snapchat","VE GA","May 14, 2019",5,"i can easliy message my friends who live far away"
"Snapchat","Adesanya Wasiu","May 14, 2019",1,"so fun"
"Snapchat","Sara B","May 14, 2019",3,"So when do samsung-users get the multisnap function?? Update: Thank you."
"Snapchat","Luis Quiterio","May 14, 2019",5,"good"
"Snapchat","Colbeasley Gonzales","May 14, 2019",5,"its cool"
"Snapchat","Edward Hill","May 14, 2019",5,"its best"
"Snapchat","Destiny Gillespie","May 14, 2019",5,"i love this app💓💓😍😍😍😘😘😘"
"Snapchat","Dean Rhodes","May 14, 2019",1,"snapcrap!"
"Snapchat","Nizel Orbita","May 14, 2019",5,"Its good"
"Snapchat","Val G.","May 14, 2019",2,"very laggy"
"Snapchat","Kevin Abaunza","May 14, 2019",1,"so slow on filters and i have fast wifi"
"Snapchat","matt fales","May 14, 2019",4,"I'm used to the new update"
"Snapchat","Ramsey Dent","May 14, 2019",3,"ioiuouu7 you party huh PKU luck in s a okop"
"Snapchat","puppylove puppy","May 14, 2019",5,"i really love snapchat because its so fun and easy"
"Snapchat","Roisin Sunner","May 14, 2019",5,"BEST SOCIAL MEDIA APP"
"Snapchat","Anna Ford","May 14, 2019",5,"loveeee snapchat it's fun when your bored"
"Snapchat","Juvela Obi","May 14, 2019",1,"well that was the biggest waste of thirty seconds of my life..."
"Snapchat","Adesh Shrivastava","May 14, 2019",2,"okay"
"Snapchat","Aman Shah","May 14, 2019",5,"nice"
"Snapchat","Kokey Khaled","May 14, 2019",5,"روعه"
"Snapchat","Isaac Finn","May 14, 2019",5,"Crashes everytime I open"
"Snapchat","Annie Adams","May 14, 2019",5,"it take picture good"
"Snapchat","Amy Lowe","May 14, 2019",3,"have not used yet"
"Snapchat","Janneth Valencia","May 14, 2019",3,"could do better on some things"
"Snapchat","Fouzia Anjum","May 14, 2019",5,"I'm shook. the app is amazing it works without a sim card legit shook"
"Snapchat","TGEMEMPHIS KID","May 14, 2019",1,"this is gooddddd"
"Snapchat","kdogs wills","May 14, 2019",5,"love it 😍😍"
"Snapchat","Steph Lokzz","May 14, 2019",5,"✌🏼"
"Snapchat","Steph Lokzz","May 14, 2019",5,"✌🏼"
"Snapchat","Valery Gutierrez","May 14, 2019",5,"Really good app.👍"
"Snapchat","nizakat iqbal","May 14, 2019",5,"bring back the snapchat widget for android please. thanks."
"Snapchat","Ali Wika","May 14, 2019",5,"nice"
"Snapchat","Fiona Says Hi","May 14, 2019",3,"bit laggy at times"
"Snapchat","Hey Paris","May 14, 2019",5,"yeet"
"Snapchat","kayla Barber","May 14, 2019",3,"can you make Snapchat have two accounts like hold the button down to switch account plz and can you make it go live so people can see you Snapchat live can Android have YOLO."
"Snapchat","jazzylolcx !","May 14, 2019",5,"very good (:"
"Snapchat","A Google User","May 14, 2019",5,"luv it"
"Snapchat","Brandon Schiller","May 14, 2019",1,"Snapchat straight up took my account and threw it away"
"Snapchat","Paul Alfiler","May 14, 2019",2,"majority of the app features are okay i just wanna talk about how the new gender swap filters dont work similarly to the iphone version. im using a samsung s8 and the filters dont apply until you take the actual photo. you cant record a video with the filter on."
"Snapchat","Geranimo Stilton","May 14, 2019",5,"good 👅💛"
"Snapchat","Sashil Lata","May 14, 2019",5,"Gud"
"Snapchat","Deadlygamer2537","May 14, 2019",5,"it is good for chatting with friends and family"
"Snapchat","Ann Davoren","May 14, 2019",1,"Its good but I like it but i cant get lenses on my samsung galixy tab 3 plz fix"
"Snapchat","CHURCH_FIRE yes","May 14, 2019",5,"Amazing"
"Snapchat","macaelin padayachee","May 14, 2019",4,"wish you didn't have to hold the record button for it to record, lol sometimes you need both hands in a picture"
"Snapchat","Nya Gurton","May 14, 2019",3,"very great."
"Snapchat","Matthew Cooper","May 14, 2019",5,"Best"
"Snapchat","MacLellan Boys","May 14, 2019",5,"great it is very fun"
"Snapchat","Siphesihle Mtungwa","May 14, 2019",2,"takes long to download"
"Snapchat","John Anthony Villegas","May 14, 2019",5,"5 finger snaps"
"Snapchat","Mary Flores","May 14, 2019",1,"ever since the new update I've had to uninstall and reinstall the app. it glitches. tried force stop and it wouldn't work (happened 5 times in the last 3 days) I love this app, hope you guys can fix. everything else on my phone is fine. it's just the app."
"Snapchat","Caitlyn Smith","May 14, 2019",1,"it is horrible"
"Snapchat","Renata Ford","May 14, 2019",5,"given me one more day and a wonderful 💓 and smiled as being in my name but it still has a screenshot of it for"
"Snapchat","Serena White","May 14, 2019",5,"it nice and funny"
"Snapchat","Julianna Yandow","May 14, 2019",4,"its cool. needs more cool filters"
"Snapchat","Trina Poe","May 14, 2019",5,"good bit need more filters"
"Snapchat","Jose Rodríguez","May 14, 2019",5,"friend you know how you feel"
"Snapchat","Farhan Bilal","May 14, 2019",5,"good"
"Snapchat","sevlow","May 14, 2019",4,"its so handy but add more male filters"
"Snapchat","prince lewis","May 14, 2019",3,"would be great if the user could of manually type to search for lens"
"Snapchat","Tanaya Thomas","May 14, 2019",5,"this app is so good and i can tap to chat with my friends😀"
"Snapchat","A Google User","May 14, 2019",5,"Its slow"
"Snapchat","laura clark","May 14, 2019",5,"great app!"
"Snapchat","Claire Smith","May 14, 2019",5,"it's a fun app to do funny pictures with funny and cute filters and it's fun to call and video call friends too xxx"
"Snapchat","Paige Zettel","May 14, 2019",3,"My keyboard doesn't always come up when texting. snaps and messages also don't load or send quickly. Also unable to get access to memories while in chat."
"Snapchat","Inasity_ _","May 14, 2019",5,"chi wee wee 10 out of 10"
"Snapchat","Kristan Ratliff","May 14, 2019",5,"eskeeet *enough said*"
"Snapchat","StraightOrgen50","May 14, 2019",5,"awesome"
"Snapchat","fish chip","May 13, 2019",4,"Tasty"
"Snapchat","SunnyAllana","May 13, 2019",5,"I will die without this app please fix the bugs so i can use it in a proper manner ."
"Snapchat","#yaar anmulle","May 13, 2019",5,"osam apppn"
