"appTitle","userName","date","score","text"
"Maps - Navigate & Explore","Munna Kumar Yadav","May 6, 2019",5,"amt0"
"Maps - Navigate & Explore","indian tech warrior","May 6, 2019",4,"good 😎😎😎😎😎😎😎😎😋😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗😎😎😎😎😎😎😎😎😎"
"Maps - Navigate & Explore","Ramrahish Rajput","May 6, 2019",5,"ok"
"Maps - Navigate & Explore","COMPARE","May 6, 2019",5,"good"
"Maps - Navigate & Explore","Panakj Rana","May 6, 2019",5,"helpful"
"Maps - Navigate & Explore","Ah Ah","May 6, 2019",3,"ooo"
"Maps - Navigate & Explore","jubayer sikder","May 6, 2019",5,"This is the best app😊😊"
"Maps - Navigate & Explore","Claire Quintos","May 6, 2019",5,"excellent"
"Maps - Navigate & Explore","Smaeil Reihani","May 6, 2019",5,"👍👍👍"
"Maps - Navigate & Explore","Bhanupratap Tawar","May 6, 2019",5,"how to make♏🅰🎋📧"
"Maps - Navigate & Explore","ROSHAN BYLAPUDI","May 6, 2019",5,"super"
"Maps - Navigate & Explore","Meenakshi Gupta","May 6, 2019",5,"thiS very heplful and give direction same"
"Maps - Navigate & Explore","Krishnam Upadhyay","May 6, 2019",5,"Best"
"Maps - Navigate & Explore","Hardeep Puri","May 6, 2019",1,"poor"
"Maps - Navigate & Explore","Charan Divya","May 6, 2019",5,"superv"
"Maps - Navigate & Explore","Maggie May","May 6, 2019",5,"love this app"
"Maps - Navigate & Explore","tom cox","May 6, 2019",5,"Morning. Maps updates have really improved. As a truck driver i use 97% app and 3% phone call to my clients. Your app still puts me to the front doors when i need the back docks. Keep up the good work."
"Maps - Navigate & Explore","Lucky khatiza 9643","May 6, 2019",1,"bakwas"
"Maps - Navigate & Explore","Prathmesh Jadhav","May 6, 2019",5,"good"
"Maps - Navigate & Explore","SANDIP CHIKANE","May 6, 2019",5,"nice"
"Maps - Navigate & Explore","Farooq Awan","May 6, 2019",3,"it's good to use it, but sometimes it distract"
"Maps - Navigate & Explore","Fk A. Pobee","May 6, 2019",5,"Great improvements"
"Maps - Navigate & Explore","Rana Bro Studio","May 6, 2019",5,"wow i just love this app..."
"Maps - Navigate & Explore","Odilio Arce","May 6, 2019",5,"ok"
"Maps - Navigate & Explore","Zahid Ahmad","May 6, 2019",5,"excellent job"
"Maps - Navigate & Explore","Ērika Beča","May 6, 2019",2,"For almost a year I have been struggling with public transport navigation. It always showed trolley, buss and tram and it was very helpful. Now google added mini buses and I cannot chose route without mini bus. Mini buses are extra cost and students don't even have minibus tickets included in their monthly ticket. They are seperate from other Riga public transport and it should be possible to uncheck it out of route planning."
"Maps - Navigate & Explore","JO ANNE MESSINA","May 6, 2019",5,"excellent"
"Maps - Navigate & Explore","Pramod Negi","May 6, 2019",3,"app is good but many time i found that the navigation arrow that shows the direction that disappear and a small circle show and screen flips towards opposite direction. i dont know why this is happening. pls let me know"
"Maps - Navigate & Explore","محمد عبدالهی","May 6, 2019",5,"thanks google for developing this great app"
"Maps - Navigate & Explore","Hasan Abbad","May 6, 2019",4,"very useful very easy . Easley to use any where any destination"
"Maps - Navigate & Explore","Burak Agalday","May 6, 2019",1,"Not followed by gps. Always lost"
"Maps - Navigate & Explore","shailendra sawant","May 6, 2019",4,"nice"
"Maps - Navigate & Explore","Morteza Mokary","May 6, 2019",4,"خ. به"
"Maps - Navigate & Explore","Ernest Tochukwu","May 6, 2019",5,"very good"
"Maps - Navigate & Explore","Zaidy Edy","May 6, 2019",5,"Okay"
"Maps - Navigate & Explore","chris w","May 6, 2019",2,"offline maps has never worked for me. in any country or city. for example, i just updated 3x's and the map expires yesterday. it will not work without internet connection. once you start dont make any changes to destination else you get a blank page."
"Maps - Navigate & Explore","Ramya Lankalapalli","May 6, 2019",5,"good"
"Maps - Navigate & Explore","Kamini Singhal","May 6, 2019",5,"best app for transport and visiting you cant wander if yo use it and it tells you the right way by this i can go anywhere without tension of lossing i always use when i go to somewhere and i know small about the place ialways use it to find my way many times it take out me from very strange places i never loss my way through it by only it i have not to ask someone the way when i feel that i have lost the way i open it and track my way very easily please download it and use it you will also happy."
"Maps - Navigate & Explore","Game Deffender","May 6, 2019",5,"best ever map real very good i like it very much make more app all the best to you"
"Maps - Navigate & Explore","Mosharef hosen Monju","May 6, 2019",5,"Helpful"
"Maps - Navigate & Explore","Yasir Bukhari","May 6, 2019",5,"nice"
"Maps - Navigate & Explore","Brij Singhpatel","May 6, 2019",1,"short cut Street option not available not perfect"
"Maps - Navigate & Explore","Tanesh Taneshwaran","May 6, 2019",5,"nice app"
"Maps - Navigate & Explore","LIBIN K S","May 6, 2019",3,"i added a missing place in the google map and it is confirmed but pic which i added is not coming at the top it is coming only in the review, why ??"
"Maps - Navigate & Explore","Jagannath Barman","May 6, 2019",5,"nice"
"Maps - Navigate & Explore","Ebenezer Mensah-Bonsu","May 6, 2019",5,"Its very useful"
"Maps - Navigate & Explore","Ravinder Rathi","May 6, 2019",5,"best"
"Maps - Navigate & Explore","All teach by aman","May 6, 2019",5,"Good"
"Maps - Navigate & Explore","danneyrokkaladero Ladero","May 6, 2019",5,"make it even better"
"Maps - Navigate & Explore","Frank Longacre","May 6, 2019",2,"likes to run you into traffic and then add time to your travel instead of recalculating your route"
"Maps - Navigate & Explore","Raju Singh Raju Singh","May 6, 2019",5,"super"
"Maps - Navigate & Explore","cecy qg","May 6, 2019",2,"to slow"
"Maps - Navigate & Explore","Ahmad Shaukat","May 6, 2019",5,"good apps"
"Maps - Navigate & Explore","mahesh palle","May 6, 2019",2,"ovrege"
"Maps - Navigate & Explore","TC-habeb playears","May 6, 2019",5,"god god god"
"Maps - Navigate & Explore","devendra singh","May 6, 2019",2,"very useful app"
"Maps - Navigate & Explore","Sanjit Pal","May 6, 2019",1,"give me 140 cash"
"Maps - Navigate & Explore","krishan reet","May 6, 2019",5,"good"
"Maps - Navigate & Explore","Suresh Kumar","May 6, 2019",5,"super"
"Maps - Navigate & Explore","Raghu m","May 6, 2019",1,"Not working"
"Maps - Navigate & Explore","Abdul Jalil","May 6, 2019",5,"lebih Lengkap"
"Maps - Navigate & Explore","mohammad multani","May 6, 2019",2,"not satellite map open"
"Maps - Navigate & Explore","S R","May 6, 2019",1,"ever since the update it no longer works at all! just crashes"
"Maps - Navigate & Explore","Md Imran","May 6, 2019",5,"good"
"Maps - Navigate & Explore","Nomadic Traveller","May 6, 2019",5,"good app"
"Maps - Navigate & Explore","Jkp Prema","May 6, 2019",5,"amazing maps navigate"
"Maps - Navigate & Explore","Dontharaboina Naveen kumar","May 6, 2019",1,"nice"
"Maps - Navigate & Explore","Mathores Onslaught","May 6, 2019",2,"My fav & lists I created suddenly all disappeared!!!! Please fix this!!!! I've try uninstall & only got my fav list back, but other lists I created are still gone"
"Maps - Navigate & Explore","Shivam Dixit","May 6, 2019",4,"ok cool"
"Maps - Navigate & Explore","Shiva Prasad","May 6, 2019",1,"ಮ್ಯಾಪ್ ಉಲ್ಟಾ ತೋರ್ಸ್ತೀದೆ"
"Maps - Navigate & Explore","Shivangi Mewada","May 6, 2019",5,"hhhhh"
"Maps - Navigate & Explore","Ali Shah","May 6, 2019",5,"sadat"
"Maps - Navigate & Explore","Vikram Bittu","May 6, 2019",5,"thank you"
"Maps - Navigate & Explore","Dave Anderson","May 6, 2019",1,"total rubbish, shuts down after 2 seconds. worked fine before update, get your act together Google."
"Maps - Navigate & Explore","A&N CREATIONS","May 6, 2019",5,"good"
"Maps - Navigate & Explore","Ramila Nimavat","May 6, 2019",5,"tdy"
"Maps - Navigate & Explore","Indra Ihsan","May 6, 2019",5,"excellent app.."
"Maps - Navigate & Explore","Suresh V","May 6, 2019",5,"ok"
"Maps - Navigate & Explore","Mira Srivastav","May 6, 2019",5,"I love this app.because it shows all my neighbours along with my house. we can see all the things by keeping in satellite mode. 👍👍"
"Maps - Navigate & Explore","Shannon Johnson","May 6, 2019",5,"works great"
"Maps - Navigate & Explore","Beneth Naturinda","May 6, 2019",5,"excellent"
"Maps - Navigate & Explore","Raju M","May 6, 2019",5,"superb"
"Maps - Navigate & Explore","Chuma obuseli","May 6, 2019",5,"acurate"
"Maps - Navigate & Explore","Rahul Kumar","May 6, 2019",5,"it told us address"
"Maps - Navigate & Explore","Neelu Kanwar","May 6, 2019",1,"jdjfarus such hz sure"
"Maps - Navigate & Explore","badri naath98332","May 6, 2019",4,"good"
"Maps - Navigate & Explore","Arjun Toxic","May 6, 2019",5,"fantastic"
"Maps - Navigate & Explore","mëhêdí khãñ ßíjôy","May 6, 2019",1,"tnx"
"Maps - Navigate & Explore","Ashok Hase","May 6, 2019",5,"very nice"
"Maps - Navigate & Explore","Charles Dobson","May 6, 2019",4,"the only thing that I can see that I think needs to be headed is mph. If it's on the app, I can't find it. otherwise I think it's a terrific app!"
