"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Chase Mobile","com.chase.sig.android","https://play.google.com/store/apps/details?id=com.chase.sig.android","https://lh3.googleusercontent.com/nSkpJQa6V2cjC0JEgerrwner4IelIQzg06DZY8dtGwRsq6iXcrxCX2Iop_VI9pohvnI","JPMorgan Chase","JPMorgan Chase","FREE",true,"Our Chase Mobile App makes it easy for you to bank on the go 24/7.","4.6",4.6286945"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Cash App","com.squareup.cash","https://play.google.com/store/apps/details?id=com.squareup.cash","https://lh3.googleusercontent.com/6RcPDQwPihY591Axu7e6mHhMZ22Q-dqeI5z9GkJiu4Hc-Xha77E6uoeplstYuv5RcnE","Square, Inc.","4878871734928263649","FREE",true,"Pay your friends instantly, and cash out to your bank for FREE!","4.0",4.0366244"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Venmo Mobile Wallet: Send & Receive Money","com.venmo","https://play.google.com/store/apps/details?id=com.venmo","https://lh3.googleusercontent.com/YAKMX5YFcuE8_NogkbM7gkqrhBY6CUefbpULAVnNZLSitbo9S3Dw2FIYNqhW0d5G94Y","PayPal, Inc.","PayPal, Inc.","FREE",true,"Venmo is the fast, fun mobile wallet for sending and receiving money.","4.6",4.6417923"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"IRS2Go","gov.irs","https://play.google.com/store/apps/details?id=gov.irs","https://lh5.ggpht.com/Vw1lnV8h7LKV9P4MNfx6GJbVRMj8rl14R0Yxo1eE_UqYPk-7g6pw3RGil19kbpU3WmY","Internal Revenue Service","Internal Revenue Service","FREE",true,"IRS2Go is the official app of the Internal Revenue Service.","4.1",4.100185"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"PayPal Mobile Cash: Send and Request Money Fast","com.paypal.android.p2pmobile","https://play.google.com/store/apps/details?id=com.paypal.android.p2pmobile","https://lh3.googleusercontent.com/vIJ7bv0rBwc3IdHaocUXloyLhJR6_vGhpwQGpXMR3ZD8dK_OnXpzPgb2FSpXnol-QipG","PayPal Mobile","PayPal Mobile","FREE",true,"The PayPal mobile app is the secure way to send, receive, and access your money.","4.4",4.415603"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"TurboTax Tax Return App – Max Refund Guaranteed","com.intuit.turbotax.mobile","https://play.google.com/store/apps/details?id=com.intuit.turbotax.mobile","https://lh3.googleusercontent.com/nNxJvU5rvYiRcWOO4_NktnyivazciiOJECcpCP1PuBfv4IeD8Y5tX1tkvlMRAGL3k5TR","Intuit Inc","7987416923533646496","FREE",true,"Snap a photo of your W-2, answer simple questions, then e-file taxes securely","4.2",4.2344785"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Credit Karma","com.creditkarma.mobile","https://play.google.com/store/apps/details?id=com.creditkarma.mobile","https://lh3.googleusercontent.com/qsOgYUrw6bKGFzMHa-n--TGNrZJcoOFWZTXJcSmh_PPmMFGy43o5ACkuIpsi1_95yR4","Credit Karma, Inc.","Credit Karma, Inc.","FREE",true,"Track your credit score, get reports and monitor for ID theft. All for free!","4.7",4.733484"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Bank of America Mobile Banking","com.infonow.bofa","https://play.google.com/store/apps/details?id=com.infonow.bofa","https://lh3.googleusercontent.com/GdICLxnKd-e-lmV46N_SjihWHzAUX1nj8e--dF2KrQjvomN4zxOR-iEWwsTG_Tqr_oc","Bank of America","5615837024201601069","FREE",true,"View balances, make transfers, deposit checks with the Bank of America App.","4.5",4.505452"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Fresh EBT - Food Stamp Balance","com.propel.ebenefits","https://play.google.com/store/apps/details?id=com.propel.ebenefits","https://lh3.googleusercontent.com/UPUwTdZtvDvEQLCUkTKf73ofmRANUAi9QP1rYnzGuBUXGQr2JpvSspwi7Bjlq5XnzyY","Propel Inc","7865210919269742770","FREE",true,"Check your EBT Card balance and Food Stamp spending. Accurate, free, and secure!","4.6",4.6066527"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Zelle","com.zellepay.zelle","https://play.google.com/store/apps/details?id=com.zellepay.zelle","https://lh3.googleusercontent.com/F4U2pL8z-Ic5FzCfe1xVXMWRvff6oEBIzDsyGRc4mE3bIUPiCfhuXXXvTOfcpVglKqs","Early Warning Services, LLC","Early Warning Services, LLC","FREE",true,"Zelle is the fast, safe, easy way to send money to friends and family.","3.3",3.264471
