"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Helix Jump","com.h8games.helixjump","https://play.google.com/store/apps/details?id=com.h8games.helixjump","https://lh3.googleusercontent.com/MpmyS6-bGnH2vRQBqS2W9IZLfo7P4KU1scgq515s9sufLXuwZGmQp4hlg-e5F8b9wg","VOODOO","VOODOO","FREE",true,"Get to the bottom!","4.4",4.370745"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Tomb of the Mask","com.playgendary.tom","https://play.google.com/store/apps/details?id=com.playgendary.tom","https://lh3.googleusercontent.com/wsYDOgBN7OtpaJMCvjoCvmaCSBZR7mzeSJW7_2JwU3_YkkrfYbEcGTBgv83S7936JTw","Playgendary","7486814720100409246","FREE",true,"Addictive tomb labyrinth. Time limit and lava are advancing – go only up!","4.3",4.3462334"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Ball Mayhem!","com.clement.ballmayhem","https://play.google.com/store/apps/details?id=com.clement.ballmayhem","https://lh3.googleusercontent.com/HNKEF6BKnY2xy_xCcoPnW7OlRK2zFiqk0yTTxXvokl2CAeaa11yXWpKPo7niS83L7A","VOODOO","VOODOO","FREE",true,"From rookie to MVP!","4.0",4.0337434"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"PUBG MOBILE","com.tencent.ig","https://play.google.com/store/apps/details?id=com.tencent.ig","https://lh3.googleusercontent.com/ErijvEHGIXFK_QGQ5K_5WpHEUwwaRmltzbjPrDPYAqxtCzc4acmiM4-GiNn47K0Urrw","Tencent Games","8638120915920097780","FREE",true,"WINNER WINNER CHICKEN DINNER!<br>Official PUBG on Mobile!","4.5",4.4942665"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Kick the Buddy","com.playgendary.kickthebuddy","https://play.google.com/store/apps/details?id=com.playgendary.kickthebuddy","https://lh3.googleusercontent.com/H_Te1sCRc5fwgpKDvcI-crLI3GoT48zOc_iDN4H9wEsI5vLuzJN33BegsU9rJHbLVOM","Playgendary","7486814720100409246","FREE",true,"Relief stress with Kick the Buddy! Limitless arsenal to beat at your disposal!","4.3",4.313214"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Snowball.io","com.geishatokyo.snowballio","https://play.google.com/store/apps/details?id=com.geishatokyo.snowballio","https://lh3.googleusercontent.com/MIqvePNkXL4LfBh_u8sjDH77ErPp-VU9dfF-UvOYrNVCtfCsw69ainqOxQUn2jfxOVU","Geisha Tokyo, Inc.","Geisha Tokyo, Inc.","FREE",true,"Push Off Your Opponents","4.7",4.6813517"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Sniper 3D Gun Shooter: Free Elite Shooting Games","com.fungames.sniper3d","https://play.google.com/store/apps/details?id=com.fungames.sniper3d","https://lh3.googleusercontent.com/jsCbtiCiRycZNz_sd5hfVcxCMrOwjygfMcCYucYXsNxhHStPbgU3S_aJvRPxJgGf_bJT","Fun Games For Free","8186084684070471579","FREE",true,"Best FREE 3D FPS shooting game. Fight on or offline, shoot hitman &amp; save the day","4.6",4.608032"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Bowmasters","com.miniclip.bowmasters","https://play.google.com/store/apps/details?id=com.miniclip.bowmasters","https://lh3.googleusercontent.com/iw0yy7JCUpgMXgI4umxaOMeocpZ4V8_M1cVl0acJhJzQVu3gFC4Po3H50IFxePUuk6Q","Miniclip.com","5933611429942957630","FREE",true,"A brand new version of the world-famous game with bowmen.","4.6",4.6330905"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Battle Royale: FPS Shooter","com.fpsshooter.battleroyale","https://play.google.com/store/apps/details?id=com.fpsshooter.battleroyale","https://lh3.googleusercontent.com/70PGisgb0m_rxlNy4s9DP2VHNNWKGDJz0YKGt6f6bWPE5g6_OLeIYvwKMqde1GAsksU","Azur Interactive Games Limited","5464069849262017456","FREE",true,"BATTLE ROYALE! Be the last player standing on the island!","4.0",4.0013723"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"slither.io","air.com.hypah.io.slither","https://play.google.com/store/apps/details?id=air.com.hypah.io.slither","https://lh3.googleusercontent.com/oObkhKfUXOY5yzheKe9w1Y1pXZBgdiSksMeNmT0BijoQ8J75maTCIW2TA7-6pA6EMA","Lowtech Studios","Lowtech Studios","FREE",true,"Play online with people all over the world! Can YOU become the longest player?","4.4",4.354652
