"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Tinder","com.tinder","https://play.google.com/store/apps/details?id=com.tinder","https://lh3.googleusercontent.com/stlBGKS482zWajOTk82IXFZhr22hk_NQewNOAJ0IeptPO73qfNesCyfNwW1-xwBiwv0","Tinder","8070166968320699506","FREE",true,"Match, Chat &amp; Meet New People","4.0",3.9811833"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Google Home","com.google.android.apps.chromecast.app","https://play.google.com/store/apps/details?id=com.google.android.apps.chromecast.app","https://lh3.googleusercontent.com/EIX5pscg5l1Quvsz17LKk6W5oCSIxOfukBAUmbGR4Uvs1uKDYvbNr0XYE7hqpI3KHQ","Google LLC","5700313618786177705","FREE",true,"Set up and control your Chromecast, Chromecast Audio, and Google Home devices","4.1",4.0535426"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Ms.Sibyl - See Future Me","com.ghost.sibyl","https://play.google.com/store/apps/details?id=com.ghost.sibyl","https://lh3.googleusercontent.com/Kwr9wGAjW_5hjFYvPhhijgKtwvmRYBHNRKoTo7_6e_EYhcP6tPbNuSaazVewww6MbA","GHOST TEAM","GHOST TEAM","FREE",true,"Ms.Sibyl - Time Machine to get old face and scan to see your past life.","2.8",2.8308134"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Fantastic Face – Daily face & Beauty Competition","com.hy.sfacer","https://play.google.com/store/apps/details?id=com.hy.sfacer","https://lh3.googleusercontent.com/Kvr0dJeVfarcuOP1aBRjTzC6UuwiUQRwG0UZffZvNtlFJv3D2w0ERjr-essFzXpF1B8","VIPTOP DATA LIMITED","VIPTOP DATA LIMITED","FREE",true,"Learn more about yourself！","2.3",2.302136"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"The PCH App","pch.apps.pchsweeps","https://play.google.com/store/apps/details?id=pch.apps.pchsweeps","https://lh3.googleusercontent.com/LlRr-yXW05qS3Sjp3IwkpA7e4h_T161EQV5AqAzH6j5poGmjWgchQpYWqRcwJ-7Muw","Publishers Clearing House","Publishers Clearing House","FREE",true,"Want To Win $25,000.00 A Month For Life?  Get the App for 2X ENTRIES!","4.5",4.5074286"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Horoscope Prediction - Zodiac Signs Astrology","com.horoscope.astrology.crystalball.predict","https://play.google.com/store/apps/details?id=com.horoscope.astrology.crystalball.predict","https://lh3.googleusercontent.com/coZss2fyFxu3351FVsj8VyS5EXtAQZqWeXSR9Brfo8U4xlduUH4vOp8KKG2mRvjfbio","Moxi Studio","Moxi Studio","FREE",true,"Check daily horoscope &amp; compatibility, know more about yourself.","3.7",3.6960433"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Family Locator - GPS Tracker","com.life360.android.safetymapd","https://play.google.com/store/apps/details?id=com.life360.android.safetymapd","https://lh3.googleusercontent.com/6e7UuLA7RATt1aXF3t4dYgul0M2K9YjXKJl9tjmySbduH2t3wMcf8uPsQnQR-AVHlkK1","Life360","Life360","FREE",true,"Family Locator lets you know your family is safe, even when they’re far away!","4.5",4.471267"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"SmartThings","com.samsung.android.oneconnect","https://play.google.com/store/apps/details?id=com.samsung.android.oneconnect","https://lh3.googleusercontent.com/zbO2ggF6K2YVII3qOfr0Knj3P0H7OdtTjZAcGBo3kK0vJppGoYsG4TMZINqyPlLa9vI","Samsung Electronics Co.,  Ltd.","5200379633052405703","FREE",true,"Control your Samsung Smart TVs, appliances, and SmartThings-compatible devices","4.1",4.1404796"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Notepad - Notes with Reminder, ToDo, Sticky notes","notes.notebook.memo.pad.color.notepad.locker","https://play.google.com/store/apps/details?id=notes.notebook.memo.pad.color.notepad.locker","https://lh3.googleusercontent.com/MwLKA7rZPiNhRN7lH4T5J-3Chyt3RMdWQxDnY_P65Yf24QSOf2ilPkszJ0KNWQT2UnM","Lemon, Inc","Lemon, Inc","FREE",true,"Take notes at anytime and wherever you go using this free notepad app.","4.8",4.8049083"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Unicorn Slime Maker and Simulator","com.kt.oodlysatisfying.slimemaker","https://play.google.com/store/apps/details?id=com.kt.oodlysatisfying.slimemaker","https://lh3.googleusercontent.com/W1GIsDYM2yzKCSs4wZpk0PEgzjZMQdIZMceueG_CrP4kJcPvqn8paTy4SuH9IejWkQ","Kitchen Tale","Kitchen Tale","FREE",true,"Unicorn Slime Maker and Simulator Rainbow Satisfying App - play Release Stress","3.7",3.6503046
