"appTitle","userName","date","score","text"
"Super Bino Go - New Games 2019","Jitu Das","April 2, 2019",5,"very bad"
"Super Bino Go - New Games 2019","Jennifer Perrin","April 2, 2019",5,"fun! Just like the older game"
"Super Bino Go - New Games 2019","mapula nyakale","April 2, 2019",5,"best of the best completed all the stages"
"Super Bino Go - New Games 2019","Sonu Goyal","April 2, 2019",5,"top"
"Super Bino Go - New Games 2019","Sheetal Kukreja","April 2, 2019",5,"this is my game"
"Super Bino Go - New Games 2019","Marjz Rivas","April 2, 2019",4,"like it...."
"Super Bino Go - New Games 2019","indra thapliyal","April 2, 2019",5,"wonderful game,remind me of my childhood"
"Super Bino Go - New Games 2019","breakinboy rahul","April 2, 2019",1,"best game mario 👌 it remind my childhood"
"Super Bino Go - New Games 2019","Craig Paul","April 2, 2019",5,"awesome fun funny and new to me ."
"Super Bino Go - New Games 2019","Pooja Rajput","April 2, 2019",5,"super game fantastic game i love this game really 😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗"
"Super Bino Go - New Games 2019","Shaza Alsaman","April 2, 2019",4,"great game"
"Super Bino Go - New Games 2019","Anngienick Cayopado","April 1, 2019",2,"love it"
"Super Bino Go - New Games 2019","Deepak P","April 1, 2019",5,"bahut accha game hai Jalsa itne itne itne itne Aur meri taraf se Milte Hain tu bahut accha"
"Super Bino Go - New Games 2019","Darryl Marticio","April 1, 2019",5,"nice game"
"Super Bino Go - New Games 2019","Sanjana Khetan","April 1, 2019",5,"very cool game is this bahut accha game hai main isko bahut like karti hoon. please aap is game ko Khel Ke Dekhi ke bahut accha game Hai I like this game very much."
"Super Bino Go - New Games 2019","Jamie rico Wyman","April 1, 2019",5,"great game play too me!!! ?😎"
"Super Bino Go - New Games 2019","Rajnesh Kumar","April 1, 2019",5,"it is a good game Waise Toh Mario Bros bhi acha h"
"Super Bino Go - New Games 2019","Mickayla Williams","April 1, 2019",5,"really fun"
"Super Bino Go - New Games 2019","Danilo Dacumos","April 1, 2019",5,"its nice game"
"Super Bino Go - New Games 2019","mohon ali","April 1, 2019",5,"রায়ান আলী"
"Super Bino Go - New Games 2019","Irish Romeo","April 1, 2019",5,"its really like super mario.. im sure my kids will love it too same as i when i was a kid😍😍"
"Super Bino Go - New Games 2019","Thalles Miranda Medeiros","April 1, 2019",5,"good"
"Super Bino Go - New Games 2019","Swagg Legendz","April 1, 2019",4,"prettycool."
"Super Bino Go - New Games 2019","Francisco Millien","April 1, 2019",5,"awesome!!!!🙂"
"Super Bino Go - New Games 2019","edward benson","April 1, 2019",5,"great"
"Super Bino Go - New Games 2019","A Google User","April 1, 2019",5,"love it"
"Super Bino Go - New Games 2019","A Google User","April 1, 2019",5,"nic game"
"Super Bino Go - New Games 2019","hardy NKODIA","April 1, 2019",4,"great"
"Super Bino Go - New Games 2019","A Google User","April 1, 2019",5,"best game ever"
"Super Bino Go - New Games 2019","Iqra Mano","April 1, 2019",5,"good one"
"Super Bino Go - New Games 2019","A Google User","April 1, 2019",5,"very good"
"Super Bino Go - New Games 2019","Thandi Matlaila","April 1, 2019",4,"I love the game it's stress relieving and I also hate the commercials otherwise 👍👍👍"
"Super Bino Go - New Games 2019","A Google User","April 1, 2019",4,"GOOD 😁"
"Super Bino Go - New Games 2019","A Google User","April 1, 2019",5,"hi I'm shravani I like this game so much I play this game from my childhood"
"Super Bino Go - New Games 2019","A Google User","April 1, 2019",5,"great"
"Super Bino Go - New Games 2019","Wina Erick","April 1, 2019",2,"kasih bintang dua aja dulu,belum mulai bermainnya"
"Super Bino Go - New Games 2019","maryleen savanhu","April 1, 2019",5,"it is good"
"Super Bino Go - New Games 2019","Brijesh narayan Srivasatav","April 1, 2019",1,"🙂😃🐑🐐🐃🦄"
"Super Bino Go - New Games 2019","A Google User","April 1, 2019",5,"afzal Khan"
"Super Bino Go - New Games 2019","A Google User","April 1, 2019",5,"Bring more😂"
"appTitle","userName","date","score","text"
"Roblox","Erns Jean-Baptiste","May 20, 2019",5,"awesome fun good great amazing"
"Roblox","Maria Godinez","May 20, 2019",3,"🙄🙄🙄🙄🙄🙄🙄🙄"
"Roblox","Lilac Da Shipping Gamer","May 20, 2019",5,"it good"
"Roblox","Yanira Garcia","May 20, 2019",5,"THIS GAME IS SOO GOOD JUST DO AN UPDATE WERE U DONT HAVE TO DELETE UR ACCOUNT TO DO ANOTHER ONE"
"Roblox","TESSA BUTERA","May 20, 2019",5,"i LOVE it"
"Roblox","Micheal Mahase","May 20, 2019",5,"love your game and I like how all of them are made up"
"Roblox","Alayla Burton","May 20, 2019",5,"I like this app"
"Roblox","Julie Kponyoh","May 20, 2019",5,"its sooo fun when i wanna chat to my friends, play with them and making my own games and clothing"
"Roblox","Bella Roses","May 20, 2019",5,"i love this games so much"
"Roblox","May Ann Ominga","May 20, 2019",5,"i like roblox but can i have atleast 500 or 100 or 1000robux"
"Roblox","A Google User","May 20, 2019",5,"it is a fun game to play me and my brothers and sisters always play adopt me and we play together it's nice but I hate when I have to update it and I love the sound my sister loves Escape my brother loves any game that we"
"Roblox","Dustin Brocksmith","May 20, 2019",5,"roblox is the best because it has meet city royal high and so much more"
"Roblox","Mya Mya","May 20, 2019",5,"it's a VERY good game"
"Roblox","natasha martinez","May 20, 2019",5,"uneak speshel.😉😇😆"
"Roblox","Rith Family","May 20, 2019",5,"U love it"
"Roblox","Unicorn_Squad gacha and roblox video's","May 20, 2019",5,"i do like it but... I wish the ""sign in as a guest"" was back so i dont have to play on my account and be left out of my roleplaying friends that leave me out, so i want the ""sign in as guest"" back so i dont have to frined anybody or my friends that leave me out."
"Roblox","Kitty_ Games","May 20, 2019",5,"i love it"
"Roblox","Ta'Kyli Boyd","May 20, 2019",3,"its good then it dosent work"
"Roblox","jasir egde","May 20, 2019",5,"its the best game ever"
"Roblox","Keysha Harrell","May 20, 2019",1,"it turn your phone off"
"Roblox","Sajid Jadoon","May 20, 2019",5,"I like roblox because u can make games and u can play games.Now if made some games and there was a lot of problems,but otherwise it's a good games for kids"
"Roblox","xXUnholyAngelXx","May 20, 2019",4,"I know that roblox mobile is gamepad compatible but I cant jump"
"Roblox","Aaron Quiros","May 20, 2019",5,"This game is awsome it is very very fun and you should download it."
"Roblox","Jia Pineda","May 20, 2019",5,"This is an awesome game with online players with love of this incredibly amazing game! It has a full game with minigames!"
"Roblox","Jemima Lood","May 20, 2019",1,"nothin more to say just ""i dont like the game"""
"Roblox","Araceli Alvarez","May 20, 2019",5,"I love it because I can play with my friends"
"Roblox","A Google User","May 20, 2019",1,"STUPID app!!!! makes u delete every thing on your phone for constant updates!"
"Roblox","Kaye ann Chavez","May 20, 2019",2,"pls i dont like Roblox now because it is always upgrade p!s stop upgrade it you need to fix it"
"Roblox","Shorty Butler","May 20, 2019",5,"it's the best"
"Roblox","solyhhit","May 20, 2019",5,"awesome"
"Roblox","A Google User","May 20, 2019",5,"it's cool because you can play different games"
"Roblox","RosesBloom","May 20, 2019",5,"This game is so awesome! Keep the work roblox!"
"Roblox","Maureen Judge","May 20, 2019",3,"Fun, i guess, but preferrably it needs better updates, make tags not so strict, make the community better, and stop saying ""educational"" And add Tix back, because serously, The buying robux thing, is annoying, atleast mention you have to buy the stuff. In all and all, The game his OK."
"Roblox","A Google User","May 20, 2019",5,"it is so much fun"
"Roblox","Katy Matos","May 20, 2019",5,"this app is so good 😍😍😗😗😅😅😁😊😋😎🤤😓😝"
"Roblox","Teresa Ibarra","May 20, 2019",5,"it's a good app"
"Roblox","Hudson Lang","May 20, 2019",5,"Awesome, thanks for the effort! yaaaaaaaa is a wat I say if i like it and I do!!!"
"Roblox","Rose Berry","May 20, 2019",4,"this game is fun you could play with ur friend their is alot of youtuber playing in roblox but I really want to have 25 robux so I could unlock bloxburg but I have to buy them..."
"Roblox","Clarissa Woods","May 20, 2019",5,"I love roblox but it will not let me play Royal High😔😔😔😭😭😭"
"Roblox","Vo Ngoc Thuy An","May 20, 2019",5,"I loveeeeeeeeee roblox!🤩 (I an a different An)"
