"appTitle","userName","date","score","text"
"Minion Rush: Despicable Me Official Game","Fernando Mendoza","April 24, 2019",2,"Great game to pass time, but the more you play the more Advertisements pop up on the screen. My son plays and its really annoying for him to try and hit the little ""X"" to close out each Advertisement that pops up. Should be a way to buu AD free."
"Minion Rush: Despicable Me Official Game","Jose Noriega","April 24, 2019",1,"How am i able to connect to Gameloft servers. please fix that."
"Minion Rush: Despicable Me Official Game","Charlie Dollarhide","April 24, 2019",5,"awesome"
"Minion Rush: Despicable Me Official Game","Oks Gamer","April 24, 2019",5,"today mario as"
"Minion Rush: Despicable Me Official Game","Sans Kingfisher","April 24, 2019",4,"Gets hang and not responding much of the time"
"Minion Rush: Despicable Me Official Game","Waqar Hussain Soomro","April 24, 2019",5,"Very Nice"
"Minion Rush: Despicable Me Official Game","Ibrahim Ali","April 24, 2019",5,"good not bad"
"Minion Rush: Despicable Me Official Game","Erika Somers","April 24, 2019",1,"pla"
"Minion Rush: Despicable Me Official Game","Mãrïä Qüëêñ","April 24, 2019",4,"soo cool"
"Minion Rush: Despicable Me Official Game","Family Henry","April 24, 2019",4,"greate game!!!!!"
"Minion Rush: Despicable Me Official Game","Chelsea Daniels","April 24, 2019",5,"A blast to play. Easy download."
"Minion Rush: Despicable Me Official Game","菊池直人","April 24, 2019",1,"花マヤぬやあラナ画"
"Minion Rush: Despicable Me Official Game","Loges Waran","April 24, 2019",5,"super"
"Minion Rush: Despicable Me Official Game","Serena Mohamad","April 24, 2019",5,"magnificent"
"Minion Rush: Despicable Me Official Game","Arumugam Balamurugan","April 24, 2019",5,"supergame"
"Minion Rush: Despicable Me Official Game","Jamie Wilson","April 24, 2019",4,"Good game."
"Minion Rush: Despicable Me Official Game","Prabhu Dayal","April 24, 2019",5,"because nice"
"Minion Rush: Despicable Me Official Game","clare wheatley","April 24, 2019",5,"great"
"Minion Rush: Despicable Me Official Game","Russell Sri","April 24, 2019",5,"Time killer"
"Minion Rush: Despicable Me Official Game","ragini saraswat","April 24, 2019",5,"Its a great game"
"Minion Rush: Despicable Me Official Game","atoureta baz","April 24, 2019",1,"kickthebuddy"
"Minion Rush: Despicable Me Official Game","jullyana Julian","April 24, 2019",5,"love this game♥♥♥"
"Minion Rush: Despicable Me Official Game","Shivansh Singh","April 24, 2019",4,"bhaag paagal"
"Minion Rush: Despicable Me Official Game","Peng David","April 24, 2019",5,"maganda ito"
"Minion Rush: Despicable Me Official Game","Ramesh Mahadeshwar","April 23, 2019",5,"It's a nice child friendly game has good controls but needs to be updated regularly which is one of its flaws"
"Minion Rush: Despicable Me Official Game","sawhla khar","April 23, 2019",5,"i like this game and.keep.up the good work gamelofe"
"Minion Rush: Despicable Me Official Game","Master Muhamed","April 23, 2019",5,"Cool game"
"Minion Rush: Despicable Me Official Game","Jess Zurc","April 23, 2019",5,"poop კკჯჯ"
"Minion Rush: Despicable Me Official Game","Fika Syafiqah","April 23, 2019",5,"besttt!"
"Minion Rush: Despicable Me Official Game","Namit Das","April 23, 2019",5,"nice"
"Minion Rush: Despicable Me Official Game","Krystal Lauer","April 23, 2019",5,"great game but other than that way to many ads radom Pop up when done with few runs"
"Minion Rush: Despicable Me Official Game","Jofre Miller","April 23, 2019",1,"Do not! Do not! spend money on costumes. they will disappear if you don't play for a while."
"Minion Rush: Despicable Me Official Game","Kirtan Khemani","April 23, 2019",5,"this is the best app for android"
"Minion Rush: Despicable Me Official Game","Johanna Gubuan","April 23, 2019",5,"so amazing"
"Minion Rush: Despicable Me Official Game","Dj Dex","April 23, 2019",5,"cooooooooool"
"Minion Rush: Despicable Me Official Game","Franson Gamers","April 23, 2019",5,"good game"
"Minion Rush: Despicable Me Official Game","Greisy Chacon","April 23, 2019",5,"excelente juego"
"Minion Rush: Despicable Me Official Game","Daniel Fingerhut","April 23, 2019",1,"Where can I change location? Why is Bapple hunting still online when previous versions offered Bapple hunting offline?"
"Minion Rush: Despicable Me Official Game","Krystal Smith","April 23, 2019",5,"when I play it I want to play it all day💩🐺"
"Minion Rush: Despicable Me Official Game","Sophia Barnes","April 23, 2019",5,"awesome"
"appTitle","userName","date","score","text"
"Minion Rush: Despicable Me Official Game","Miguel Lucas Causapin","April 18, 2019",5,"i am fine babe"
"Minion Rush: Despicable Me Official Game","salome zardalishvili","April 18, 2019",5,"II love this app it's so great I love it so much minions and I loved it so much."
"Minion Rush: Despicable Me Official Game","Dean Sudean","April 18, 2019",5,"its really enjoyable"
"Minion Rush: Despicable Me Official Game","sparky Clyde","April 18, 2019",5,"I've had this since I was 3"
"Minion Rush: Despicable Me Official Game","Vidyen Kumar","April 18, 2019",5,"so exciting game minions my favorite cartoon movie and we have a game version here its seriously fun loving game..."
"Minion Rush: Despicable Me Official Game","Jay Wright","April 18, 2019",5,"one of the best running games of all time"
"Minion Rush: Despicable Me Official Game","Blessings Banda","April 18, 2019",5,"best"
"Minion Rush: Despicable Me Official Game","Robert Cudjoe","April 18, 2019",5,"having fun with the minions, try it bcause it funnnnnnnnnnnnnnnnnnnnn yeah"
"Minion Rush: Despicable Me Official Game","Wilfred Abrah","April 18, 2019",5,"gr8"
"Minion Rush: Despicable Me Official Game","Indu Shukla Shukla","April 18, 2019",5,"Very nice game"
"Minion Rush: Despicable Me Official Game","Maverick Macdonald","April 18, 2019",5,"shelby"
"Minion Rush: Despicable Me Official Game","Gurpeet Kaur","April 18, 2019",5,"it's amazing"
"Minion Rush: Despicable Me Official Game","Ramya R","April 18, 2019",5,"I like this very much lovely"
"Minion Rush: Despicable Me Official Game","Momo K","April 18, 2019",3,"bbnjj"
"Minion Rush: Despicable Me Official Game","Joann Shull","April 18, 2019",5,"i love it"
"Minion Rush: Despicable Me Official Game","Shamali Deepika","April 18, 2019",5,"Very important game I like this game"
"Minion Rush: Despicable Me Official Game","Gwenn H","April 18, 2019",5,"The characters are minion popular funny only there are so many more of them showcased throughout the game. It's a very competitive driven game that does challenge the player. Then again .. What do I know?! My 3 yr old grandson totally gets into playing it.. (maybe more for how funny it is to watch the different characters crash.. Lol) 🤣"
"Minion Rush: Despicable Me Official Game","Farina Shafqat","April 18, 2019",4,"###########@!I LOVEDED IT"
"Minion Rush: Despicable Me Official Game","Amy Fenech St John","April 17, 2019",4,"nice and fun but hate the speed and so many obstacles together."
"Minion Rush: Despicable Me Official Game","Uma Uma","April 17, 2019",5,"it's amazing. a wonderful game and also interesting."
"Minion Rush: Despicable Me Official Game","Elaine Dix","April 17, 2019",5,"great game"
"Minion Rush: Despicable Me Official Game","Ricardo Rosa","April 17, 2019",5,"GooD GamE"
"Minion Rush: Despicable Me Official Game","Aravind Menon","April 17, 2019",5,"nice"
"Minion Rush: Despicable Me Official Game","Brandon Torres","April 17, 2019",3,"The resolution and framerates in this game are horrible. this game definitely doesn't look like a high resolution and the framerate feels more like 30fps. please higher the resolution and the framerate. I would love this game even more if you guys did this. otherwise this dance is pretty fun."
"Minion Rush: Despicable Me Official Game","AURORoAdie Klanaya","April 17, 2019",5,"I really love this old game, played it since a long time ago and my dad reminded me of this game so I'll install it again, sorry for forgetting about you Minion Rush!"
"Minion Rush: Despicable Me Official Game","Ubinesia Isaacs","April 17, 2019",1,"Don't want to open, keep saying new update available. I've been updating but it's not opening"
"Minion Rush: Despicable Me Official Game","christina casares","April 17, 2019",5,"My childhood game"
"Minion Rush: Despicable Me Official Game","Charon A Mckenzie","April 17, 2019",5,"wow💣"
"Minion Rush: Despicable Me Official Game","kulambu chatti","April 17, 2019",2,"better"
"Minion Rush: Despicable Me Official Game","Elijahepicgamer crespin","April 17, 2019",5,"eat more chicken"
"Minion Rush: Despicable Me Official Game","Sifundo Leonard Mqadi","April 17, 2019",5,"yes,yes,yes awsome everyone should play this game"
"Minion Rush: Despicable Me Official Game","Vens Toreffiel","April 17, 2019",5,"exciting game"
"Minion Rush: Despicable Me Official Game","Riley Prickett","April 17, 2019",5,"good fun"
