"appTitle","userName","date","score","text"
"Love Poly - New puzzle game","Colette Lamar","March 2, 2019",5,"calming"
"Love Poly - New puzzle game","Jersy dvloger","March 2, 2019",5,"I like puzzles"
"Love Poly - New puzzle game","Jill English","March 2, 2019",2,"this game was really hard and I could not get pass level 10😢😢😢"
"Love Poly - New puzzle game","A Google User","March 2, 2019",5,"yey :3"
"Love Poly - New puzzle game","janel austin","March 2, 2019",1,"it was boring"
"Love Poly - New puzzle game","Ta'Ziyah Singletary","March 2, 2019",5,"Its a great app and its very fun and focasing"
"Love Poly - New puzzle game","A Google User","March 2, 2019",4,"Nice game"
"Love Poly - New puzzle game","A Google User","March 2, 2019",2,"thu"
"Love Poly - New puzzle game","taaaeglo","March 2, 2019",5,"your so fun"
"Love Poly - New puzzle game","A Google User","March 2, 2019",5,"I love it"
"Love Poly - New puzzle game","Mukah Schiffer","March 2, 2019",1,"era pra ser um jogo relaxante eu fiquei mais puto ainda com esta caralha"
"Love Poly - New puzzle game","lol lover","March 2, 2019",5,"I love this game is so fun it's puzzling and I don't know almost every piece of help at I needed"
"Love Poly - New puzzle game","Kiersten Oakes","March 2, 2019",5,"fun"
"Love Poly - New puzzle game","Aaniyah Jimenez","March 2, 2019",5,"Its better than the other one"
"Love Poly - New puzzle game","A Google User","March 2, 2019",5,"Great👊👊👊"
"Love Poly - New puzzle game","A Google User","March 2, 2019",5,"fun but kinda hard ❤❤❤❤❤❤"
"Love Poly - New puzzle game","Teresa Koke","March 2, 2019",5,"awesome"
"Love Poly - New puzzle game","Alison Greer","March 2, 2019",1,"I don't get this game at all. Move the pieces around randomly for how many hours? Who knows. I'm not going to find out."
"Love Poly - New puzzle game","Aaliyah rocks","March 2, 2019",1,"not good"
"Love Poly - New puzzle game","KP Davis","March 2, 2019",4,"Really fun and addicting."
"Love Poly - New puzzle game","Mirage Haze","March 2, 2019",2,"Too many ads"
"Love Poly - New puzzle game","Leia Thornton","March 2, 2019",2,"great game. loved it. far far far too many ads. what is wrong with developers nower days."
"Love Poly - New puzzle game","Patrick S","March 2, 2019",2,"can't touch the screen without getting an ad"
"Love Poly - New puzzle game","Carrick Tanton","March 2, 2019",1,"This game is ruined by the ads. If it was just one after each level, fine. But you finish a level, theres an advert. You close that advert and theres a weird second part to it. Then in order to start a new level you sit through an advert!"
"Love Poly - New puzzle game","Candle Nekra","March 2, 2019",3,"some of the puzzles freeze and do not rotate so it becomes abit unsolvable. Then theres also the amount of ads that shows which I usually don't mind but it seems like alot. And the price to get rid of an ad plus bundle seems overwhelmingly high for a small app... but it is fun and addicting so I give this a 3."
"Love Poly - New puzzle game","A Google User","March 2, 2019",2,"literally an ad after every level you play. too many ads, it's annoying."
"Love Poly - New puzzle game","saleh eltamer","March 2, 2019",1,"new adds game , some puzzles in between"
"Love Poly - New puzzle game","A Google User","March 2, 2019",5,"Awesome!😘🌹😁😀"
"Love Poly - New puzzle game","Carole Furedi","March 2, 2019",1,"very very hard even on level 5"
"Love Poly - New puzzle game","A Google User","March 2, 2019",3,"To many adds. It's alright"
"Love Poly - New puzzle game","A Google User","March 2, 2019",5,"Cool game"
"Love Poly - New puzzle game","sarvesh R","March 2, 2019",3,"Downloading slow 🤔🤔🤔"
"Love Poly - New puzzle game","Angel the beast","March 2, 2019",5,"i like the art in it and the puzzles"
"Love Poly - New puzzle game","A Google User","March 2, 2019",4,"it fine i gusse prob will delet in 2 weeks"
"Love Poly - New puzzle game","chaithra shetty","March 2, 2019",1,"cause it says videos not loaded yet for certain levels doesn't let u play further."
"Love Poly - New puzzle game","A Google User","March 2, 2019",1,"i love it 😍. when finished the game"
"Love Poly - New puzzle game","A Google User","March 2, 2019",2,"It's a good game but wayyyyyyyyyyyyyyyyyyyyyyyyyyyyyy To many ads After one add comes another one the only reason I play it is to test my brain and the adverts sirtenley do that If there were any more ad's I would of exploded 🤯 I wouldn't get this app if you don't like ads and waiting the picture was glitching to. Also it wouldn't let me get out of the add I give this game 2 stars 🌟🌟 one cause its an OK game and two cause I feel sorry for them wouldn't play it again I hope you listen to me"
"Love Poly - New puzzle game","A Google User","March 2, 2019",5,"very nice game"
"Love Poly - New puzzle game","A Google User","March 2, 2019",1,"I give us a 1-star rating because it doesn't even download start downloading"
"Love Poly - New puzzle game","Christina Grubbs","March 2, 2019",5,"Harder than it looks!"
"appTitle","userName","date","score","text"
"Love Poly - New puzzle game","A Google User","March 2, 2019",5,"it was a great and awesome experience playing this game"
"Love Poly - New puzzle game","Dean Jones","March 2, 2019",4,"l am adicted to this game it relaxis your body and makes you calm. I love it you need to install. It is the best game ever."
"Love Poly - New puzzle game","A Google User","March 2, 2019",5,"I like this chalenge. it would come in handy if you ever come a cross a puzzle like this.😂"
"Love Poly - New puzzle game","unspeakabfun 9934","March 2, 2019",5,"-o-! love it."
"Love Poly - New puzzle game","Harry","March 2, 2019",1,"fun but OMFG WHY IS THERE AN ADD AFTER EVERY SINGLE TIME YOU DO ONE"
"Love Poly - New puzzle game","Aimee Skipper","March 2, 2019",2,"it a good game but there is a add every time you finish a shape which is very annoying."
"Love Poly - New puzzle game","gifton joshua","March 2, 2019",5,"nice"
"Love Poly - New puzzle game","O Yazdani","March 2, 2019",5,"Brilliant idea, nice puzzle solving mechanism"
"Love Poly - New puzzle game","melnmary Seeley","March 1, 2019",5,"love it want more please"
"Love Poly - New puzzle game","A Google User","March 1, 2019",5,"it is so Cool"
"Love Poly - New puzzle game","Jules Townsend","March 1, 2019",1,"An advert after every puzzle? Come on..."
"Love Poly - New puzzle game","A Google User","March 1, 2019",5,"Beautiful game with an amazing new twist on things! I absolutely love it and just can not stop playing 😄 10/10 guys, great work! ☺"
"Love Poly - New puzzle game","Angel Villagrana","March 1, 2019",2,"way too many adds"
"Love Poly - New puzzle game","ALL ROUNDERS","March 1, 2019",5,"Nice"
"Love Poly - New puzzle game","A Google User","March 1, 2019",4,"Good"
"Love Poly - New puzzle game","Bulldog 247","March 1, 2019",3,"on level 19 i have the cheese right but it wont let me pass"
"Love Poly - New puzzle game","Kanwarbir Singh Bhullar","March 1, 2019",4,"tooooooooooooooooooooooo much ads. This is the only reason why I gave it 4 stars . except this the game is awesome"
"Love Poly - New puzzle game","A Google User","March 1, 2019",5,"it's super fun and I love it who ever made thank you so so so so much this game is more then ever just thank you"
"Love Poly - New puzzle game","Mohan Kumar","March 1, 2019",5,"good"
"Love Poly - New puzzle game","Tiffani Perez","March 1, 2019",1,"to many ads cant even enjoy it"
"Love Poly - New puzzle game","A Google User","March 1, 2019",5,"i💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💟💟💟💟💟💟💟💟💟💟💟💟💟💟💟💟💟💟💟💟💟💟💟💟💟💟💟💟💟💟💟💟💟💟💟💟💟💟💟❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ve this app sooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo much"
"Love Poly - New puzzle game","Evan Fragoso","March 1, 2019",5,"good"
"Love Poly - New puzzle game","A Google User","March 1, 2019",5,"this helps me think lots better than before"
"Love Poly - New puzzle game","A Google User","March 1, 2019",2,"It wouldnt be bad if it didnt have ADS AFTER EVERY SINGLE LEVEL"
"Love Poly - New puzzle game","AKKAPORE BOYS தமிழன்டா","March 1, 2019",4,"wow fantastic game"
"Love Poly - New puzzle game","A Google User","March 1, 2019",3,"its pretty cool not the best game but if you like shapes and stuff youd probally really like it"
"Love Poly - New puzzle game","A Google User","March 1, 2019",5,"so much fun❤❤❤😀😀😀"
"Love Poly - New puzzle game","Snow Fox","March 1, 2019",1,"to many ads. awful."
"Love Poly - New puzzle game","venom dude the great","March 1, 2019",5,"This is awesome"
"Love Poly - New puzzle game","A Google User","March 1, 2019",1,"too many ads and it keeps crashing"
"Love Poly - New puzzle game","A Google User","March 1, 2019",5,"kinda hard great time paser"
"Love Poly - New puzzle game","Nelida Robles","March 1, 2019",5,"This game is really fun and realaxing but the music annoys me i had to put on music for my self"
"Love Poly - New puzzle game","A Google User","March 1, 2019",5,"This game is easy and very fun because it helps you use your metial ablities or brain to try and figure it out"
"Love Poly - New puzzle game","CxbraVz","March 1, 2019",5,"good"
"Love Poly - New puzzle game","That Random Guy From Beyond","March 1, 2019",2,"The game concept it very good. However the fact that you need to watch ads to unlock puzzles to progress is one of the worst thing a game cab do"
"Love Poly - New puzzle game","Rusa B","March 1, 2019",5,"like like like"
"Love Poly - New puzzle game","A Google User","March 1, 2019",3,"good but has an ad after every game"
"Love Poly - New puzzle game","Ricky Duarte","March 1, 2019",5,"really good game i enjoy playing it. i play this all the time its so much fun"
"Love Poly - New puzzle game","A Google User","March 1, 2019",5,"cool game. thank you!"
"Love Poly - New puzzle game","A Google User","March 1, 2019",5,"This game is awesome"
"appTitle","userName","date","score","text"
"Love Poly - New puzzle game","Mona Reyes","April 20, 2019",5,"i love this game"
"Love Poly - New puzzle game","Kate Sultana","April 20, 2019",5,"its so satisfying😁🎮🕹"
