"appTitle","userName","date","score","text"
"WildCraft: Animal Sim Online 3D","lonewolf35warsolute gaming","March 21, 2019",5,"awesome though wish there could be clan servers a clan diplomacy"
"WildCraft: Animal Sim Online 3D","Sandy Mckeithen","March 21, 2019",5,"best game I ever played in my life"
"WildCraft: Animal Sim Online 3D","A Google User","March 21, 2019",5,"I LOVE this game, but warn you, its ADDICTIVE. I've been looking for a game like this for a long time. Its surprisingly realistic and graphics are good. The eagle is a little hard to control, but good. I only wish we could pick and choose where we den, like real animals. Otherwise, BEST simulator ever. If you have been looking, look no further! EDIT: Just got the horse, you have to kill animals for food so it's a little weird. Maybe change it so that there's a list of plants we have to forage for"
"WildCraft: Animal Sim Online 3D","Gracelin Hollister","March 21, 2019",5,"it's so cool I haven't had a good sim in a long time I really hope you can get more achevmeants sorry for spelling anyhow I would really like a new Animal to be more specific a smaller one please and thanks I really hope my request gets heard bye bye"
"WildCraft: Animal Sim Online 3D","A Google User","March 21, 2019",5,"i love it i feel like im a real animal"
"WildCraft: Animal Sim Online 3D","A Google User","March 21, 2019",5,"I love this game but I think you should add more animals and more places. animals like snow leopard , jaguar and tiger's places like a jungle"
"WildCraft: Animal Sim Online 3D","Marilyn Nicolaisen","March 21, 2019",4,"it. is. the best. game. in. the. world. but. kiks. me. out. of. multiplayer. mode"
"WildCraft: Animal Sim Online 3D","Janae Pearse","March 21, 2019",4,"I really love this game it's not other animal simulation games that I have played, but it keeps randomly crashing when I play multiplayer, especially when I'm opening a chest and the snow area is a little laggy. Overall it's a great game and I love the game mechanics."
"WildCraft: Animal Sim Online 3D","A Google User","March 21, 2019",4,"okay so I like the game but the problem is WHY THIS APP SO BIG!!!! BEFORE DOWNLOADING SHOWING 215 MB AFTER DOWNLOADING IT BECOME 370 MB! REALLYYYY??? AND YEAH I CAN'T PLAY IN ONLINE! WHENEVER I OPEN YOUR WEBSITE THROUGH YOUR SPP TO OPEN AN ACCOUNT, THE APPS KEEP STOPPING. I DON'T LIKE THIS GAME ONLY FOR THIS REASON. PLEASE DECREASE THE APP SIZE AND FIX THE BUG TO OPEN A ACCOUNT. AND YEAH SOMETIMES IT KEEP STOPPING, DRAIN MY PHONE BATTERY. OTHERWISE GOOD GAME PLAY. THANKS AND PLEASE IMPROVE BUG!!"
"WildCraft: Animal Sim Online 3D","A Google User","March 21, 2019",5,"I Love Wildcrft"
"WildCraft: Animal Sim Online 3D","A Google User","March 21, 2019",5,"YEAH BRO😎"
"WildCraft: Animal Sim Online 3D","A Google User","March 21, 2019",1,"samtin eniwi"
"WildCraft: Animal Sim Online 3D","A Google User","March 20, 2019",5,"cool"
"WildCraft: Animal Sim Online 3D","A Google User","March 20, 2019",1,"my acc got banned and i payed money on it. i love it but now i cant do anything i am really disapointed"
"WildCraft: Animal Sim Online 3D","Charlize Elliot","March 20, 2019",5,"This game is awesome lots of people really need to try it!"
"WildCraft: Animal Sim Online 3D","Ms.Piggie Bacon","March 20, 2019",4,"Its very fun but I wish when you are in multiplayer mode you can pick up the babys, and I wish that you could get the mystic skins easier."
"WildCraft: Animal Sim Online 3D","Mackena06 on Roblox","March 20, 2019",4,"I wish you could buy mystic skins"
"WildCraft: Animal Sim Online 3D","A Google User","March 20, 2019",5,"😳😭 nu I had to delete it!WHY?!?🙀💔OOOOOOF anyways I <3 this game so much I was sobbing when I deleted it 😵🙀😿💔😦😢"
"WildCraft: Animal Sim Online 3D","A Google User","March 20, 2019",1,"i love this game I think it has good graphic and I love animals"
"WildCraft: Animal Sim Online 3D","A Google User","March 20, 2019",5,"I love this game keep the good work up turbo rocket games!"
"WildCraft: Animal Sim Online 3D","A Google User","March 20, 2019",5,"its really fun!!!!!!!!!!!😀"
"WildCraft: Animal Sim Online 3D","Kirito •","March 20, 2019",2,"Pls fix is so that i can download my data, every time i try it says successful but nothing downloads"
"WildCraft: Animal Sim Online 3D","Jennifer Schrad","March 20, 2019",5,"THIs IS tHE BEST GAME YOU CAN HAVE BABByS edit: lol why did I make this XD"
"WildCraft: Animal Sim Online 3D","A Google User","March 20, 2019",5,"This game is is very good the only problems I have with this app is that when you watch an Ad to 1. Double you prize or 2. Get another chest, what somtines happen is it will boot you out of the game and the prize will not be doubled or the chest won't unlock. What gets me very annoyed about this is if you are in a roleplay or playing with your friends and this problem happens and that is furstrating. Also I reliazed that there is cannibalism in the game. Please fix these problems thank you."
"WildCraft: Animal Sim Online 3D","A Google User","March 20, 2019",5,"its a very good game it comes with new updates and you get to play as difremt animals and lightimg very good sencitivity very good graphics very good to and i love it from there"
"WildCraft: Animal Sim Online 3D","A Google User","March 20, 2019",5,"it's really good and i have a lot of friends and i have all the animals and i want a mystic skin"
"WildCraft: Animal Sim Online 3D","A Google User","March 20, 2019",5,"awsome game"
"WildCraft: Animal Sim Online 3D","Zeema Abdul","March 20, 2019",5,"I think it's great. But I really want the mystic skin really badly. I keep on opening chests and it never works. When I started playing this on my first chest I got the legendary 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😘😘😘😘😘😘😘😘😘😘😎😎😎😎😎😎 I also got the eagle and both of its legendary skins and clothes. I love the Santa Claus one the most. But the one problem is that, it's getting quite boring and barely any new stuff. 😑😥 I want something new to come out."
"WildCraft: Animal Sim Online 3D","A Google User","March 20, 2019",5,"I love this game so much"
"WildCraft: Animal Sim Online 3D","A Google User","March 20, 2019",5,"this game is so awesome"
"WildCraft: Animal Sim Online 3D","A Google User","March 20, 2019",5,"i love it i was confused and noob at first but once you get the hang of it you aight and I LOVE THE WITTLE BITTLW BABY"
"WildCraft: Animal Sim Online 3D","Krista Hulsman","March 20, 2019",5,"I love this game! it is so much fun! I love to play this game in my free time!😀😀"
"WildCraft: Animal Sim Online 3D","Cutie love","March 20, 2019",5,"i love it its fun interesting and amusing to play hope this app gets more nice reviews hopefully"
"WildCraft: Animal Sim Online 3D","Amelda Devine","March 20, 2019",5,"I Love this game😙"
"WildCraft: Animal Sim Online 3D","Anne Basner","March 20, 2019",4,"i love this game! the only thing i would change is maybe a little less adds! otherwise i love it!"
"WildCraft: Animal Sim Online 3D","Erica Hamilton","March 20, 2019",5,"Best game evre"
"WildCraft: Animal Sim Online 3D","A Google User","March 20, 2019",1,"this is absolutely rubbish! I have one account on multiple devices. I can't use best and only account because ""data has been shared to much"" when I have only used my own data unless some person hacked me. all i want is my data back. if I could rate 0 stars i would. until this is fixed I'm not changing my rating at all."
"WildCraft: Animal Sim Online 3D","Lilly Swanson","March 20, 2019",5,"I love this game"
"WildCraft: Animal Sim Online 3D","A Google User","March 20, 2019",5,"I already have birth to one cub but it was a very and really quick pregnancy its boy and name us lucky guy"
"WildCraft: Animal Sim Online 3D","A Google User","March 20, 2019",5,"its really fun"
"appTitle","userName","date","score","text"
"WildCraft: Animal Sim Online 3D","Justin LN","May 4, 2019",4,"I deleted the game for a while, but now I've reinstalled it. The problem is when I downloaded my data from my account it says ""your data has been shared with too many people"". I'd like some help to figure out how to resolve this issue."
"WildCraft: Animal Sim Online 3D","Chelsea-lee Brown","May 4, 2019",5,"fantastic"
"WildCraft: Animal Sim Online 3D","Spirit wolf and panther legend Legend","May 4, 2019",5,"it's so fun FYI I have all the pet already defeated 999 animals and I have all the animals!!!"
"WildCraft: Animal Sim Online 3D","Angel Blanchard","May 4, 2019",5,"BEST GAME EVER IM SRRSLY PLAYING THIS EVERYDAY I LOVE IT YOU SHOULD DOWNLOAD THIS"
"WildCraft: Animal Sim Online 3D","Akiria Samuel","May 4, 2019",5,"🦄🦊🐺i,ll say i,ts perfect"
"WildCraft: Animal Sim Online 3D","Barbara Perry","May 4, 2019",5,"This game is awesome said my daughter. she loves it so kuch!"
"WildCraft: Animal Sim Online 3D","reg raby","May 4, 2019",5,"can you make a playable deer in the game the other animals are getting boring."
"WildCraft: Animal Sim Online 3D","Doug Smith","May 4, 2019",5,"I think this game is the BESTEST game I had ever played though sometimes in multiplayer it might kick you. There are 200 lvls(levels) there are also 4 bosses to beat when you get a achievement unlocked you go to game in game menu and hit the trophie and see a yellow star click on it and you will get gems. There are different types of animals to play as. Animals:wolf, fox,lynx,bear,horse,and bird. It's really fun! If you do not have it DOWNLOADE it!"
"WildCraft: Animal Sim Online 3D","Cameron Conner","May 4, 2019",1,"it makes a virus to your device"
