"appTitle","userName","date","score","text"
"LINE: Free Calls & Messages","Julia Loquias","April 3, 2019",5,"Nice"
"LINE: Free Calls & Messages","Callmeabutterfly Callmeabutterfly","April 3, 2019",2,"This app sucks.When I had to reset my phone, reinstallation was unsuccessful because this app treated the same number and same phone like it was different and would not allow me to continue with my original account. It would not send the second verification to create a password. I had a password on the account already! So I lost all my contacts! 😫 All of the other apps reinstalled perfectly, but not Line! Now I see why so many people have multiple accounts. Please fix this his bug!"
"LINE: Free Calls & Messages","Nicho Chou","April 3, 2019",5,"berat"
"LINE: Free Calls & Messages","Isma Maula","April 3, 2019",4,"that's good"
"LINE: Free Calls & Messages","Abu Huraira Sukarno","April 3, 2019",5,"good"
"LINE: Free Calls & Messages","jezel roque","April 3, 2019",5,"kk"
"LINE: Free Calls & Messages","Cahaya Jagatdita","April 3, 2019",2,"Why i can't use a video as a profile?"
"LINE: Free Calls & Messages","Hip Linnawng","April 3, 2019",5,"Copied/Cut items will be saved here."
"LINE: Free Calls & Messages","Bebo27 Khaled","April 3, 2019",5,"good"
"LINE: Free Calls & Messages","sony Bulilan223","April 3, 2019",2,"Welcome back"
"LINE: Free Calls & Messages","Ignacio Hayabusa","April 3, 2019",1,"constant black screen crashes. have not been able to use it for months now. useless"
"LINE: Free Calls & Messages","mohamed sabry","April 3, 2019",5,"awesome"
"LINE: Free Calls & Messages","Paulus S. Anderson Huang","April 3, 2019",3,"Gue habis format HP, habis itu gw download Linenya lagi... ehh malah error restore backup gabisa skip for now juga ga bisa... ada saran cara ngatasinnya gimana?"
"LINE: Free Calls & Messages","Maaz Jawed","April 3, 2019",1,"is there any option to transfer or backup my old data??? I have email, password and everything which is necesaary but how do i get back my old data, chats and all. Kindly reply LINE Team"
"LINE: Free Calls & Messages","Kayle Vamper","April 3, 2019",5,"cool free calls and free message"
"LINE: Free Calls & Messages","Vero Chou","April 3, 2019",4,"👍👍👍👍👍"
