"appTitle","userName","date","score","text"
"Netflix","जितेंद्र कुमार संगम","May 19, 2019",5,"Love you"
"Netflix","Stephanie Williams","May 19, 2019",2,"Served its purpose fine until it stopped supporting my browser, or running on any other useable browser on my laptop."
"Netflix","iDramaticSam","May 19, 2019",1,"i uninstalled for a big i go to sign in again and it refuses to log me in, and i know for a fact that the information i inputted was correct"
"Netflix","Lorenzo Aisaican","May 19, 2019",5,"great movies to watch"
"Netflix","Linda Anderson","May 19, 2019",5,"Always have a good new selection of new and old movies and T.V. series to binge watch."
"Netflix","Nashaly Acevedo","May 19, 2019",5,"nice!!!"
"Netflix","Crystal Vergara","May 19, 2019",4,"Eh Its great but it takes AGES to get new episodes..."
"Netflix","Natalia Ordonez","May 19, 2019",5,"wonderfull"
"Netflix","Orlando Jaime","May 19, 2019",5,"boy"
"Netflix","Amerie Fortune","May 19, 2019",5,"Love rhe original series add more"
"Netflix","Craig Coleman","May 19, 2019",5,"love it"
"Netflix","Jojo Malabanan","May 19, 2019",5,"awesomeness!"
"Netflix","Th Tiken Singha","May 19, 2019",3,"like app"
"Netflix","Stone Kuykendall","May 19, 2019",5,"really good for an ad free show just a lityle money for a big family"
"Netflix","TJ Sumahit","May 19, 2019",4,"nice app, some flaws"
"Netflix","Celine Apaezz","May 19, 2019",5,"amazing"
"Netflix","Haylee Palacios","May 19, 2019",5,"it's an awesome app to use to watch movies"
"Netflix","lord doom 18","May 19, 2019",2,"keeps telling me to update my membership when I downloaded it on my phone, yet I can watch it from my account on my tv???"
"Netflix","Dorky Corky","May 19, 2019",2,"I would give a 5 stars but since the update none of the videos will play. It goes to the loading screen and that's it! Please fix, I pay for the most expensive pack you offer and if i can't watch anything i will be cancelling!"
"Netflix","Ciarra Niesen","May 19, 2019",5,"im in love with tv and like it on the go"
"Netflix","Wandering Mudkip","May 19, 2019",5,"11/10, would recommend. They have an amazing selection of shows and movies, plus the offline feature is useful for when you don't want to use up data to watch a movie. If I had any complaints, it would only be that some of the selections are a bit dated. Other than that, great work."
"Netflix","Dennis Shultz","May 19, 2019",5,"great"
"Netflix","Askar Anwar","May 19, 2019",1,"Application Garbage"
"Netflix","Rajeevranjan Kumar","May 19, 2019",1,"maiking hateful content in india its really u are a bad company .... example ghoul and ur new webseries leila"
"Netflix","Kenneth Rystedt","May 19, 2019",5,"i love using this app"
"Netflix","KATHRINE YOUTUBE USER","May 19, 2019",5,"OK I LIKE NETFLIX"
"Netflix","Mawfu Warden","May 19, 2019",5,"#SoulEater"
"Netflix","Neo Dlamini","May 19, 2019",3,"love the app and I have no problem with it but, the problem is I can't enter my Netflix gift card which is the only way I can pay for my account. Please fix this and I'll rate this a 5 star"
"Netflix","Thrasher lucky","May 19, 2019",5,"good"
"Netflix","Darwin Soto","May 19, 2019",5,"this app did let me pay with a gift card"
"Netflix","Sean Sutton","May 19, 2019",1,"Yet another price hike for the people who discontinue the shows people actually watch. You won't listen to your viewers, but you expect them to believe a price hike will provide good content? I think you have quite enough B movies already. People shouldn't waste their money helping you get more."
"Netflix","Loretta Spivey","May 19, 2019",5,"❤❤❤❤Neflix all variety of movies & cooking shows very please with it!"
"Netflix","Eric Dela Cruz","May 19, 2019",5,"Best movie app ever made for me!"
"Netflix","Lalro hlua Sailo","May 19, 2019",4,"Excellent"
"Netflix","SJC MOBILE LEGENDS FOREVER","May 19, 2019",5,"haha"
"Netflix","Tash Angus","May 19, 2019",5,"Good"
"Netflix","Tracie Elliman","May 19, 2019",5,"ihju"
"Netflix","James Pierce HD 1080p","May 19, 2019",5,"1080p HD & 480i SD"
"Netflix","Angel Hernandez","May 19, 2019",5,"awesome"
"Netflix","Saeed Madjidi","May 19, 2019",5,"great"
"Netflix","Flash Quickster","May 19, 2019",5,"great movie app"
"Netflix","Steven Brown","May 19, 2019",5,"good"
"Netflix","jaime black","May 19, 2019",4,"I hate how if you want to go to season 2 on Naruto it brings you to the fifth season"
"Netflix","Jose Cuevas","May 19, 2019",5,"Netflix and chill"
"Netflix","Tina Rogers","May 19, 2019",5,"love netflix love netflix"
"Netflix","Ccrazed Gamez","May 19, 2019",5,"AMAZING ITS POPULAR IDEK WHAT IM SAYING BUT GREAT APP! <3"
"Netflix","audreyanna pineda","May 19, 2019",5,"love it 🖖🏽"
"Netflix","Pablo Velazquez","May 19, 2019",5,"on point"
"Netflix","chubblesnz","May 19, 2019",1,"hangs up none stop... its practically unusable right now.. have to use lightbox again I guess"
"Netflix","Jacobi Player","May 19, 2019",5,"has my shows"
"Netflix","Mary Fuglestad","May 19, 2019",5,"love it"
"Netflix","sunil kumar pradhan","May 19, 2019",5,"nice"
"Netflix","kayto carswell","May 19, 2019",2,"wont let me log in🤦or even load the homescreen"
"Netflix","Carol Burrough","May 19, 2019",4,"i cant cast to my tv for some reason."
"Netflix","suraj shinde","May 19, 2019",1,"this is entertaining app where you get hinduphobic web series #stop_hinduphobia"
"Netflix","gail johnson","May 19, 2019",4,"love it. would like to be able to see more trailers"
"Netflix","Alexander Gonzalez","May 19, 2019",5,"verygood"
"Netflix","venus","May 19, 2019",3,"what happened to the interactive feature? it's not working on my phone anymore."
"Netflix","Damian Reyes","May 19, 2019",5,"amazing but doesn't get movie and new shows that often still waiting on an other season for the flash:("
"Netflix","Kate","May 19, 2019",5,"Netflix is so convenient"
"Netflix","Tabatha Wyrick","May 19, 2019",5,"My favorite app"
"Netflix","Jeffery Miller","May 19, 2019",5,"its a good app over all and the options are endless"
"Netflix","Amy","May 19, 2019",5,"This is how we watch Netflix at home. We use the app to cast our shows onto the are TV through our Wifi. Weve liked the app and dont have hardly any problems."
"Netflix","Kathy Brooks","May 19, 2019",5,"it's a very good app."
"Netflix","Rachel Carrey","May 19, 2019",5,"totally get it it's so cool"
"Netflix","Sisi Mckinney","May 19, 2019",5,"great"
"Netflix","Neelu Behl","May 19, 2019",1,"One star because you defame Hindus..Dont have the guts to do the same for other religions..Disgusting creatures..Would liked to give Complete zero but option was not there.."
"Netflix","supriya Negi","May 19, 2019",2,"it says we couldn't connect to Netflix.. some network issue but every other app works fine... I have to uninstall and install it back ...it forks for a while and then it get disconnected"
"Netflix","BunnyNightMare 4","May 19, 2019",3,"they should add a freature where you can delete shows you no longer watch"
"Netflix","Arun M S","May 19, 2019",1,"nothing good"
"Netflix","London Bond","May 19, 2019",5,"I'm just beens watching"
"Netflix","Hey what's up with u?","May 19, 2019",5,"It's great I could watch movies all day but I can't because I have school lol"
"Netflix","Jesabell Genesis","May 19, 2019",5,"awesome!"
"Netflix","Estella Simental","May 19, 2019",3,"good"
"Netflix","Manny Cano","May 19, 2019",1,"I don't remember writing that last review"
"Netflix","Ritik Sharma","May 19, 2019",1,"Uninstalling as you are spreading hatered in the name of webseries. Forfeited membership."
"Netflix","Victor Dejesus","May 19, 2019",5,"#NetFlixNChill🔥🔥🔥🔥"
"Netflix","LANDON KARRE","May 19, 2019",5,"good add back a league of there own, and without a paddle. Plssssssssssssssssssssssssssssssssssssss"
"Netflix","Vicenza Monegan","May 19, 2019",5,"netflix is the best thing to watch"
"Netflix","Amy Stutts","May 19, 2019",5,"great"
"Netflix","Hloni Penn","May 19, 2019",5,"Love it"
"Netflix","Jho Carpio","May 19, 2019",5,"Good job netflix i hope u cnt have promos and pls lower the price"
"Netflix","Riley Tangaro","May 19, 2019",5,"great"
"Netflix","zin zin","May 19, 2019",5,"auto update"
"Netflix","Jane Johnson","May 19, 2019",5,"i love Netflix"
"Netflix","Diane Jones","May 19, 2019",5,"i love NetFlixs Movies"
"Netflix","Sahil Arora","May 19, 2019",1,"Netflix is spreading hindufobia in it's new web series like Leila it hurt my religious feelings not only giving you 1 star but also I am gonna sue you get ready your layer I am gonna fire a case against you bloody Hippocrate"
"Netflix","Vino Thini","May 19, 2019",5,"Super"
"Netflix","PRAGYA YADAV","May 19, 2019",2,"boring app"
"Netflix","Deborshi Hazra","May 19, 2019",1,"I dislike the content. Such a waste of time."
"Netflix","Pathu Patel","May 19, 2019",5,"excellent 👌 app for movie series etc i can't live without it 😭 3000💟"
"Netflix","David Gonzal","May 19, 2019",1,"always problems with the connection"
"Netflix","Mr Jay","May 19, 2019",5,"Kewl, in terms of design n function"
"Netflix","James Tien","May 19, 2019",1,"can't play movie, useless."
"Netflix","Maria Alegria","May 19, 2019",5,"like it alot"
"Netflix","Shrinivas bhat","May 19, 2019",1,"Logs me out everytime I resume the activity from background to foreground"
"Netflix","Jerry Wright","May 19, 2019",4,"got everything I can think of..good job"
"Netflix","raghuveer Chava","May 19, 2019",1,"it is not even opening the login page in the app"
"Netflix","Waheed Faruk","May 19, 2019",5,"best movie app ever"
