"appTitle","userName","date","score","text"
"Google Play Music","Ankit Yadav","May 19, 2019",5,"Good app"
"Google Play Music","Manoj Sahu","May 19, 2019",5,"lk"
"Google Play Music","Saida Nasrim","May 19, 2019",5,"good..."
"Google Play Music","Almas Khan","May 19, 2019",5,"nice to listen"
"Google Play Music","Jit Magar","May 19, 2019",5,"👌"
"Google Play Music","Snehalata Mahajan","May 19, 2019",3,"nice"
"Google Play Music","Bhabani Barman","May 19, 2019",5,"many item of songs....vry nice app"
"Google Play Music","Raju Singh","May 19, 2019",1,"memorial"
"Google Play Music","Sajid Khan","May 19, 2019",5,"mast"
"Google Play Music","Vikram Patel","May 19, 2019",5,"gjb"
"Google Play Music","Piyush Ranjan","May 19, 2019",5,"good apps"
"Google Play Music","Gavin Dsouza","May 19, 2019",5,"waw"
"Google Play Music","Mahesh Yadav","May 19, 2019",5,"kmahesh"
"Google Play Music","george joseph","May 19, 2019",5,"nice app"
"Google Play Music","Чунайдулло Бердиев","May 19, 2019",1,"музика.шахийор.давлат"
"Google Play Music","A Google User","May 19, 2019",5,"Google play music"
"Google Play Music","Gerald Lyman","May 19, 2019",2,"Has Been working fine for years now, App kicks me out after 10 seconds of playing. That has never happened before, whats going on?"
"Google Play Music","Govindu Venkat","May 19, 2019",5,"love💗💙💓💕💛🧡💜💖"
"Google Play Music","UrbanOsw","May 19, 2019",5,"the best app for music"
"Google Play Music","Jason Hatcher","May 19, 2019",5,"always so much music to hear."
"Google Play Music","anil prasad","May 19, 2019",1,"get off my phone"
"Google Play Music","mahima pandole","May 19, 2019",5,"nice"
"Google Play Music","Nenelyn Duero","May 19, 2019",5,"ok good no problem"
"Google Play Music","Dipjoti Barman","May 19, 2019",4,"Streaming songs sound quality very clean & crisp better than YouTube music service quality. 1star low because of bug.."
"Google Play Music","Gaming Guru","May 19, 2019",5,".kikk.mkm"
"Google Play Music","Sagar Chauhan","May 19, 2019",5,"त्य्xओ/,""=*"".'9*8:68!'8""8')6""'@5@/@.फ़्ह्फ़्गोफ़्ह्ह्य्= त्स्द्# उ:उ[इन्0"
"Google Play Music","Menige Bagavanth","May 19, 2019",5,"majili music"
"Google Play Music","A Google User","May 19, 2019",5,"BET!"
"Google Play Music","Reiji Azuma","May 19, 2019",5,"love this app."
"Google Play Music","Mukesh Rajput","May 19, 2019",5,"best"
"Google Play Music","Kare Morunga","May 19, 2019",3,"its fast to download what i want"
"Google Play Music","Carson Hardy","May 19, 2019",4,"it work and its doesn't when it works its great but when it doesn't well ya. back to Amazon music for me"
"Google Play Music","news india","May 19, 2019",5,"best"
"Google Play Music","Matt Lawson","May 19, 2019",3,"been good for a year and lately been cutting out the audio. other apps work with sound but expect this one. need to fox bug. it has a great variety of big label artist and unsigned artist too."
"Google Play Music","study facts","May 19, 2019",5,"nice"
"Google Play Music","ROHIDAS MUGALE","May 19, 2019",5,"nice application"
"Google Play Music","Reza Jafarzadeh","May 19, 2019",5,"very good 👍👍👍"
"Google Play Music","Parames 82","May 19, 2019",4,"C I m B 5 z ."
"Google Play Music","Mohammed Nurul Huda","May 19, 2019",2,"রকএ"
"Google Play Music","HALASIDD PUJARI","May 19, 2019",1,"don't add music automatically"
"Google Play Music","Rana Waqas Rana Waqas","May 11, 2019",5,"NYC"
"Google Play Music","Suraj Poudel","May 11, 2019",3,"This app is a perfect 5 star but after I close the songs, it pops up itself and starts playing most of the times. Sometimes it starts playing in the classroom and in other restricted places. It annoys me a lot."
"Google Play Music","William Kinder","May 11, 2019",2,"it tells me something's downloaded but then won't play on offline mode this bug needs to be fixed it's been a bug since the beginning and it's annoying people don't want to pay for something with this many bugs"
"Google Play Music","shinel Collins","May 11, 2019",4,"awesome"
"Google Play Music","Jamshid Mo'ydinov","May 11, 2019",5,"The best music player!"
"Google Play Music","Garry Kortz","May 11, 2019",1,"horrible"
"Google Play Music","Jon43 is IGN 4 MaddenNFL Overdrive","May 11, 2019",2,"my subscription cut off early"
"Google Play Music","ankita sharma","May 11, 2019",5,"Strauss a dytratasatadtyeta you a"
"Google Play Music","C Raju","May 11, 2019",5,"nic"
"Google Play Music","Huzaifa Malik","May 11, 2019",5,"Games Download"
"Google Play Music","RJ360 GAMING","May 11, 2019",5,"this app is so amazing and helpfull for we all and i happy with this app"
"Google Play Music","Catherine Holmen","May 11, 2019",1,"Still crashes every time I try to use it. have left comments and cries for help in many places (here, Twitter, email) without getting a response. Travelling without music isn't fun."
"Google Play Music","Arbaz Shaikh","May 11, 2019",5,"nyc app"
"Google Play Music","A Google User","May 11, 2019",5,"My favorite app for playing music. I hope it stays around. I refuse to use any other."
"Google Play Music","Vlad Chumakov","May 11, 2019",1,"malfunctioning application"
"Google Play Music","Satish Mahor","May 11, 2019",2,"ea1"
"Google Play Music","gyandasgupta gupta","May 11, 2019",4,"pylay music"
"Google Play Music","Brian Long","May 11, 2019",5,"love it"
"Google Play Music","Bjp Jayaprakash","May 11, 2019",5,"super"
"Google Play Music","Angel Zenny","May 11, 2019",5,"Great app and audio quality has a nice fm sounding sound. Using the free version but good enough so its usable."
"Google Play Music","Christopher Furssedonn","May 11, 2019",2,"app keeps crashing on my Samsung Galaxy a8 ugh bug fix please or something"
"Google Play Music","Yash Sharma","May 11, 2019",5,"i love all GOOGLE app"
"Google Play Music","Ashraful Alam","May 11, 2019",5,"g. 🙄. 🏢🐋 🏢 🏢🏦 🐻🖼🏦🎢😍"
"Google Play Music","Edward Welbon","May 11, 2019",1,"doesn't see my sdcad"
"Google Play Music","Clara Agonia","May 11, 2019",1,"when I download songs there not saved in google play!!"
"Google Play Music","Sk Creation","May 11, 2019",5,"i like it"
"Google Play Music","Pankaj Sharma","May 11, 2019",4,"nice"
"Google Play Music","krishnendu chakraborty","May 11, 2019",5,"good app"
"Google Play Music","Vikeno Rengma","May 11, 2019",2,"Nice"
"Google Play Music","Mark Trevena","May 11, 2019",1,"In the last 2 months I've been having constant issues trying to play music in my car, both on Android Auto as well as via Bluetooth and/or standard USB. Plays 10 seconds of a song and then just stops. Have tried uninstalling, clearing cache etc but nothing is working?"
"Google Play Music","Mahadeb Roy","May 11, 2019",5,"I like this app"
"Google Play Music","Karen Hubbard","May 11, 2019",1,"charge 4 every little thing"
"Google Play Music","Koduri Suresh","May 11, 2019",5,"z d"
"Google Play Music","Agam Shah","May 11, 2019",1,"Horrible manner in which radio works. Completely changes type of songs after 2-3 songs. Changes to unknown regional language songs from classical instrumental. and so on. Very bad. Unusable."
"Google Play Music","Zander Tolosa","May 11, 2019",5,"wow .."
"Google Play Music","Nemiah Alexander","May 11, 2019",5,"it has new music that you will love."
"Google Play Music","A Google User","May 11, 2019",1,"Always trying to use background data unless you disable it. Maybe I don't want your streaming service? 'Music playback error' even though other apps play said songs fine. Voice activation only works if you're subscribed to their service and won't play your own local files. Still to this day can't even recognize folder.jpg art and the UI is a mess."
"Google Play Music","Furious Dragon360","May 11, 2019",2,"only works some of the time...other apps are much better"
"Google Play Music","Ahmed Zubairu","May 11, 2019",5,"zubi"
"Google Play Music","S. Walton","May 11, 2019",1,"the audio quality is very poor. i will never purchase through Google play again"
"Google Play Music","Brandon K","May 16, 2019",3,"The only major bug I've encountered is the menu button on each song registers too close to the scroll bar so when im trying to add a song to ""play next"" it jumps down the list of songs. This app is terrible for Android Auto. Theres no ""shuffle library"" option, it only gives you playlists or radio stations. Does not work with google assistant! Telling google to play songs I've downloaded or songs from my library will just start playing random songs from the entire Google Play Music store."
"Google Play Music","Precious Ehis","May 16, 2019",3,"it's a cool app"
"Google Play Music","Amit dwivedi","May 16, 2019",1,"bad"
"Google Play Music","Smita Kalita","May 16, 2019",5,"nice app.easy to use nd differnt types of features..luv the song equlizer mix"
"Google Play Music","DUBEY KUMAR","May 16, 2019",5,"it's good"
"Google Play Music","A Google User","May 16, 2019",3,"Good for listening to music but downloading music is a drag, and this has issue has been around for a long time. Can't believe still not addressed."
"Google Play Music","nabeelprince withbrocklesnar","May 16, 2019",5,"oneplus one play music wao"
"Google Play Music","Timothy Dougherty","May 16, 2019",4,"love it"
"Google Play Music","Rajhim Mesias","May 16, 2019",1,"i couldnt search my music"
"Google Play Music","Cvxcmeryam Ibrahim Cv","May 16, 2019",5,"nice good"
"Google Play Music","Ramesh Kumar","May 16, 2019",4,"good"
"Google Play Music","govind sharma","May 16, 2019",5,"very cute hai"
"Google Play Music","Ansari Mohhammad sarif","May 16, 2019",5,"हावारयु"
"Google Play Music","A Google User","May 16, 2019",5,"Won't allow me to store music offline."
"Google Play Music","Warren Sehn","May 16, 2019",2,"It skips like your using a record player.. On haweii p2opro... C'mon you can do better and it eats music.... Missing songs everytime I change phones.... Fix please..... You guys should actually make the apps we use work better rather than making new ones...."
"Google Play Music","Kayyum Khan","May 16, 2019",5,"गुड के.j"
"Google Play Music","Harjinder Singh pannu","May 16, 2019",3,"good"
"Google Play Music","Volodymyr Mykhalchuk","May 16, 2019",5,"Stops downloading music until phone restart or app force stop"
"Google Play Music","Brandon Cobb","May 16, 2019",4,"The so doesn't show up in multitasking menu"
"Google Play Music","Pratyush Chaubey","May 16, 2019",1,"chom bekar"
"Google Play Music","Prajapati Sahu","May 16, 2019",5,"nice"
"Google Play Music","Vikas nishad","May 16, 2019",5,"nice"
"Google Play Music","Ruben Cruz","May 16, 2019",1,"if I could give no star I would never able to listen to music just plays once song and then loads never plays again I have to unlock the phone and restart the playlist do not use this app it only works when you pay for it"
"Google Play Music","Shannon Pugh","May 16, 2019",5,"SUPER-ADMINISTRATOR+PRO+SYREAMING-ALL"
"Google Play Music","Hanzla Baig","May 16, 2019",5,"very good app"
"Google Play Music","Md. Shofiqur Rahman","May 16, 2019",5,"good"
"Google Play Music","Krishnendu Sasmal","May 16, 2019",2,"No on screen volume control button, no music share option from screen also no folder play option. Bogus app."
"Google Play Music","Deep Saab","May 16, 2019",5,"tare bare"
"Google Play Music","AndroArts","May 16, 2019",4,"please change the whole look its 2019 and still have this old Client"
"Google Play Music","Mehtab Ansari","May 16, 2019",5,"Good"
"Google Play Music","Jonathan Bailey","May 16, 2019",3,"The error for which the music playback continues even after the app is exited is very irritating."
"Google Play Music","Ghulam Fareed","May 16, 2019",5,"Google Play Music Beta update"
"Google Play Music","Dibbendu Mondal","May 16, 2019",5,"Good"
"Google Play Music","Mdyunus Nadaf","May 16, 2019",5,"Supper"
"Google Play Music","Roushan Ravi","May 16, 2019",5,"mast app ha bhaio"
"Google Play Music","sabbir khan","May 16, 2019",1,"please add equalizer"
"Google Play Music","Roxanne Dutra","May 16, 2019",5,"the best"
"Google Play Music","Orshikhbat-te-rdene Buyan","May 16, 2019",5,"Spartan Race"
"Google Play Music","dato xoje","May 16, 2019",1,"i now cant use player without subscription...."
"Google Play Music","mahboob khan","May 16, 2019",1,"Very slow"
"Google Play Music","Agung Wicaksono","May 17, 2019",5,"cool"
"Google Play Music","sonu raghuwanshi","May 17, 2019",5,"excellent"
"Google Play Music","venkat raja","May 17, 2019",4,"good"
"Google Play Music","Edwin Odanga","May 17, 2019",5,"Good"
"Google Play Music","Snehal Ramteke","May 17, 2019",1,"worst"
"Google Play Music","Satpal Singh","May 17, 2019",3,"CT. = *. . TN I'm really 🐩"
"Google Play Music","jones elmenda","May 17, 2019",5,"good"
"Google Play Music","Sahil Chachere","May 17, 2019",1,"Please provide option for individual songs download, its not possible always to download playlist."
"Google Play Music","Zain Hussain","May 17, 2019",5,"Best App"
"Google Play Music","Bapan Pramanik","May 17, 2019",5,"I jst love it."
"Google Play Music","Bhavandeep Singh","May 17, 2019",4,"random 'unable to play track' msgs I was not able to play any mp3 from my sd card..factory resets and other music players didn't help.  The latest update was prompt and has solved the problem for now. Back to 4 stars :) The 'albums' tab still sorts by artist+album. Please change the grouping to solely album attribute."
"Google Play Music","Linda Matthee","May 17, 2019",5,"great"
"Google Play Music","Bria Hayes","May 17, 2019",1,"after today's update my music literally only plays for 8 seconds and cuts off, it was perfectly fine before the update ON 3/19/19.UPDATE: Its been almost a month and Google still has not fixed the app from crashing on my note 9 after now 10 seconds of the music playing before it abruptly stops. FIX THIS PLEASE,IVE ALREADY EMAILED YOU GUYS. Update:app still doesn't work after the 5/9/19 update"
"Google Play Music","mrunal golvelker","May 17, 2019",5,"superb. Great"
"Google Play Music","kishor singh","May 17, 2019",1,"my was hang beautiful, and I will be able to get the best way to get the best of luck with the new year to you by the way I can see the full address of the cring, I will not work on that 38fzw5loDs663 to get bdźß§şllkjhio5 30th of crying 4 7cdzfi to get the cheapest option is available to buy and send you the opportunity to purchase the first time buyers and sellers within 5gffddff fid 22nd, and the 3c the history and culture, history of the d, I will send you the best of all the time r Cwm r hu"
"Google Play Music","Malik Lafeer","May 17, 2019",4,"really love the smoothness during touching my screen . easy app for all of the music addicts..."
"Google Play Music","Dharmendra Sah","May 17, 2019",5,"good"
"Google Play Music","Lintikile M","May 17, 2019",5,"Nice"
"Google Play Music","Uche Toller","May 17, 2019",5,"nice"
"Google Play Music","Kumarswamy Peddi","May 17, 2019",4,"over all good"
"Google Play Music","sana khan","May 17, 2019",5,"uvery nice app"
"Google Play Music","Anil Dasari","May 17, 2019",2,"unable to delete the song completely from drive,pls allow us to do that"
"Google Play Music","Ashay Bhardwaj","May 17, 2019",5,"a nice song player app for the every individual and groups who love to hear music. it have many options for plays your favourite singers song continously."
"Google Play Music","Lakshmi Narayan","May 17, 2019",2,"not in India"
"Google Play Music","A Google User","May 16, 2019",5,"Gapless playback and own uploads. Love it!"
"Google Play Music","Ann Hardy","May 16, 2019",5,"i find everything i want to listen to and very quickly too!! all types of music for anyone and any occasion"
"Google Play Music","A Google User","May 16, 2019",5,"good"
"Google Play Music","Jayanth Grandhi","May 16, 2019",5,"nice"
"Google Play Music","vishal dubey","May 16, 2019",5,"good"
"Google Play Music","A Google User","May 16, 2019",2,"ŕŕŕŕr"
"Google Play Music","Ritvik Modi","May 16, 2019",2,"after the update, the app ain't responding well. The UI keeps stopping but the song keeps playing. I loved this app but the because of this bug, now I hate it."
"Google Play Music","A Google User","May 16, 2019",1,"After the last update the app keeps crushing all the time after playing a few seconds. Samsung Galaxy S8+"
"Google Play Music","Somesh Meena","May 16, 2019",4,"way better than many"
"Google Play Music","Vishal Yagnik","May 16, 2019",2,"Samsung player is much better"
"Google Play Music","Dharmdeepsinh Rathod","May 16, 2019",5,"Jay Bhawani"
"Google Play Music","pinakana Jhansi Jhansi","May 16, 2019",4,"good"
"Google Play Music","A Google User","May 16, 2019",3,"It works fine, but just stating to show it's age now that YT Music seems to be the focus."
"Google Play Music","Michu Michu","May 16, 2019",5,"great"
