"appTitle","userName","date","score","text"
"Google Assistant","kunal status master King gaming","March 27, 2019",3,"launch it for all phone and android versions"
"Google Assistant","Adrian Mckee","March 27, 2019",2,"it is impossible to choose a default music app which is not Spotify or google music. very disappointing."
"Google Assistant","dipak kuchankar","March 27, 2019",3,"nice"
"Google Assistant","EVILSON LUCY","March 27, 2019",5,"Nice!!!!!"
"Google Assistant","Satyendra Pandey","March 27, 2019",5,"good"
"Google Assistant","A Google User","March 27, 2019",5,"nice"
"Google Assistant","A Google User","March 27, 2019",1,"Don"
"Google Assistant","Suman Roy","March 27, 2019",2,"My experience with the Google assistant quite good."
"Google Assistant","A Google User","March 27, 2019",1,"does not open"
"Google Assistant","Sanjeev Aryan","March 27, 2019",5,"super"
"Google Assistant","A Google User","March 27, 2019",5,"nice"
"Google Assistant","A Google User","March 27, 2019",5,"It's great to have an assist on hand. Able to maneuver files and have ? answered."
"Google Assistant","whatapp status","March 27, 2019",5,"very very very useful for me to you"
"Google Assistant","wagdi abdalla","March 27, 2019",5,"ممتاز"
"Google Assistant","James Pollard","March 27, 2019",5,"great on Moto G6 plus and on Huawei mediapad M5 8 inch tablet"
"Google Assistant","Mary Burt","March 27, 2019",5,"I just installed it on my phone and it looks like it's just what I need."
"Google Assistant","marc daze young","March 27, 2019",5,"nice"
"Google Assistant","jesu pavinraj","March 27, 2019",5,"super"
"Google Assistant","A TO Z VIDEOS FINDER","March 27, 2019",4,"awsome"
"Google Assistant","A Google User","March 27, 2019",5,"simply the best, responsive, friendly, funny and helpful"
"Google Assistant","Guillaume Collic","March 27, 2019",1,"Keeps crashing in the languages settings screen"
"Google Assistant","A Google User","March 27, 2019",3,"nice google"
"Google Assistant","Ronak Patel","March 27, 2019",3,"needs many improvements"
"Google Assistant","ILLUMINATEGAMERYT","March 27, 2019",5,"very use full"
"Google Assistant","Kundan Patle","March 27, 2019",5,"best app for time pass and for learning I had learned too much from this thank uhh google love you google"
"Google Assistant","A Google User","March 27, 2019",4,"nice"
"Google Assistant","The Inferno Girl","March 27, 2019",2,"This app is not working on my phone. My android version is above 5.0, my Google Play Services is updated, my Google App is updated, My memory is more than 1 gb and my default language is english(us). Still its not working. What should i do?"
"Google Assistant","Pradeep Kumar","March 27, 2019",5,"best assistance"
"Google Assistant","Rajan Kumar","March 27, 2019",5,"supar aaps"
"Google Assistant","SHIV KARMA","March 27, 2019",5,"goooooood"
"Google Assistant","Victoria Huffman","March 27, 2019",5,"Will explore and give feedback."
"Google Assistant","gaming channel 678","March 27, 2019",5,"nice"
"Google Assistant","A Google User","March 27, 2019",3,"this is useful"
"Google Assistant","A Google User","March 27, 2019",5,"very good i love this app"
"Google Assistant","Dinesh Kumar","March 27, 2019",3,"it is an good app"
"Google Assistant","A Google User","March 27, 2019",5,"good app"
"Google Assistant","A Google User","March 27, 2019",5,"world no 1"
"Google Assistant","A Google User","March 27, 2019",5,"Good"
"Google Assistant","Shaminder Pandhu","March 27, 2019",5,"Nice application"
