"appTitle","userName","date","score","text"
"Battery Doctor-Battery Life Saver & Battery Cooler","A Google User","October 16, 2017",5,"Good and it sipple to use it.."
"Battery Doctor-Battery Life Saver & Battery Cooler","Carter Reid","October 16, 2017",1,"The advertising that tries to scare you into loading other software is unbearable. I dont mind adds but this was bull."
"Battery Doctor-Battery Life Saver & Battery Cooler","Mystery?Gaming","October 16, 2017",5,"Awesome"
"Battery Doctor-Battery Life Saver & Battery Cooler","saeed amirkhani","October 16, 2017",5,"It's the best"
"Battery Doctor-Battery Life Saver & Battery Cooler","nyi nyi tint swe","October 16, 2017",5,"Perfect"
"Battery Doctor-Battery Life Saver & Battery Cooler","A Google User","October 16, 2017",2,"Usely  few benafits only"
"Battery Doctor-Battery Life Saver & Battery Cooler","Josiah Sanyang","October 16, 2017",5,"Anything"
"Battery Doctor-Battery Life Saver & Battery Cooler","Jagsir Jagsir","October 16, 2017",5,"Jagga"
"Battery Doctor-Battery Life Saver & Battery Cooler","Alastair Hunte","October 16, 2017",1,"Used this battery saver for years successfully until they drastically increased the number of ads AND added audio to them. My phone often starts randomly playing audio ads while in my pocket - often in situations where my environment is quiet."
"Battery Doctor-Battery Life Saver & Battery Cooler","Muhammad Amaad","October 16, 2017",1,"فضول"
"Battery Doctor-Battery Life Saver & Battery Cooler","Clash WithTatzz","October 16, 2017",4,"Good Trash Cleaner"
"Battery Doctor-Battery Life Saver & Battery Cooler","DEV rajvanshi","October 16, 2017",5,"I loved it this app amazing superb..."
"Battery Doctor-Battery Life Saver & Battery Cooler","555666 555666","October 16, 2017",1,"Hard to use"
"Battery Doctor-Battery Life Saver & Battery Cooler","NISHANT PHOTOGRAPHY","October 16, 2017",5,"What ooooooooosem"
"Battery Doctor-Battery Life Saver & Battery Cooler","Muneeb tariq","October 15, 2017",5,"Great app"
"Battery Doctor-Battery Life Saver & Battery Cooler","Prince Robert Deluna","October 15, 2017",5,"So fantastic"
"Battery Doctor-Battery Life Saver & Battery Cooler","A Google User","October 15, 2017",5,"Best"
"Battery Doctor-Battery Life Saver & Battery Cooler","Rasel Rahat","October 15, 2017",4,"I think it better then others"
