"appTitle","userName","date","score","text"
"Maps - Navigate & Explore","atif atif arts prodution","May 18, 2019",5,"my favourite app this maps"
"Maps - Navigate & Explore","Gabbar Singh","May 18, 2019",5,"w8006"
"Maps - Navigate & Explore","Vijay Netam","May 18, 2019",5,"best"
"Maps - Navigate & Explore","Mohan Nikhare","May 18, 2019",5,"good"
"Maps - Navigate & Explore","Abinash Nayak","May 18, 2019",5,"not getting 140 credit"
"Maps - Navigate & Explore","Tanveer Shah","May 18, 2019",4,"It,s OK"
"Maps - Navigate & Explore","Nithish Kumar","May 18, 2019",5,"good"
"Maps - Navigate & Explore","Chetan jadhav","May 18, 2019",5,"nice app"
"Maps - Navigate & Explore","Bhojraj Raut","May 18, 2019",5,"easy and good"
"Maps - Navigate & Explore","Swati Shaw","May 18, 2019",5,"Helpful"
"Maps - Navigate & Explore","William F","May 18, 2019",5,"good"
"Maps - Navigate & Explore","Giddy Boy","May 18, 2019",5,"fantastic"
"Maps - Navigate & Explore","Velaiah Thangam","May 18, 2019",5,"very helpful"
"Maps - Navigate & Explore","Afar Khan","May 18, 2019",5,"amazing map app"
"Maps - Navigate & Explore","MPR ENTERPRISES","May 18, 2019",5,"usfull"
"Maps - Navigate & Explore","Vijay Kumar","May 18, 2019",5,"good app"
"Maps - Navigate & Explore","Virginia Limpin","May 18, 2019",5,"loved it"
"Maps - Navigate & Explore","Sandip Roy","May 18, 2019",5,"way to learn more,more to explore"
"Maps - Navigate & Explore","Nash Kanapia","May 18, 2019",4,"Good.. Its verry useful."
"Maps - Navigate & Explore","Livew Augustine","May 18, 2019",5,"itz very useful ..."
"Maps - Navigate & Explore","A Google User","May 18, 2019",2,"audio hit and miss... not very accurate ..."
"Maps - Navigate & Explore","Anirudh Saini","May 18, 2019",1,"edr"
"Maps - Navigate & Explore","ARUN JAYAN","May 18, 2019",5,"usefull"
"Maps - Navigate & Explore","Rakshu Bunty","May 18, 2019",5,"super"
"Maps - Navigate & Explore","Chandan Panda","May 18, 2019",5,"good"
"Maps - Navigate & Explore","Bashir Hussain","May 18, 2019",1,"app searches are not good"
"Maps - Navigate & Explore","Fozle Rabbi","May 18, 2019",5,"good apps"
"Maps - Navigate & Explore","Ishaq Khan","May 18, 2019",5,"Good"
"Maps - Navigate & Explore","Kailash Singh","May 18, 2019",5,"ok"
"Maps - Navigate & Explore","Shafeek Khan","May 18, 2019",5,"very good butt somtime mis it"
"Maps - Navigate & Explore","Janak Patel","May 18, 2019",4,"ive a better idea to get more reviews recently i posted a review on some building after some days owner of that building called me and scolding me for giving his facilities 1 star under his pressure ive to remove that review i decided to not to post any review ever untill you show me as Anonymous"
"Maps - Navigate & Explore","KM Rayhan Hasan","May 18, 2019",5,"so cool"
"Maps - Navigate & Explore","Sharanya Kurup","May 18, 2019",5,"good"
"Maps - Navigate & Explore","Ramzan khan","May 18, 2019",5,"Nice app"
"Maps - Navigate & Explore","Kjaya Sabari","May 18, 2019",5,"M thankaraj m vignesh kannan."
"Maps - Navigate & Explore","Dev Chauhan","May 18, 2019",3,"You cannot rely just on the voice. It speaks too late for directions which leads wastage of time"
"Maps - Navigate & Explore","Thilaga Lakshmi1982","May 18, 2019",5,"This app is very useful for the foreigners"
"Maps - Navigate & Explore","TK MUSIC","May 18, 2019",5,"install হতে দেরি করছে কেন...."
"Maps - Navigate & Explore","Bilal Alam","May 18, 2019",5,"Good app"
"Maps - Navigate & Explore","MOSES ESHIOTI","May 18, 2019",5,"nice"
"Maps - Navigate & Explore","Danville Lim","May 16, 2019",1,"Use to be really good and reliable. Now it guides me with wrong directions making my drives go haywire"
"Maps - Navigate & Explore","Sasi Tharan","May 16, 2019",5,"super map"
"Maps - Navigate & Explore","mahad Mahamoud","May 16, 2019",5,"It is so accurate.i would like to understand what the rewards are"
"Maps - Navigate & Explore","agbolade agbolade olushola","May 16, 2019",5,"vry useful"
"Maps - Navigate & Explore","Ruhi shaan","May 16, 2019",5,"dfg"
"Maps - Navigate & Explore","Raj Patil","May 16, 2019",5,"nice"
"Maps - Navigate & Explore","guru tyvm","May 16, 2019",5,"nice"
"Maps - Navigate & Explore","Smurti Samal","May 16, 2019",5,"This is make easy path to approach destination"
"Maps - Navigate & Explore","Thakur prasad panthi","May 16, 2019",5,"ok"
"Maps - Navigate & Explore","J10 TV","May 16, 2019",5,"super"
"Maps - Navigate & Explore","SK Hayat Ali","May 16, 2019",5,"Wow nice Map"
"Maps - Navigate & Explore","Janus Cheung","May 16, 2019",1,"All ""want to go"" saved places have disappeared. I'm in the middle of a trip and have used this function to plan this trip extensively."
"Maps - Navigate & Explore","Khadija Sheikh","May 16, 2019",3,"The maps are situated in an opposite direction from the one I am travelling in, which requires me to rotate my phone, and more recently maps freezes up and does not allow me to find my destinations as it stops working"
"Maps - Navigate & Explore","Saeed Abdol","May 16, 2019",5,"nice"
"Maps - Navigate & Explore","tonylewis edwards","May 16, 2019",5,"has support driver taking clients to and from different venues this app helps one to get orientated before you start ."
"Maps - Navigate & Explore","Lavkush Shukla","May 16, 2019",4,"that's better than i want take to u"
"Maps - Navigate & Explore","Yacky Cat","May 16, 2019",5,"very helpful! Great help in guiding me. Thank you"
"Maps - Navigate & Explore","anees rajput","May 16, 2019",5,"so tthanks map"
"Maps - Navigate & Explore","History View","May 16, 2019",5,"Helpful"
"Maps - Navigate & Explore","sarfraj ansari","May 16, 2019",4,"cool"
