"appTitle","userName","date","score","text"
"WeChat","Lenny Lybel","February 17, 2019",5,"Good"
"WeChat","Kymar Mendoza","February 17, 2019",1,"It's difficult to sign up!"
"WeChat","","February 17, 2019",1,"dis wechat is useful bt taking lots of phone space"
"WeChat","Wu Haoqing","February 17, 2019",1,"It is very useful for me ,and very convinced. But it have a big size and memory .（Forgive my poor English, because it is not my native language）"
"WeChat","Nafas Ghaderi","February 17, 2019",1,"hard to log in, in some cases. I'm trying about 3 months!!!"
"WeChat","Arun Kumar","February 17, 2019",1,"shake is not working properly....am only getting chinese contacts in shake i believe n no other contacts.....its not like this before...is there any option in settings i can get real contacts in shake....pls help"
"WeChat","","February 17, 2019",5,"nice thing"
"WeChat","FAEIZAH RADZI","February 17, 2019",1,"couldn't login, had try many ways. uninstall and install, try sign up, apparently my account still link, try to link, also cannot login, please fix. im using wechat for working."
"WeChat","","February 17, 2019",5,"It's good and amazing"
"WeChat","S. Yee","February 17, 2019",3,"did not show any notification unless I press into the app"
"WeChat","Thisura Dodangoda","February 17, 2019",3,"The app has gotten significantly better. Message notifications dont always come through sometimes on my s7. Inclusion of a reply to a specific message would be really helpful."
"WeChat","","February 17, 2019",5,"good to serve costumers"
"WeChat","","February 17, 2019",5,"good app"
"WeChat","Yonten Jamtsho","February 17, 2019",5,"if your company increase the duration of the sight video, it would be highly appreciated."
"WeChat","","February 17, 2019",5,"very nice"
"WeChat","Shon Asok","February 17, 2019",4,"Good"
"WeChat","","February 17, 2019",1,"My number is not registering on this Please help"
"WeChat","","February 17, 2019",3,"good"
"WeChat","Konchok Tsering","February 17, 2019",2,"looking good only."
"WeChat","","February 17, 2019",5,"good"
"WeChat","","February 17, 2019",5,"gd apps,more privacy"
"WeChat","Alaba Obende Precy","February 17, 2019",5,"cool"
"WeChat","win chin","February 17, 2019",1,"always disconnected from internet while talking"
"WeChat","","February 17, 2019",3,"this app not mine to update, don't take me an issue. probably none to frame this version."
"WeChat","Shokanla Roheema","February 17, 2019",1,"i cant sign up for days now am tired of wasting data"
"WeChat","","February 17, 2019",5,"good"
"WeChat","Sama Maduranga","February 17, 2019",5,"I like it"
"WeChat","","February 17, 2019",5,"sheilawati"
"WeChat","ryan waizaya","February 17, 2019",1,"why U blocked my account when I just still on registration proccess? And U ask me to give phone number of another wechat user's? are U stupid... how I know which of my friends using wechat.. I just want to install it because I want to play a game that need wechat account for register.. Why U create this annoying rules?"
"WeChat","","February 17, 2019",5,"nice"
"WeChat","Jia Hui Ng","February 17, 2019",5,"Me like wechat because very good,can use free video in the group thank you..."
"WeChat","Zhiwei Ou","February 17, 2019",2,"mmm..mm.mm.n m mm..5m"
"WeChat","","February 17, 2019",5,"no one can see me here..emmm i hv no new friends"
"WeChat","","February 17, 2019",5,"goog"
"WeChat","","February 17, 2019",5,"ok"
"WeChat","Nyan Lin","February 16, 2019",5,"WeChat"
"WeChat","Surya Prakash Kachetti","February 16, 2019",4,"good"
"WeChat","DOMINANT GD","February 16, 2019",5,"Nice"
"WeChat","Nahid Sharif","February 16, 2019",5,"nice"
"WeChat","fion wong","February 16, 2019",5,"good"
"WeChat","Moonyeen Salcepuedes","February 17, 2019",5,"great apps"
"WeChat","Bamidele Louis","February 17, 2019",1,"it a very stupid app i have been trying to login for hours now it just rotating three particular event because it very stupid i hate the app"
"WeChat","pavarati varati","February 17, 2019",4,"great👍"
"WeChat","anh phuong","February 17, 2019",5,"👍 good 😊"
"WeChat","Young","February 17, 2019",1,"so big ,so all do ,what's strange larger thing made in China."
"WeChat","Dignifies Honore","February 17, 2019",5,"amazing app I love it"
"WeChat","","February 17, 2019",1,"Hard for me to install and even signing in or logging in 😒"
"WeChat","Aung Tun248","February 17, 2019",5,"Chat rooms"
"WeChat","","February 17, 2019",3,"Make a dark theme"
"WeChat","","February 17, 2019",1,"Please bring back my people nearby, this will be useless app without ot, people nearby can't see everytime I enable my location, then I'll rate 5 stars..."
"WeChat","","February 17, 2019",1,"Non-existent customer service. My account was frozen due to activity. Even though all my information is the same. And they texted me a code to remember password. I cannot get my account unfrozen. Much better apps available, one dor instance is Line."
"WeChat","Smart Homd Tutorial Center","February 17, 2019",1,"I can't sign in my new mobile. I need to verify 2 or more friends"
"WeChat","","February 17, 2019",5,"လိုင္းေတြအားလံုးထဲမွာwechatသုံးရတာအျကိုက္ဆံုးပဲဒါေျကာင့္အျမဲသံုးပီး တေကာင့္ထဲပဲသုံးတယ္ျကိုက္လြန္းလို႔"
"WeChat","","February 17, 2019",5,"disapointed because long time no one adding me...look around im not appear no people nearby"
"WeChat","","February 17, 2019",5,"I'm bored"
"WeChat","Jawed R","February 17, 2019",1,"Worst app of 2019... Before WeChat was best app now it Became worst app due to the verification process. I would give u 0/100. Even I have verified my identity and my friend authorized me in New verification process and my account was blocked and lost all my friends and some important files."
"WeChat","Benjamin Benjamin","February 17, 2019",5,"ok"
"WeChat","Panji Ukoro","February 17, 2019",5,"Kalau udh download ni aplikasi smp lupa sama istri yang lagi hamil 
dirumah.keenakan chat dan mencari yg bs????yg penting penting enak ga mikir 
penyakit dan br.kenal bro..."
"WeChat","","February 17, 2019",5,"ok"
"WeChat","Gennario Veltaine","February 17, 2019",3,"why does it constantly need to run? i turned off background data yet it keeps going"
"WeChat","Sab W","February 17, 2019",1,"Account is in ""protected"" mode. I know the password, I have the phone to which the account is registered but it won't let me log in without MORE verification? Stupidity."
"WeChat","Rishi Joker","February 17, 2019",5,"sunni"
"WeChat","golden akah","February 17, 2019",2,"I was blocked at the same time I registered... Why?"
"WeChat","","February 17, 2019",5,"good app"
"WeChat","Fahim Shahrier","February 17, 2019",5,"good app"
"WeChat","Kevin Mason","February 17, 2019",4,"Let's me communicate with my girlfriend, our friends and family all around the world via Video and Messages. Mostly used a cross China and UK as we back and forth with work / travelling. Overall please with the app just minor things which like translation needs to be better."
"WeChat","Choijil Tsendee","February 17, 2019",5,"GOOOD"
"WeChat","T A","February 17, 2019",1,"very bad application... and if you want to delete your account you will not be able to delete it unless after very long time.. Do Not install guys"
"WeChat","Denny Ye","February 17, 2019",1,"我的微信换不了个人头像？"
"WeChat","","February 17, 2019",1,"Worst app in Social Media ! Can't able to retrieve my password. It say to login from old device which don't not support the current version. Other methods I have tried but unable to login. Please fix it ASAP !"
