"appTitle","userName","date","score","text"
"ICQ: Messages, Group chats & Video Calls","A Google User","April 22, 2018",5,"I think its fun"
"ICQ: Messages, Group chats & Video Calls","A Google User","April 22, 2018",5,"Taajbabakhan"
"ICQ: Messages, Group chats & Video Calls","A Google User","April 21, 2018",5,"OK"
"ICQ: Messages, Group chats & Video Calls","Ladycarmel Bondoc","April 21, 2018",1,"When i put my number, it didnt work!!!!! 😡😡😡😡"
"ICQ: Messages, Group chats & Video Calls","Dr.Mohammad Younus Ali","April 21, 2018",5,"bdmall doing greatest International business"
"ICQ: Messages, Group chats & Video Calls","Fred Mokaya","April 21, 2018",5,"Nice"
"ICQ: Messages, Group chats & Video Calls","BOLLYWOOD ENTERTAINMENT","April 20, 2018",5,"I liked"
"ICQ: Messages, Group chats & Video Calls","hamzah moen","April 20, 2018",5,"Very good"
"ICQ: Messages, Group chats & Video Calls","Anthony Berry","April 20, 2018",5,"Yes...like it...:)"
"ICQ: Messages, Group chats & Video Calls","A Google User","April 20, 2018",5,"Awesome job"
"ICQ: Messages, Group chats & Video Calls","Shivam Pundora","April 20, 2018",5,"#Nice....👍👍👍"
"ICQ: Messages, Group chats & Video Calls","Rey Gelacio","April 20, 2018",2,"Why is the cam for calling is not working."
"ICQ: Messages, Group chats & Video Calls","Carmen m","April 19, 2018",5,"I love the app don't get me wrong but just one thing I needed to change is 
the texting texting is totally not fun I'm not trying to hate whatsoever I 
love them to pieces like if I was like 11 or 10 years old I would use this 
app like to the day I die. Okay but the chest the test texting these to 
work out more but don't get me wrong I love it still keep going keep doing 
the good work"
"ICQ: Messages, Group chats & Video Calls","Sugarplum LaNenaLinda","April 19, 2018",5,"Aw so great 😊"
"ICQ: Messages, Group chats & Video Calls","A Google User","April 19, 2018",3,"It let's you chat with your friends"
"ICQ: Messages, Group chats & Video Calls","lisa latifi","April 19, 2018",5,"Best"
"ICQ: Messages, Group chats & Video Calls","Ac3n34d _X","April 19, 2018",1,"Thee Last two updates were the worst ever although they more beautiful they 
keep crashing my phone, I send a letter to developer and no news yet am 
uninstalling ICQ now to install an old version"
"ICQ: Messages, Group chats & Video Calls","Cepgei Tunies","April 19, 2018",1,"no privacy"
"ICQ: Messages, Group chats & Video Calls","Ssekulima Ronald","April 19, 2018",5,"Cool"
"ICQ: Messages, Group chats & Video Calls","A Google User","April 19, 2018",5,"Perfect"
"ICQ: Messages, Group chats & Video Calls","Big Ben","April 18, 2018",5,"Good app, with classic function and good interface"
"ICQ: Messages, Group chats & Video Calls","Orlando Kemp","April 18, 2018",5,"Well right now I really like this app it's really awesome and it works so 
well right now"
"ICQ: Messages, Group chats & Video Calls","emmanuel ebuka madueke","April 18, 2018",4,"It is a very good app, but i av my reservations. I will rate 5 star if: 
*There is an option to search keyword in a conversation."
"ICQ: Messages, Group chats & Video Calls","Corey Owen","April 18, 2018",5,"The best"
"ICQ: Messages, Group chats & Video Calls","A Google User","April 18, 2018",2,"Nice"
"ICQ: Messages, Group chats & Video Calls","BlackCat","April 18, 2018",1,"Where are the rooms? How find contacts? You destroy icq."
"ICQ: Messages, Group chats & Video Calls","Baba Shah","April 18, 2018",5,"this app is good for conversation"
"ICQ: Messages, Group chats & Video Calls","A Google User","April 17, 2018",5,"ICQ best of all messengers shows GIF files."
"ICQ: Messages, Group chats & Video Calls","VEER Nadeem","April 17, 2018",5,"This app is very good"
"ICQ: Messages, Group chats & Video Calls","A Google User","April 17, 2018",5,"Nice app"
"ICQ: Messages, Group chats & Video Calls","sainobi sk","April 17, 2018",4,"sainobisk"
"ICQ: Messages, Group chats & Video Calls","A Google User","April 17, 2018",5,"Love it"
"ICQ: Messages, Group chats & Video Calls","i_love_rebbeca heart","April 17, 2018",5,"Awsome"
"ICQ: Messages, Group chats & Video Calls","Ollie Jones","April 17, 2018",5,"good"
"ICQ: Messages, Group chats & Video Calls","Miranda Ramirez","April 17, 2018",5,"Easy"
"ICQ: Messages, Group chats & Video Calls","Aphyone official","April 17, 2018",5,"It is okay"
"ICQ: Messages, Group chats & Video Calls","A Google User","April 17, 2018",5,"Super"
"ICQ: Messages, Group chats & Video Calls","Maxim Buzikov","April 17, 2018",1,"Сами аськой своей пользуйтесь. Верните телеграм!"
"ICQ: Messages, Group chats & Video Calls","A Google User","April 17, 2018",5,"I think it is good"
"ICQ: Messages, Group chats & Video Calls","Arzoo Jamal","April 16, 2018",5,"I love ICQ too much"
"ICQ: Messages, Group chats & Video Calls","Ognjen Srdic","May 3, 2018",5,"Great"
"ICQ: Messages, Group chats & Video Calls","A Google User","May 3, 2018",5,"icq rulez since 18 years :)"
"ICQ: Messages, Group chats & Video Calls","A Google User","May 2, 2018",5,"Nice"
"ICQ: Messages, Group chats & Video Calls","Nepal Rana Rana","May 2, 2018",5,"Good"
"ICQ: Messages, Group chats & Video Calls","A Google User","May 2, 2018",5,"love it it is the best app ever"
"ICQ: Messages, Group chats & Video Calls","Gacha &kiyah","May 2, 2018",3,"It's ok when ur not in there with bad ppl who wants only girls so they can 
see them naked but yeah it's ok"
"ICQ: Messages, Group chats & Video Calls","A Google User","May 2, 2018",5,"Love it"
"ICQ: Messages, Group chats & Video Calls","GMIAH'S Java","May 2, 2018",5,"Highly recommended easy to use."
"ICQ: Messages, Group chats & Video Calls","Cosmic Gaming","May 2, 2018",5,"Is"
"ICQ: Messages, Group chats & Video Calls","JEREMIAH GMIAH","May 2, 2018",5,"I like the multiple video chats."
"ICQ: Messages, Group chats & Video Calls","javed iqbal","May 2, 2018",5,"A very nice app"
