"appTitle","userName","date","score","text"
"Netflix","Crystal Donald","May 6, 2019",5,"would love it if you guys could put Now and Then on netflix could you consider it please"
"Netflix","Ruth Carsberg","May 6, 2019",4,"IT HASNT GOT ANT MAN OR ANT MAN AND THE WASP!!!! I'M LIKE IN THE MOOD TO WATCH ANT MAN RN IMMA DIEEEE everything else is great!!"
"Netflix","Courtnee Loves Ramen","May 6, 2019",4,"i would have enjoyed it more, if it had more animes on it. like spirited away, or ponyo. but all in all, its a great app..... (pleaaaaaase put spirited away on here)"
"Netflix","Cassandra rheuport","May 6, 2019",5,"you can wach moves on the go"
"Netflix","pugbabe forever","May 6, 2019",4,"I don't like that Jessie is not on it anymore but its ok aka amaziing"
"Netflix","Maria 54","May 6, 2019",3,"hey Netflix what's up 😮😮 I've been a loyal customer for years and because I signed out of Netflix and tried to sign back in ..all hell broke loose 😮😮omg I never had so much problems with signing in on any site ..Netflix is one of my favorites but I hope I can sign back in...I even uninstalled it and downloading it again..😟🤔"
"Netflix","adalinha newell","May 6, 2019",5,"amazing!!!!!!!!"
"Netflix","Susan Flynn","May 6, 2019",5,"love it"
"Netflix","Wife/Jody Lela Hoffman","May 6, 2019",5,"cool"
"Netflix","facu garcia","May 6, 2019",3,"Can't use the cast service"
"Netflix","Gokul Jinendra","May 6, 2019",5,"the best 😍😍😍"
"Netflix","ÀBØ ĹĒBÀÑØÑ","May 6, 2019",5,"very nice"
"Netflix","Eoin Noonan","May 6, 2019",5,"brilliant"
"Netflix","Tellef Åmdal","May 6, 2019",1,"Won't launch at all, keep getting error code -14."
"Netflix","Ibrahim Aminu","May 6, 2019",5,"its so amazing"
"Netflix","Tim Conrad","May 6, 2019",5,"1 star until yall fix the whole logging out in the middle of a movie. About 
to get rid of this app and go to hulu they are a lot more considerate to 
their customers."
"Netflix","iiAmFrosty","May 6, 2019",5,"Add more anime. 😉"
"Netflix","Mustafa kiwi","May 6, 2019",5,"Its good"
"Netflix","Makenna Manning","May 6, 2019",5,"great"
"Netflix","Ayesh Emran","May 6, 2019",5,"Osm"
"Netflix","Rachel R","May 6, 2019",5,"very neat, smooth app for killing time and learning bios of great people, documentaries, etc."
"Netflix","Jamie Howard","May 6, 2019",1,"This is useless. Non of the shows I want to watch are on it because it's all region based. What's the point in this if I can't watch any of the shows I want?"
"Netflix","rookymoss 031","May 6, 2019",5,"cool"
"Netflix","Johlene Eksteen","May 6, 2019",3,"Like the series"
"Netflix","Mavela Njabulo","May 6, 2019",5,"It's dope"
"Netflix","Christian Horton","May 6, 2019",5,"Love this app!"
"Netflix","Olaitan Osisanya","May 6, 2019",5,"best app ever"
"Netflix","G Gamer","May 6, 2019",5,"kool"
"Netflix","B1kRain","May 6, 2019",1,"Gets old quick. No new good movies all B-rated bs or not even in English but the description is in English. they got there money nd its obvious where its not going. Better apps with actual good movies now available why pay to watch old stuff"
"Netflix","lindsay hatfield","May 6, 2019",1,"This Netflix Google play App stinks it keeps telling me its downloased on my phone and i can not access it at all.  Its nowhere on my apps and i  an not get to it...im going to have to take it to the verizon store to figure this out."
"Netflix","Naomi Emebet","May 6, 2019",5,"very usefull"
"Netflix","Mostajo Tan","May 6, 2019",1,"the new update kept crashing on Android ver. making most of my download to fail and me trying to redownload causing it to hit the maximum number of times content can be downloaded. Goodbye netflix because if i could only stream online, i could go to different platform."
"Netflix","Josh LAW","May 6, 2019",3,"Why would you remove the optional feature to auto sign into a profile? also all my downloads were deleted and I had to redownload them for offline viewing which is very annoying"
"Netflix","லீயோ சக்தி","May 6, 2019",5,"i love it"
"Netflix","Baarong Tony-Uranta","May 6, 2019",4,"good great"
"Netflix","Tesra Jones","May 6, 2019",5,"wonderful"
"Netflix","Johnnie Green","May 6, 2019",5,"nice"
"Netflix","Kyla Sage","May 6, 2019",1,"I could not type in the search bar and the video was poor quality the video would start speeding up rapidly for no reason. I did not enjoy this as much as I ussually do."
"Netflix","Addison Licht","May 6, 2019",5,"Netflix is so great and I love the different animes. But I beg you please I need season 2 of black butler. I know it exists. So please give me season 2! Also I think you should make The disastrous life of saki k season 2 and season 3 availible in english."
"Netflix","Jack Frost","May 6, 2019",1,"galaxy tab s2 but 480p instead of 1080p no root :("
"Netflix","CH H","May 6, 2019",3,"Badly needs a Forward button, when in Casting mode."
"Netflix","tony caprio","May 6, 2019",1,"This app needs lots of work."
"Netflix","Dr Ashique Ee Mostafa","May 6, 2019",3,"My Netflix app was working just fine. But after the latest update, the app just refuses to use my WiFi. It works only on mobile data. I tried uninstalling and reinstalling, but to no avail. Kindly help."
"Netflix","Issac Lopez","May 6, 2019",5,"it has great movies and series i loved the series the flash ut with out netflix i would not be able to wach it thankyou for the movies and a some series"
"Netflix","Jaydee Alva","May 6, 2019",5,"SAVE SANTA CLARITA DIET !!!!!!! PLEASE"
"Netflix","Daniel Garcia","May 6, 2019",5,"love it"
"Netflix","Rosita Davila","May 6, 2019",5,"on"
"Netflix","Jadn Lindig","May 6, 2019",5,"Amazing"
"Netflix","silvia alcaraz","May 6, 2019",1,"error 1-4. no way to watch anything on my phone :/"
"Netflix","Sadaria Morris","May 6, 2019",1,"you have to pay"
"Netflix","Caroline Gabriel","May 6, 2019",5,"need to be updated cuz the same mivies and minin serisi."
"Netflix","Daniel Mestas","May 6, 2019",3,"good"
"Netflix","aiden treptow","May 6, 2019",5,"it is amazeing"
"Netflix","TheRisk YouTook","May 6, 2019",1,"can't switch profiles to watch."
"Netflix","erion Perez","May 6, 2019",5,"cant sign up with my my phone number it says something went wrong please try again later pls fix it so i can watch netflix for one month freee i expect you the netflix team fix it"
"Netflix","GoapLord","May 6, 2019",4,"Does not work right anymore Sorry for 1 star but it doesnt work"
"Netflix","yarely teaching u teakowndo","May 6, 2019",5,"cool"
"Netflix","Lance Fosburg","May 6, 2019",2,"I am disapointed that every time i want to watch a movie its not on netflix like every time."
"Netflix","Courtney Lefler","May 6, 2019",5,"good app"
"Netflix","Anthony Perez","May 6, 2019",5,"idk xd"
"Netflix","Inferno Ayyye","May 6, 2019",5,"good app if you love tv"
"Netflix","Karina Rivera","May 6, 2019",5,"I love watching anime"
"Netflix","CAMERON BRANY","May 6, 2019",1,"👎000000 💩"
"Netflix","Sansadrefix Cpt Trebor","May 6, 2019",5,"Loads of great movies , tv shows and more !!!"
"Netflix","Yuany Kim","May 6, 2019",1,"Unable to play on Android all of the sudden I'm getting a 5.8 error message, and I alredy did everything they recommended to solve the issue but it doesn't work."
"Netflix","Lucas Mason","May 6, 2019",5,"good."
"Netflix","Suvan Tucker","May 6, 2019",5,"good"
"Netflix","Michael Allen","May 6, 2019",2,"il est ñ nm ."
"Netflix","Shamia Alston","May 6, 2019",5,"can you put the goblin slayer anime on Netflix so I can watch it."
"Netflix","10-10-10 Destiny","May 6, 2019",4,"I generally love Netflix..Just three problems... I cant find any other ways to watch Dragon Ball/Black Butler dubbed. First, Dragonball is isnt on here..But there is all the other classic animes?! What?! Second, Black Butler only has 1 season! Before there was more than 1! Why did you change it?! third, Whenever I type something in, Its says titles related! Why cant it just put the thing I search?! Or, why cant I just change it in the setting?! Anyway.. Thats all i have to say. PLEASE FIX THIS!"
