"appTitle","userName","date","score","text"
"Google Assistant","Jorge Chevez Perez","May 5, 2019",3,"perfec"
"Google Assistant","Nicole Ferrall","May 5, 2019",5,"My Google Assistant is very helpful and informative!!!"
"Google Assistant","Muhammed Safad P","May 5, 2019",5,"Awesome in catching up the words."
"Google Assistant","Rama Mani","May 5, 2019",5,"Helps me in my day"
"Google Assistant","El Caleño","May 5, 2019",1,"I just got my LG G8 ThinQ and Google Assistant It does not work on my phone. Can you explain to me what is happening?"
"Google Assistant","Amit Gautam","May 5, 2019",5,"wow this is very good app hiiiii google assignment"
"Google Assistant","Sami Newhouse","May 5, 2019",2,"you are killing this amazing app, too much repeat messages, doesn't send texts and is quite frustrating when trying to get things done"
"Google Assistant","jaime kitting","May 5, 2019",4,"fun"
"Google Assistant","Mr. Scammer123","May 5, 2019",2,"worked super well but when i tried to use it, it stopped."
"Google Assistant","Vickey Allen","May 5, 2019",5,"I have not try you yet but that will help me out a lot.!!!!!!"
"Google Assistant","John Padgett","May 5, 2019",2,"I uninstalled and reinstalled the app, cleared the cache, cancel all my routines, and still every single time I say to play something on Spotify it responds with ""Ok, i've snoozed the alarm. is crazy frustrating and I had none of these issues before the Samsung Galaxy S10."
"Google Assistant","LaVar Ball","May 5, 2019",5,"very useful"
"Google Assistant","A Google User","May 5, 2019",1,"Google Assistant refuses to reply correctly to command ""read my messages"". I have uninstalled Google Assistant since it does not work. I found another app on Google Play that works much better and reads my messages properly when I need it, such as when I am using Bluetooth headset. Lowered my Google Assistant review from 2 to 1 since it does not work and is a waste of time."
"Google Assistant","Olivia kirby","May 5, 2019",1,"I'm trying to listen to music and it pops up and pauses it every 10 seconds. FIX IT. it's so retarded."
"Google Assistant","Parminder Singh Padda","May 5, 2019",4,"definitely better than Bixby"
"Google Assistant","Karen Gitto","May 5, 2019",3,"very good"
"Google Assistant","Baby Shreeja","May 5, 2019",5,"omg"
"Google Assistant","Neal Harm","May 5, 2019",1,"Doesnt work on my chromebook. How do i use google assistant on my new c330 chromebook"
"Google Assistant","Kiyo Varma","May 5, 2019",5,"it was a nice app ar assistance it help me in many questions , ..."
"Google Assistant","vicky","May 5, 2019",5,"Excellent!!"
"Google Assistant","Raju Shaikh","May 5, 2019",5,"its a fab thing."
"Google Assistant","B Raghav","May 5, 2019",5,"good but needs some improvements"
"Google Assistant","Vikas Yadav","May 5, 2019",5,"good"
"Google Assistant","Raj Yadav","May 5, 2019",5,"i love this aap because it's is the really response any questions"
"Google Assistant","anonymous 99","May 5, 2019",5,"not talking properly help me please"
"Google Assistant","Sec 77","May 5, 2019",5,"great service handy if out looking for places traffic weather report"
"Google Assistant","Satyam Paswan","May 5, 2019",5,"good"
"Google Assistant","Immortal","May 5, 2019",5,"its great having a assistant but plzz google make it a point that the user can change of the assistant as they want performance is awesome"
"Google Assistant","Omprakash Aakare","May 5, 2019",1,"google voise"
"Google Assistant","Safin Almeida","May 5, 2019",1,"this app is not working please note it"
"Google Assistant","leon leon","May 5, 2019",1,"Doesn't start after last update. Also Google home keeps crashing after the update ."
"Google Assistant","Bishaldeep Narayan","May 5, 2019",5,"nice"
"Google Assistant","Sandeep kumar","May 5, 2019",5,"Nice"
"Google Assistant","Ed B","May 5, 2019",2,"Samsung has blocked the use of this App. Now after recent update to note9 in may, the app is no longer able to function."
"Google Assistant","Jones Nadar","May 5, 2019",5,"good apk"
"Google Assistant","A Google User","May 5, 2019",1,"1 - there are 2 links on my screen, when I use whats on my screen, it sees the words that are on the screen, but doesnt see links that are on the screen. 2 - I have next gen 18:9 aspect ratio phone, and it has gesture control and doesn't have home or back button. So couldn't summon assistant for what's on my screen feature, need another way to do it. Please provide. 3 - it should see pic on screen and do reverse image serch when i use what's on my screen feature."
"Google Assistant","aakash Verma","May 4, 2019",5,"what to say about this app... unbeliveable"
"Google Assistant","Dinesh Yadav","May 4, 2019",4,"nice"
"Google Assistant","Sumayya Khan","May 4, 2019",5,"it's amazing"
"Google Assistant","Mick Decuir","May 4, 2019",5,"great app!does a great job"
"Google Assistant","steve muggleton","March 20, 2019",1,"No longer working since the update"
"Google Assistant","A Google User","March 20, 2019",5,"love this app"
"Google Assistant","PK Times","March 20, 2019",5,"nice"
"Google Assistant","Jitendra Besra","March 20, 2019",4,"please add more offline feature... can i cange Assistant name because voice access also active in same command Ok google.. that why i uninstall voice command.."
"Google Assistant","A Google User","March 20, 2019",5,"super"
"Google Assistant","Karshan bhai Rathod","March 20, 2019",1,"👎👎👎👎👎👎👎"
"Google Assistant","Wendy Gilbert","March 20, 2019",4,"it was very quicj n easy"
"Google Assistant","A Google User","March 20, 2019",5,"vicky"
"Google Assistant","A Google User","March 20, 2019",5,"nice"
"Google Assistant","Terry Wayne","March 20, 2019",5,"Brilliant app! works very well."
"Google Assistant","A Google User","March 20, 2019",5,"very nice and helpful app for Android phones"
"Google Assistant","A Google User","March 20, 2019",5,"super"
"Google Assistant","A Google User","March 20, 2019",5,"its useful but its not coming to my home button how to do it plzz tell me"
"Google Assistant","Jai Chand Sharma","March 20, 2019",5,"very very smart"
"Google Assistant","Sai Krishna","March 20, 2019",5,"How to study science class 10 of chhattisgarh board English"
"Google Assistant","A Google User","March 20, 2019",2,"As with everything Google do outside Search and Adsense, this is another good idea slowly rotting through mismanagement. How long will we have to wait for them to fix the broken reminders? Why are updates pushed out without proper User Acceptance Testing? Because Google."
"Google Assistant","Abhishek Kumar","March 20, 2019",5,"very good"
"Google Assistant","Bhaiya Manoranjan Kumar","March 20, 2019",5,"Good Product"
"Google Assistant","A Google User","March 20, 2019",5,"Now its the best app😃"
"Google Assistant","Joseph Fernandes","March 20, 2019",5,"excellent"
"Google Assistant","A Google User","March 20, 2019",5,"Nice"
"Google Assistant","A Google User","March 20, 2019",1,"Very disappointed. I got this a year ago and it was great. But every update has messed it up. First the ding after Hello Google disappeared, then the Voice Match stopped working, then it constantly says I don't have internet when I do, and now the thing doesn't even react after Hello Google. Deleting!"
"Google Assistant","A Google User","March 20, 2019",5,"This app is very nice and everyone may download this app cause it is user friendly"
"Google Assistant","A Google User","March 20, 2019",5,"best"
"Google Assistant","chetan khatavkar","March 20, 2019",5,"best app"
"Google Assistant","A Google User","March 20, 2019",5,"This aap is very good aap are support in any condition so it's is important aap try it"
"Google Assistant","A Google User","March 20, 2019",5,"it is like Jarvis of Iron Man"
"Google Assistant","Kartick Sarkar","March 20, 2019",3,"Make her speak in Bengali. She can't speak in Bengali."
"Google Assistant","A Google User","March 20, 2019",5,"I love this app"
"Google Assistant","A Google User","March 20, 2019",5,"nice"
"Google Assistant","rajendra ghodake","March 20, 2019",5,"good"
"Google Assistant","A Google User","March 20, 2019",5,"S GANESH"
"Google Assistant","A Google User","March 20, 2019",1,"nice"
"Google Assistant","A Google User","March 20, 2019",5,"spr.."
"Google Assistant","A Google User","March 20, 2019",5,"nice app"
"Google Assistant","technical today","March 19, 2019",5,"Brilliant app"
"Google Assistant","A R creations","March 19, 2019",5,"superb and assistant is very good"
"Google Assistant","A Google User","March 19, 2019",5,"good 🍺"
"Google Assistant","Gul K","March 19, 2019",1,"Not working in poco f1"
"Google Assistant","Dhaval Solanki","March 19, 2019",5,"I can't set smart screen lock in google assistant help me please"
"Google Assistant","Gurpreet Kairon","March 19, 2019",5,"sir this app oppo a37f is not working please check it."
"Google Assistant","Uday creat videos","March 19, 2019",5,"super app"
"Google Assistant","The Genius Clasher","March 19, 2019",5,"Great App"
"Google Assistant","Aryaman Saxena","March 19, 2019",4,"During voice search it just searches in hindi and features like play song or whats the weather doesn't work, it just does google."
"Google Assistant","Martin","March 19, 2019",1,"I follow the instructions and Google assistant still doesn't work"
"Google Assistant","A Google User","March 19, 2019",1,"it wont let me use unlock with voice which i used a lot and now its gone i have a Samsung J7 PRIME"
"Google Assistant","charan gowda","March 19, 2019",4,"my good assistant"
"Google Assistant","Angel Rosario","March 19, 2019",3,"I'm trying to use it with Alfred Camera and it keeps repeating the details of how Google shares info with other services rather than actually execute the command."
"Google Assistant","Kandra Long","March 19, 2019",4,"it can be a little slow, some bugs could use some ironing out. over all it's a fantastic idea especially for those who have a handicap and trouble remembering thing. the only issue I have is I wish it responded faster and clearer."
"Google Assistant","Susan B","March 19, 2019",1,"Since January this app no longer reads new texts. This is a known Google issue with no info anywhere of a fix. Makes text interaction while driving impossible!!!😱"
"Google Assistant","A Google User","March 19, 2019",1,"crashing when i voice command an alarm"
"Google Assistant","A Google User","March 19, 2019",5,"great to have help ho can I invest in Google"
"Google Assistant","Johnny Guyllette","March 19, 2019",5,"Good"
"Google Assistant","maeenuddin khan","March 19, 2019",4,"OK Google not working. Accidentally I turned off the voice recording by Google assistant. Need help"
"Google Assistant","A Google User","March 19, 2019",3,"why is this app and other Google voice to text ignore the us English word ""O'clock"" ?"
"Google Assistant","Kevin Coupal","March 19, 2019",4,"why does this app exist. isn't Google Assistant built into Android"
"Google Assistant","Chandraprakash G","March 19, 2019",2,"× In Android Q the Share Screenshot option doesn't bring Quuck share first row instantly, but still laggy and shoes up after a second In Android Q ecosystem this quick share is popped up instantly, but only in the above scenario by google assistant doesnt show instant quick share"
"Google Assistant","R K M MIX song","March 19, 2019",5,"nice"
"Google Assistant","Marc LaBranche","March 19, 2019",5,"good"
"Google Assistant","d spicer","March 19, 2019",1,"it sucks. it supposed to recognize my contacts. but apparently it's still learning. it cant understand text cathy. it's terrible. go back to the old assistant that worked. it use too work. now apparently it's still learning 😡"
"Google Assistant","Ankur Jamwal","March 19, 2019",1,"Siri is best"
"Google Assistant","A Google User","March 19, 2019",5,"great"
"Google Assistant","Randy Richard","March 19, 2019",5,"have not yet figured out exactly how it works however, I look forward to exploring all of its options and help!!"
"Google Assistant","A Google User","March 19, 2019",1,"nice"
"Google Assistant","A Google User","March 19, 2019",5,"mast app"
"Google Assistant","A Google User","March 19, 2019",4,"good"
"Google Assistant","A Google User","March 19, 2019",5,"Very Good"
"Google Assistant","RJ Entertainment","March 19, 2019",1,"Google Assistant not support OPPO f1s, Why Please reply."
"Google Assistant","Elizabeth Black","March 19, 2019",1,"all bad"
"Google Assistant","samantha didomino","March 19, 2019",2,"it's pretty good but whenever I ask it to set a timer it crashes!"
"Google Assistant","A Google User","March 19, 2019",5,"This is a good app.."
"Google Assistant","A Google User","March 19, 2019",5,"nice"
"Google Assistant","A Google User","March 19, 2019",5,"Great!"
"Google Assistant","A Google User","March 19, 2019",5,"superb"
"Google Assistant","A Google User","March 19, 2019",1,"mere mobile ma kyo nahe chal raha he"
"Google Assistant","Marko Petrovic","March 19, 2019",2,"me: ""Hey google, play Sonic Green Light Ride on Google Play Music"" (Have the music on SD Card with that name and is accessible on the google play music. And have chosen Play Music as default player) Google Assistant: ""Affirmative, playing 'Sonic Green Light Ride on Google Play Music' on youtube"" And then it sends me to a completely unrelated video on youtube. Yeah. I dont know what to say. Yelling the command seem to work sometimes. But it usually does this to me."
"Google Assistant","Naik Abhijeet","March 19, 2019",1,"Why is google assistant not available for OnePlus 5?????? I am trying to download it from morning, rebooted the phone..But it still says it's not available for my device and gives a CLOSE option. It was available for my device earlier??? Can Google team answer my query?"
"Google Assistant","A Google User","March 19, 2019",5,"nice"
"Google Assistant","Athhar Ahamed","March 19, 2019",5,"Does not work on Xiaomi phones."
"Google Assistant","biplab murmu","March 19, 2019",5,"excellent"
"Google Assistant","A Google User","March 19, 2019",2,"best"
"Google Assistant","nishikant bawache","March 19, 2019",2,"crashes automatically on my device every time i launch it."
"Google Assistant","TheGreatPiggy igPay","March 19, 2019",1,"Only thing I needed it to do was play music I downloaded onto my phone, but it refuses to do that. It even understands completely what I'm saying, but even when I say to play ""from my library"" or using a non Google music player app, it just opens Youtube or Google Music anyways."
"Google Assistant","Sasi Suriya","March 19, 2019",5,"new tamil version"
"Google Assistant","Manuel Santos","March 19, 2019",4,"nice and easy"
"Google Assistant","Franz Baldus","March 19, 2019",1,"works 40% of the time, even if phone listens correctly to requests assistant does/plays whatever. have reset everything on phone , even phone, it jusy doesnt work and seems to be getting worse and worse!"
"Google Assistant","HAAFIZ SHAIK. RABBANI","March 19, 2019",5,"🥀اَلْحَمْدُ ِللّٰه🥀"
