"appTitle","userName","date","score","text"
"Snapchat","Graci Moe","May 14, 2019",4,"Lots of fun..."
"Snapchat","Sharvari I","May 14, 2019",4,"The app is amazing! Something that I would like in app is having bookmarks or maybe the option to save some articles into collections or something. That's it."
"Snapchat","XXXTENTATION","May 14, 2019",4,"iss lit"
"Snapchat","Getsemani Flores","May 14, 2019",1,"My camera stopped functioning and I checked if it was my device and it wasn't can you please fix this ."
"Snapchat","GUNJAN SAINI","May 14, 2019",4,"gud"
"Snapchat","Shubham Kejriwal","May 14, 2019",5,"great experience"
"Snapchat","Oscar Salmo","May 14, 2019",5,"ok"
"Snapchat","Syed Kashif Shah","May 14, 2019",5,"🤩"
"Snapchat","Josephine Mediario","May 14, 2019",5,"happyyyyy"
"Snapchat","Lean Xieuves Roxas","May 14, 2019",5,"SOGO"
"Snapchat","Misbah Shabbir","May 14, 2019",5,"Entertaining App"
"Snapchat","Maria Bundy","May 14, 2019",4,"Won't load stories anymore. I logged out and now I can't log back in. Saying it can't connect to the server"
"Snapchat","Phillip Vela","May 14, 2019",5,"l really happy with snapchat"
"Snapchat","Ogo Nnenna","May 14, 2019",5,"love it"
"Snapchat","Yllas De Leon","May 14, 2019",5,"i use it most of the time and i love it!!!"
"Snapchat","Jake Sutton","May 14, 2019",1,"ok it's easy to text and do streaks login Is weird tho"
"Snapchat","Serpent Kate","May 14, 2019",5,"love it takes good pictures to make you look prettier than you are"
"Snapchat","Buger Pop","May 14, 2019",5,":b"
"Snapchat","Wilson Salve","May 14, 2019",4,"your should give the option of changing username"
"Snapchat","JANANI J","May 14, 2019",5,"good"
"Snapchat","Afreenshah Babina","May 14, 2019",5,"nnnm"
"Snapchat","Jessica Lonkey","May 14, 2019",2,"videos are absolute garbage. audio and video dont match up, the previews are good quality but the saved picture is blurry. im so annoyed!! fix this bullsh*t!!!!!!"
"Snapchat","Jayesh Ghodadara","May 14, 2019",5,"awesome"
"Snapchat","Eleanor Stark","May 14, 2019",5,"fav"
"Snapchat","Lukas Andrews","May 14, 2019",5,"lit"
"Snapchat","Samia Pervaiz","May 14, 2019",5,"fabulous app"
"Snapchat","Johnny Zarate","May 14, 2019",5,"awesome"
"Snapchat","desi boys","May 14, 2019",1,"bakwaas Aap I ever seen"
"Snapchat","Evelyn Kathianys","May 14, 2019",3,"😨"
"Snapchat","BAZZ TURD","May 14, 2019",4,"I Cant seem to be able to use the new gender swap filter, it is the same as before the update. I've updated it, but I'm on a android samsung s7 so that might be the problem... besides that it's a great app. but would be great if I could get some feedback on this issue."
"Snapchat","Azeera Sulaiman","May 14, 2019",5,"so fun"
"Snapchat","Dakoda wise","May 14, 2019",4,"fun"
"Snapchat","Idk Andres","May 14, 2019",5,"its awesome"
"Snapchat","Abhishek Gupta","May 14, 2019",3,"dudh se safedi filter se aaye Kali Kali ladkiya v khiil khiil jaye"
"Snapchat","Jo Juwie","May 14, 2019",5,"wow"
"Snapchat","Esmeralda Hernandez","May 14, 2019",5,"amazing my respect👌🤘👍"
"Snapchat","Stella Volpone","May 14, 2019",5,"good"
"Snapchat","Aman Shah","May 14, 2019",5,"excellent app"
"Snapchat","Chrsitine Ingua","May 14, 2019",5,"This is the best app in the word"
"Snapchat","Bhwari Devi","May 14, 2019",5,"##this is so amazing#ilovethis app👍👍👍👍😊😊👌👌"
"Snapchat","Jonathan Leung","May 14, 2019",1,"The screen flashes if I'm watching a YouTube video in the corner while typing which really annoys my eyes, no quick reply and still the right page is full of a bunch of stupid stuff, seriously the app needs work"
"Snapchat","Pal Sandhya","May 14, 2019",5,"it's a good 📷"
"Snapchat","Marko Kovacevic","May 14, 2019",5,"Its noobly but vera proly"
"Snapchat","Deborah Bult","May 14, 2019",5,"the best ever"
"Snapchat","Nickolet Duran","May 14, 2019",5,"Filters Where are the filters? I can't get it even when it's on video already."
"Snapchat","Clara Chooi","May 14, 2019",1,"gender filter doesn't work on my blackberry! :("
"Snapchat","Alex Musick","May 14, 2019",2,"wont change to language i select. sometimes it is in right language and sometimes it isnt. also i have to read every message twice or the notifications wont go away since the most recent update."
"Snapchat","Sara Hafeez","May 14, 2019",4,"love it"
"Snapchat","Simran Shrestha","May 14, 2019",5,"I totally loved it😍😍😍😍😍"
"Snapchat","Sponge Bob","May 14, 2019",5,"Faster Upload than Instagram"
"Snapchat","A Google User","May 14, 2019",5,"It's okay 😊"
"Snapchat","Noa Damen","May 14, 2019",1,"the front camera has been zoomed in since the last update, can you fix it"
"Snapchat","Shivam Kohli","May 14, 2019",5,"nice app"
"Snapchat","liza mitton","May 14, 2019",5,"cool"
"Snapchat","Clint Viegas","May 14, 2019",5,"Mr CEO abi apna hi snap chaat😒😒"
"Snapchat","Druhin Tarafder","May 14, 2019",4,"This is not of our standard... ******"
"Snapchat","Nikhil Vidhate","May 14, 2019",5,"RICH PEOPLE APP."
"Snapchat","joyce anne ocampo","May 14, 2019",5,"love you snapyy 😍😍😘"
"Snapchat","Kedar Nagale","May 14, 2019",5,"nice app"
