"appTitle","userName","date","score","text"
"Maps - Navigate & Explore","Faheem ahmed","May 12, 2019",5,"0k"
"Maps - Navigate & Explore","Jesus Gomez","May 12, 2019",3,"help me same time ,"
"Maps - Navigate & Explore","Jihad Qasmi","May 12, 2019",1,"App doesn't even open. Used to work fine. Sent a bug report to no avail."
"Maps - Navigate & Explore","Eider Perez","May 12, 2019",5,"Me hizo perder no muestra lo correcto"
"Maps - Navigate & Explore","All real video","May 12, 2019",5,"Raj"
"Maps - Navigate & Explore","Mohamed Nabil","May 12, 2019",5,"good app easy to use"
"Maps - Navigate & Explore","Elliot Koch","May 12, 2019",3,"z😊😱"
"Maps - Navigate & Explore","Sajid Khan ssr","May 12, 2019",5,"nice"
"Maps - Navigate & Explore","Mithila Padhan","May 12, 2019",5,"very good"
"Maps - Navigate & Explore","Thia Alizabeth Tait Blackwater","May 12, 2019",3,"still doesn't always show next available bus"
"Maps - Navigate & Explore","Suresh Kumar","May 12, 2019",5,"good"
"Maps - Navigate & Explore","Craig Grant","May 12, 2019",1,"doesn't update well"
"Maps - Navigate & Explore","SOEABKHAN PATHAN","May 12, 2019",5,"why is show in map searching for gps"
"Maps - Navigate & Explore","Technical Raj","May 12, 2019",5,"good app but i still want 3d mode like google maps"
"Maps - Navigate & Explore","Suresh Sarkar","May 12, 2019",5,"good"
"Maps - Navigate & Explore","Vasim Vhora","May 12, 2019",5,"good"
"Maps - Navigate & Explore","Robert McKasson","May 12, 2019",2,"It doesn't allow me to choose alternate routes!!!!!!!!"
"Maps - Navigate & Explore","Mark Welch","May 12, 2019",4,"fairly quick on reporting slow traffic"
"Maps - Navigate & Explore","ssekikubo olympus","May 12, 2019",3,"fair"
"Maps - Navigate & Explore","Rolando Amistosto","May 12, 2019",5,"Rolando Amistoso"
"Maps - Navigate & Explore","Patrick Moody","May 12, 2019",1,"Nothing but a blank screen on ticwatch pro"
"Maps - Navigate & Explore","David Nelson","May 12, 2019",3,"this map needs radar detection traffic updates."
"Maps - Navigate & Explore","A Google User","May 12, 2019",4,"Is anyone else experiencing a problem with accuracy? Also, the map no longer changes direction...for example if I am starting out West and then go North, the map stays where it is and the moving indicator is pointing the opposite direction. How can I fix that?"
"Maps - Navigate & Explore","Amraida Guiamadel","May 12, 2019",1,"to his so loss"
"Maps - Navigate & Explore","Rk S","May 12, 2019",4,"good"
"Maps - Navigate & Explore","Dinesh Dwivedi","May 12, 2019",4,"nice"
"Maps - Navigate & Explore","Ashik Abdul","May 12, 2019",3,"very Nice"
